budget,cohort,method,metric,n,mean,sample_variance,SD,variance_ddof
10,all_completed,baseline,SUN,30,1.4,5.351724137931034,2.313379376135923,1
10,all_completed,esopt_graph_risk,SUN,30,1.8,6.5103448275862075,2.5515377378330517,1
10,matched_systems,baseline,SUN,30,1.4,5.351724137931034,2.313379376135923,1
10,matched_systems,esopt_graph_risk,SUN,30,1.8,6.5103448275862075,2.5515377378330517,1
10,paired_full_minus_baseline,paired_delta,SUN,30,0.4,7.006896551724138,2.6470543159754274,1
10,all_completed,baseline,AUDC,30,0.15466666666666667,0.06292919540229885,0.25085692217337524,1
10,all_completed,esopt_graph_risk,AUDC,30,0.18866666666666668,0.07755678160919541,0.27849018224920497,1
10,matched_systems,baseline,AUDC,30,0.15466666666666667,0.06292919540229885,0.25085692217337524,1
10,matched_systems,esopt_graph_risk,AUDC,30,0.18866666666666668,0.07755678160919541,0.27849018224920497,1
10,paired_full_minus_baseline,paired_delta,AUDC,30,0.033999999999999996,0.08939724137931035,0.29899371461505736,1
10,all_completed,baseline,mSUN,30,0.13999999999999999,0.05351724137931033,0.2313379376135923,1
10,all_completed,esopt_graph_risk,mSUN,30,0.18,0.06510344827586208,0.25515377378330517,1
10,matched_systems,baseline,mSUN,30,0.13999999999999999,0.05351724137931033,0.2313379376135923,1
10,matched_systems,esopt_graph_risk,mSUN,30,0.18,0.06510344827586208,0.25515377378330517,1
10,paired_full_minus_baseline,paired_delta,mSUN,30,0.04,0.07006896551724137,0.26470543159754273,1
30,all_completed,baseline,SUN,30,4.533333333333333,50.60229885057471,7.113529282330587,1
30,all_completed,esopt_graph_risk,SUN,30,3.2333333333333334,22.116091954022988,4.7027749206211205,1
30,matched_systems,baseline,SUN,30,4.533333333333333,50.60229885057471,7.113529282330587,1
30,matched_systems,esopt_graph_risk,SUN,30,3.2333333333333334,22.116091954022988,4.7027749206211205,1
30,paired_full_minus_baseline,paired_delta,SUN,30,-1.3,19.113793103448273,4.3719324221044715,1
30,all_completed,baseline,AUDC,30,0.16081481481481483,0.05876900241237406,0.2424231886853526,1
30,all_completed,esopt_graph_risk,AUDC,30,0.12418518518518519,0.03084382148431957,0.17562409141208268,1
30,matched_systems,baseline,AUDC,30,0.16081481481481483,0.05876900241237406,0.2424231886853526,1
30,matched_systems,esopt_graph_risk,AUDC,30,0.12418518518518519,0.03084382148431957,0.17562409141208268,1
30,paired_full_minus_baseline,paired_delta,AUDC,30,-0.03662962962962964,0.023901956861075633,0.1546025771488808,1
30,all_completed,baseline,mSUN,30,0.1511111111111111,0.056224776500638576,0.2371176427443529,1
30,all_completed,esopt_graph_risk,mSUN,30,0.10777777777777778,0.024573435504469988,0.15675916402070403,1
30,matched_systems,baseline,mSUN,30,0.1511111111111111,0.056224776500638576,0.2371176427443529,1
30,matched_systems,esopt_graph_risk,mSUN,30,0.10777777777777778,0.024573435504469988,0.15675916402070403,1
30,paired_full_minus_baseline,paired_delta,mSUN,30,-0.043333333333333335,0.02123754789272031,0.14573108073681576,1
50,all_completed,baseline,SUN,4,15.75,100.25,10.012492197250394,1
50,all_completed,esopt_graph_risk,SUN,30,4.9,44.36896551724138,6.661003341632654,1
50,matched_systems,baseline,SUN,4,15.75,100.25,10.012492197250394,1
50,matched_systems,esopt_graph_risk,SUN,4,9.75,92.91666666666667,9.63932916061417,1
50,paired_full_minus_baseline,paired_delta,SUN,4,-6,81.33333333333333,9.018499505645789,1
50,all_completed,baseline,AUDC,4,0.3539,0.04716430666666666,0.21717344834640046,1
50,all_completed,esopt_graph_risk,AUDC,30,0.11278666666666667,0.02198227291954023,0.14826419972313015,1
50,matched_systems,baseline,AUDC,4,0.3539,0.04716430666666666,0.21717344834640046,1
50,matched_systems,esopt_graph_risk,AUDC,4,0.2285,0.04775257333333333,0.21852362191153005,1
50,paired_full_minus_baseline,paired_delta,AUDC,4,-0.1254,0.03503205333333333,0.18716851587094804,1
50,all_completed,baseline,mSUN,4,0.315,0.0401,0.20024984394500786,1
50,all_completed,esopt_graph_risk,mSUN,30,0.098,0.017747586206896555,0.13322006683265308,1
50,matched_systems,baseline,mSUN,4,0.315,0.0401,0.20024984394500786,1
50,matched_systems,esopt_graph_risk,mSUN,4,0.195,0.03716666666666667,0.1927865832122834,1
50,paired_full_minus_baseline,paired_delta,mSUN,4,-0.12,0.03253333333333334,0.1803699901129158,1
