job_id,budget,task_id,method,seed,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,wall_seconds,initialization_wall_seconds,graph_seconds
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,10,11,59,779.171055121813,36.80289253499359,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,10,11,66,1080.4845227072947,48.22303618071601,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,10,13,79,785.4784273309633,40.39091668231413,0
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,10,11,,2568.4011063771322,43.231143054086715,1052.400583405979
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,10,11,,1449.447651279159,38.99980193004012,1012.6800636798143
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,10,13,,1408.2547592697665,35.73544534947723,801.8299032542855
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,10,16,29,691.1749484436586,36.021957812365144,0
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,10,12,16,531.1194243896753,31.216479413677007,0
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,10,16,,3003.897455302067,37.15855568414554,1896.2297217091545
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,10,12,,3656.516004758887,29.766606057994068,2391.951603356283
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,10,53,106,390.2344838073477,87.14263264648616,0
all30-final-made-38b4f9685baec5bbe9d9f95b,10,Au-Cr-Cs-Dy,baseline,1,10,11,147,564.0766282938421,34.56124633923173,0
all30-final-made-b9fe5a319d6c88bb44e6d609,10,Cd-Li-Nd-Ti-W,baseline,1,10,21,173,522.927369447425,35.40577673725784,0
all30-final-made-b0b5169d793729c1ce52868e,10,Ce-Er-Pb-Rh,baseline,1,10,33,28,323.7442344520241,71.1477411845699,0
all30-final-made-7d6cba0dbc20d964713362bb,10,Co-Pd-Tl,baseline,1,10,12,10,371.05712505429983,35.7858039624989,0
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,10,53,9,1721.4920025561005,91.97047331370413,1017.5039992379025
all30-final-made-4754243cb39463fe720f858f,10,Au-Cr-Cs-Dy,esopt_graph_risk,1,10,11,176,2296.355002615601,32.080670771189034,1025.4535562871024
all30-final-made-844717030b1249db9cea8c19,10,Cd-Li-Nd-Ti-W,esopt_graph_risk,1,10,21,,1145.4767110450193,34.8039691420272,395.5405328189954
all30-final-made-ad9a8021ac5bcfa3cbf9354b,10,Ce-Er-Pb-Rh,esopt_graph_risk,1,10,33,,1226.0612425208092,66.16852796636522,845.5115866707638
all30-final-made-45444501a86d93fedab34138,10,Co-Pd-Tl,esopt_graph_risk,1,10,12,,1708.7622740194201,59.01646802574396,1099.1051101582125
all30-final-made-904eb201596a60402fead162,10,Al-Hg-K-Mg-W,baseline,1,10,59,80,428.1890545929782,121.74821968190372,0
all30-final-made-3a5820b8ce47b3e91e806915,10,Au-Tb-V-Y,baseline,1,10,23,208,774.7674689162523,66.05250963522121,0
all30-final-made-b02d850a98d7df9b443caae7,10,Ce-Ir-Pt-Sn,baseline,1,10,45,192,770.2169849467464,219.61129353614524,0
all30-final-made-cb6bf8e9beffc5bb74ce0332,10,Co-Hf-In-Ru-Tm,baseline,1,10,42,40,444.0093708210625,126.18353044427931,0
all30-final-made-8edd5f6703feaba4b1671ead,10,Ga-Ho-Lu,baseline,1,10,20,176,439.25834590476006,77.13339372212067,0
all30-final-made-a42b15610f22ef80153727db,10,Al-Hg-K-Mg-W,esopt_graph_risk,1,10,59,,1833.798567472957,122.03578398609534,1048.6163313318975
all30-final-made-70b2bcb089d3baa38fa11a37,10,Au-Tb-V-Y,esopt_graph_risk,1,10,23,93,1844.0872244709171,53.001148300711066,780.8366498956457
all30-final-made-9d0aa6b7ec047537b2499ee9,10,Ce-Ir-Pt-Sn,esopt_graph_risk,1,10,45,,1737.563141155988,225.7459183097817,1005.0454207230359
all30-final-made-0cd1e203de524cca41df900f,10,Co-Hf-In-Ru-Tm,esopt_graph_risk,1,10,42,,1190.2424306250177,127.07030020281672,786.4561093156226
all30-final-made-81c94354919004cb52bc537d,10,Ga-Ho-Lu,esopt_graph_risk,1,10,20,61,2203.9728287947364,83.68680164124817,1251.0784284048714
all30-final-made-e09a34e29836469e9ba4b8e4,10,Al-Lu-Pt-Rb-Sm,baseline,1,10,46,10,453.5829073940404,120.93219550605863,0
all30-final-made-6a08269555caa8120c6d8a31,10,Ba-Be-Hf-Li,baseline,1,10,8,71,363.90895824925974,45.6738136280328,0
all30-final-made-8f2f1a7d5d9c8003b8c178a8,10,Co-Dy-Ta-Y,baseline,1,10,32,206,688.8264078656211,124.06519907712936,0
all30-final-made-d9145d771ec6fc6924d7a738,10,Co-Hg-Mg-Sr-W,baseline,1,10,78,20,409.2586764502339,143.7925685979426,0
all30-final-made-22cfaf1606682d9c38bc278d,10,Ga-Pt-Tm,baseline,1,10,29,39,377.4789710850455,99.53524354286492,0
all30-final-made-9bf29fcfc2d0b0e48b8c6c4d,10,Al-Lu-Pt-Rb-Sm,esopt_graph_risk,1,10,46,29,1573.2388260499574,117.48661946691573,738.3638943955302
all30-final-made-81f7ae6412df7a9830ab16d2,10,Ba-Be-Hf-Li,esopt_graph_risk,1,10,8,93,1416.4469663389027,46.788762998301536,656.7048845654353
all30-final-made-9bfd0c2924e1c0658de0c66d,10,Co-Dy-Ta-Y,esopt_graph_risk,1,10,32,59,1414.8379402947612,112.9482871638611,676.5838930779137
all30-final-made-32f7c3901d238e4cf22c39b3,10,Co-Hg-Mg-Sr-W,esopt_graph_risk,1,10,78,89,1917.8551445621997,137.33115431386977,996.67248051567
all30-final-made-2925f7a866c2a8d1c36841e7,10,Ga-Pt-Tm,esopt_graph_risk,1,10,29,,1688.5015115900896,97.62368156667799,1096.2615235918202
all30-final-made-6e37b7222567aa49a67d1d87,10,Ba-Nd-Ni-W,baseline,1,10,12,76,514.8681336799636,56.29449019022286,0
all30-final-made-9577fc5b372192d5a57a0b66,10,Ca-Fe-Gd-Pb-Tb,baseline,1,10,23,145,583.1745210103691,83.1860554292798,0
all30-final-made-fc32992f7efefd416e04c208,10,Cr-Fe-Lu-Pt-Sc,baseline,1,10,32,,361.8720210129395,77.93231861572713,0
all30-final-made-1500a7c5b01112deaf43bfe9,10,Dy-K-Pd-Sm,baseline,1,10,17,196,624.1289087980986,57.5396679257974,0
all30-final-made-29a6382ae615c1a04e459653,10,Hf-Ni-Zr,baseline,1,10,22,170,600.2725979667157,86.2426874153316,0
all30-final-made-3b6d75c2fa78012d74822eb9,10,Ba-Nd-Ni-W,esopt_graph_risk,1,10,12,114,2495.9482717905194,57.19578888267279,1135.174120415002
all30-final-made-ca4d392d588e45b39931f2c9,10,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,10,23,,1368.3740310100839,71.79262823425233,552.4908062908798
