budget,task_id,method,available_seeds,n_completed_seeds,run_to_run_sample_variance,run_to_run_SD
10,Ag-Nd-Pd-Pt-Tb,baseline,1,1,,
10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,1,,
10,Al-Hg-K-Mg-W,baseline,1,1,,
10,Al-Hg-K-Mg-W,esopt_graph_risk,1,1,,
10,Al-Li-V,baseline,1,1,,
10,Al-Li-V,esopt_graph_risk,1,1,,
10,Al-Lu-Pt-Rb-Sm,baseline,1,1,,
10,Al-Lu-Pt-Rb-Sm,esopt_graph_risk,1,1,,
10,Al-V-Zn,baseline,1,1,,
10,Al-V-Zn,esopt_graph_risk,1,1,,
10,Au-Cr-Cs-Dy,baseline,1,1,,
10,Au-Cr-Cs-Dy,esopt_graph_risk,1,1,,
10,Au-K-Tb,baseline,1,1,,
10,Au-K-Tb,esopt_graph_risk,1,1,,
10,Au-Tb-V-Y,baseline,1,1,,
10,Au-Tb-V-Y,esopt_graph_risk,1,1,,
10,Ba-Be-Hf-Li,baseline,1,1,,
10,Ba-Be-Hf-Li,esopt_graph_risk,1,1,,
10,Ba-Nd-Ni-W,baseline,1,1,,
10,Ba-Nd-Ni-W,esopt_graph_risk,1,1,,
10,Ca-Fe-Gd-Pb-Tb,baseline,1,1,,
10,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,1,,
10,Ca-Pd-Sn-W,baseline,1,1,,
10,Ca-Pd-Sn-W,esopt_graph_risk,1,1,,
10,Cd-Gd-Mn-Na-Ta,baseline,1,1,,
10,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,1,,
10,Cd-Li-Nd-Ti-W,baseline,1,1,,
10,Cd-Li-Nd-Ti-W,esopt_graph_risk,1,1,,
10,Ce-Er-Pb-Rh,baseline,1,1,,
10,Ce-Er-Pb-Rh,esopt_graph_risk,1,1,,
10,Ce-Ir-Pt-Sn,baseline,1,1,,
10,Ce-Ir-Pt-Sn,esopt_graph_risk,1,1,,
10,Co-Dy-Ta-Y,baseline,1,1,,
10,Co-Dy-Ta-Y,esopt_graph_risk,1,1,,
10,Co-Dy-W,baseline,1,1,,
10,Co-Dy-W,esopt_graph_risk,1,1,,
10,Co-Hf-In-Ru-Tm,baseline,1,1,,
10,Co-Hf-In-Ru-Tm,esopt_graph_risk,1,1,,
10,Co-Hg-Mg-Sr-W,baseline,1,1,,
10,Co-Hg-Mg-Sr-W,esopt_graph_risk,1,1,,
10,Co-Mg-Na,baseline,1,1,,
10,Co-Mg-Na,esopt_graph_risk,1,1,,
10,Co-Pd-Tl,baseline,1,1,,
10,Co-Pd-Tl,esopt_graph_risk,1,1,,
10,Cr-Fe-Lu-Pt-Sc,baseline,1,1,,
10,Cr-Fe-Lu-Pt-Sc,esopt_graph_risk,1,1,,
10,Dy-K-Pd-Sm,baseline,1,1,,
10,Dy-K-Pd-Sm,esopt_graph_risk,1,1,,
10,Eu-Nb-Sn-Tl,baseline,1,1,,
10,Eu-Nb-Sn-Tl,esopt_graph_risk,1,1,,
10,Ga-Ho-Lu,baseline,1,1,,
10,Ga-Ho-Lu,esopt_graph_risk,1,1,,
10,Ga-Pt-Tm,baseline,1,1,,
10,Ga-Pt-Tm,esopt_graph_risk,1,1,,
10,Hf-Ni-Zr,baseline,1,1,,
10,Hf-Ni-Zr,esopt_graph_risk,1,1,,
10,Ho-In-Mg-Pd-Zr,baseline,1,1,,
10,Ho-In-Mg-Pd-Zr,esopt_graph_risk,1,1,,
10,Mg-Sn-Sr,baseline,1,1,,
10,Mg-Sn-Sr,esopt_graph_risk,1,1,,
30,Ag-Nd-Pd-Pt-Tb,baseline,1,1,,
30,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,1,,
30,Al-Hg-K-Mg-W,baseline,1,1,,
30,Al-Hg-K-Mg-W,esopt_graph_risk,1,1,,
30,Al-Li-V,baseline,1,1,,
30,Al-Li-V,esopt_graph_risk,1,1,,
30,Al-Lu-Pt-Rb-Sm,baseline,1,1,,
30,Al-Lu-Pt-Rb-Sm,esopt_graph_risk,1,1,,
30,Al-V-Zn,baseline,1,1,,
30,Al-V-Zn,esopt_graph_risk,1,1,,
30,Au-Cr-Cs-Dy,baseline,1,1,,
30,Au-Cr-Cs-Dy,esopt_graph_risk,1,1,,
30,Au-K-Tb,baseline,1,1,,
30,Au-K-Tb,esopt_graph_risk,1,1,,
30,Au-Tb-V-Y,baseline,1,1,,
30,Au-Tb-V-Y,esopt_graph_risk,1,1,,
30,Ba-Be-Hf-Li,baseline,1,1,,
30,Ba-Be-Hf-Li,esopt_graph_risk,1,1,,
30,Ba-Nd-Ni-W,baseline,1,1,,
30,Ba-Nd-Ni-W,esopt_graph_risk,1,1,,
30,Ca-Fe-Gd-Pb-Tb,baseline,1,1,,
30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,1,,
30,Ca-Pd-Sn-W,baseline,1,1,,
30,Ca-Pd-Sn-W,esopt_graph_risk,1,1,,
30,Cd-Gd-Mn-Na-Ta,baseline,1,1,,
30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,1,,
30,Cd-Li-Nd-Ti-W,baseline,1,1,,
30,Cd-Li-Nd-Ti-W,esopt_graph_risk,1,1,,
30,Ce-Er-Pb-Rh,baseline,1,1,,
30,Ce-Er-Pb-Rh,esopt_graph_risk,1,1,,
30,Ce-Ir-Pt-Sn,baseline,1,1,,
30,Ce-Ir-Pt-Sn,esopt_graph_risk,1,1,,
30,Co-Dy-Ta-Y,baseline,1,1,,
30,Co-Dy-Ta-Y,esopt_graph_risk,1,1,,
30,Co-Dy-W,baseline,1,1,,
30,Co-Dy-W,esopt_graph_risk,1,1,,
30,Co-Hf-In-Ru-Tm,baseline,1,1,,
30,Co-Hf-In-Ru-Tm,esopt_graph_risk,1,1,,
30,Co-Hg-Mg-Sr-W,baseline,1,1,,
30,Co-Hg-Mg-Sr-W,esopt_graph_risk,1,1,,
30,Co-Mg-Na,baseline,1,1,,
30,Co-Mg-Na,esopt_graph_risk,1,1,,
30,Co-Pd-Tl,baseline,1,1,,
30,Co-Pd-Tl,esopt_graph_risk,1,1,,
30,Cr-Fe-Lu-Pt-Sc,baseline,1,1,,
30,Cr-Fe-Lu-Pt-Sc,esopt_graph_risk,1,1,,
30,Dy-K-Pd-Sm,baseline,1,1,,
30,Dy-K-Pd-Sm,esopt_graph_risk,1,1,,
30,Eu-Nb-Sn-Tl,baseline,1,1,,
30,Eu-Nb-Sn-Tl,esopt_graph_risk,1,1,,
30,Ga-Ho-Lu,baseline,1,1,,
