job_id,task_id,method,seed,official_SUN,official_AUDC,official_mSUN,acceptance_kind,attempts,stable,novel,stable_new,non_novel,stable_non_novel,unstable_novel,unstable_non_novel,net_SUN_gain,reclassified_loss,SUN_negative_steps,SUN_downward_magnitude,stable_new_zero_delta,exact_hash_repeated_in_episode,non_novel_with_previous_exact_hash,stable_rate,novel_rate,stable_new_rate,stable_given_novel,unique_formulas,formula_top1_fraction,formula_hhi
budget-final-made-553278be5f273fb812e92e50,Ag-Nd-Pd-Pt-Tb,baseline,1,10,0.1856,0.2,per_job_receipt,50,12,42,10,8,2,32,6,10,0,0,0,0,0,0,0.24,0.84,0.2,0.23809523809523808,29,0.12,0.0536
budget-final-made-a3a3592adc44012eb5ddeb3a,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,19,0.2964,0.38,per_job_receipt,50,30,34,19,16,11,15,5,19,0,0,0,0,0,0,0.6,0.68,0.38,0.5588235294117647,10,0.26,0.1512
budget-final-made-a13f09c144491aaf6c5ae670,Al-Hg-K-Mg-W,baseline,1,0,0.0,0.0,per_job_receipt,50,0,48,0,2,0,48,2,0,0,0,0,0,0,0,0.0,0.96,0.0,0.0,24,0.18,0.088
budget-final-made-e621dd32dab37ee731ce4f9a,Al-Hg-K-Mg-W,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,17,0.18,0.0864
budget-final-made-6d233e5c4026401bfeed1cb5,Al-Li-V,baseline,1,22,0.4776,0.44,per_job_receipt,50,34,38,22,12,12,16,0,22,0,0,0,0,0,0,0.68,0.76,0.44,0.5789473684210527,12,0.28,0.15920000000000004
budget-final-made-eb1a75750247f9ba7198b375,Al-Li-V,esopt_graph_risk,1,3,0.0844,0.06,per_job_receipt,50,3,46,3,4,0,43,4,3,0,0,0,0,0,0,0.06,0.92,0.06,0.06521739130434782,26,0.1,0.0536
budget-final-made-56691d215b7bf0d1fb39ac0e,Al-Lu-Pt-Rb-Sm,baseline,1,0,0.0,0.0,per_job_receipt,50,0,45,0,5,0,45,5,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,20,0.14,0.07600000000000001
budget-final-made-187861cee7674983bd8790b2,Al-Lu-Pt-Rb-Sm,esopt_graph_risk,1,3,0.1148,0.06,per_job_receipt,50,6,37,3,13,3,34,10,3,0,0,0,0,0,0,0.12,0.74,0.06,0.08108108108108109,15,0.3,0.1488
budget-final-made-ea0a4f6b50bab082d34b533f,Al-V-Zn,baseline,1,22,0.5,0.44,per_job_receipt,50,42,29,22,21,20,7,1,22,0,0,0,0,0,0,0.84,0.58,0.44,0.7586206896551724,9,0.3,0.18480000000000002
budget-final-made-8aea41d2e366c782ee520a2b,Al-V-Zn,esopt_graph_risk,1,17,0.394,0.34,per_job_receipt,50,30,37,18,13,12,19,1,17,1,0,0,1,0,0,0.6,0.74,0.36,0.4864864864864865,12,0.2,0.12960000000000002
