task_id,seed,SUN_delta_full_minus_baseline,AUDC_delta_full_minus_baseline,baseline_job_id,baseline_official_SUN,baseline_official_AUDC,baseline_stable_new,baseline_stable,baseline_novel,baseline_non_novel,baseline_stable_non_novel,baseline_unstable_novel,baseline_unstable_non_novel,baseline_reclassified_loss,baseline_unique_formulas,baseline_formula_top1_fraction,baseline_exact_hash_repeated_in_episode,full_job_id,full_official_SUN,full_official_AUDC,full_stable_new,full_stable,full_novel,full_non_novel,full_stable_non_novel,full_unstable_novel,full_unstable_non_novel,full_reclassified_loss,full_unique_formulas,full_formula_top1_fraction,full_exact_hash_repeated_in_episode
Ag-Nd-Pd-Pt-Tb,1,9,0.11080000000000001,budget-final-made-553278be5f273fb812e92e50,10,0.1856,10,12,42,8,2,32,6,0,29,0.12,0,budget-final-made-a3a3592adc44012eb5ddeb3a,19,0.2964,19,30,34,16,11,15,5,0,10,0.26,0
Al-Hg-K-Mg-W,1,0,0.0,budget-final-made-a13f09c144491aaf6c5ae670,0,0.0,0,0,48,2,0,48,2,0,24,0.18,0,budget-final-made-e621dd32dab37ee731ce4f9a,0,0.0,0,0,50,0,0,50,0,0,17,0.18,0
Al-Li-V,1,-19,-0.3932,budget-final-made-6d233e5c4026401bfeed1cb5,22,0.4776,22,34,38,12,12,16,0,0,12,0.28,0,budget-final-made-eb1a75750247f9ba7198b375,3,0.0844,3,3,46,4,0,43,4,0,26,0.1,0
Al-Lu-Pt-Rb-Sm,1,3,0.1148,budget-final-made-56691d215b7bf0d1fb39ac0e,0,0.0,0,0,45,5,0,45,5,0,20,0.14,0,budget-final-made-187861cee7674983bd8790b2,3,0.1148,3,6,37,13,3,34,10,0,15,0.3,0
Al-V-Zn,1,-5,-0.10599999999999998,budget-final-made-ea0a4f6b50bab082d34b533f,22,0.5,22,42,29,21,20,7,1,0,9,0.3,0,budget-final-made-8aea41d2e366c782ee520a2b,17,0.394,18,30,37,13,12,19,1,1,12,0.2,0
Au-Cr-Cs-Dy,1,-14,-0.1224,budget-final-made-97d1fb7e98d5309331d50d42,14,0.1224,14,14,48,2,0,34,2,0,23,0.28,0,budget-final-made-8ca7d92576ad4c90ccffa3d0,0,0.0,0,0,41,9,0,41,9,0,10,0.32,0
Au-K-Tb,1,-6,-0.1328,budget-final-made-bf45d389db6c5a3804655cb7,8,0.1464,8,9,46,4,1,38,3,0,23,0.14,0,budget-final-made-8c995b568fd183ae5f7c6b0a,2,0.0136,2,12,29,21,10,27,11,0,2,0.72,0
Au-Tb-V-Y,1,0,0.0,budget-final-made-99ac8ae0e79f60c5b9a3d6ac,0,0.0,0,0,41,9,0,41,9,0,30,0.08,0,budget-final-made-371f12d508cc3c279aba7dd8,0,0.0,0,0,49,1,0,49,1,0,17,0.16,0
Ba-Be-Hf-Li,1,0,0.0,budget-final-made-b21b1bfa763e702ada5d4f06,0,0.0,0,0,46,4,0,46,4,0,27,0.12,0,budget-final-made-0a553a8fca3b3c1b6a1c0a7a,0,0.0,0,0,39,11,0,39,11,0,16,0.18,0
Ba-Nd-Ni-W,1,0,0.0,budget-final-made-27b340ac02680a520001fad4,0,0.0,0,0,48,2,0,48,2,0,18,0.18,0,budget-final-made-361749a605a9c1595ba3e5a1,0,0.0,0,0,22,28,0,22,28,0,1,1.0,0
Ca-Fe-Gd-Pb-Tb,1,-3,-0.05,budget-final-made-2a82fd8c529f1d994c979631,3,0.05,3,3,48,2,0,45,2,0,28,0.1,0,budget-final-made-59acc7bb234561ecbe03bebe,0,0.0,0,0,39,11,0,39,11,0,10,0.54,0
Ca-Pd-Sn-W,1,1,0.0396,budget-final-made-fbe5688a5197faa3a4f26367,0,0.0,0,0,44,6,0,44,6,0,16,0.2,0,budget-final-made-87d829b3213cc2ccb26373e1,1,0.0396,1,1,36,14,0,35,14,0,22,0.16,0
Cd-Gd-Mn-Na-Ta,1,0,0.0,budget-final-made-5cd0ddb780469e444a06fc62,0,0.0,0,0,48,2,0,48,2,0,21,0.12,0,budget-final-made-25d828a31bf2afcd937ff666,0,0.0,0,0,47,3,0,47,3,0,12,0.28,0
Cd-Li-Nd-Ti-W,1,1,0.0068000000000000005,budget-final-made-81de99ff284030717967ed76,2,0.0776,2,6,43,7,4,41,3,0,23,0.12,0,budget-final-made-a1d56889c767262394b770e2,3,0.0844,3,4,37,13,1,34,12,0,8,0.76,0
Ce-Er-Pb-Rh,1,6,0.11359999999999999,budget-final-made-442d6aac6d7fce0df3d1b5b9,3,0.0924,3,3,48,2,0,45,2,0,30,0.1,0,budget-final-made-a9f42a5c3df0697d731894c9,9,0.206,9,17,30,20,8,21,12,0,11,0.24,0
