job_id,method,task_id,band,attempts,stable,novel,stable_new,non_novel,stable_non_novel,unstable_novel,unstable_non_novel,net_SUN_gain,reclassified_loss,SUN_negative_steps,SUN_downward_magnitude,stable_new_zero_delta,exact_hash_repeated_in_episode,non_novel_with_previous_exact_hash,stable_rate,novel_rate,stable_new_rate,stable_given_novel,unique_formulas,formula_top1_fraction,formula_hhi
budget-final-made-553278be5f273fb812e92e50,baseline,Ag-Nd-Pd-Pt-Tb,1,10,1,7,1,3,0,6,3,1,0,0,0,0,0,0,0.1,0.7,0.1,0.14285714285714285,4,0.5,0.34
budget-final-made-553278be5f273fb812e92e50,baseline,Ag-Nd-Pd-Pt-Tb,2,10,2,8,1,2,1,7,1,1,0,0,0,0,0,0,0.2,0.8,0.1,0.125,8,0.2,0.14
budget-final-made-553278be5f273fb812e92e50,baseline,Ag-Nd-Pd-Pt-Tb,3,10,5,8,4,2,1,4,1,4,0,0,0,0,0,0,0.5,0.8,0.4,0.5,3,0.6,0.45999999999999996
budget-final-made-553278be5f273fb812e92e50,baseline,Ag-Nd-Pd-Pt-Tb,4,10,3,9,3,1,0,6,1,3,0,0,0,0,0,0,0.3,0.9,0.3,0.3333333333333333,6,0.4,0.24000000000000005
budget-final-made-553278be5f273fb812e92e50,baseline,Ag-Nd-Pd-Pt-Tb,5,10,1,10,1,0,0,9,0,1,0,0,0,0,0,0,0.1,1.0,0.1,0.1,9,0.2,0.12000000000000002
budget-final-made-a3a3592adc44012eb5ddeb3a,esopt_graph_risk,Ag-Nd-Pd-Pt-Tb,1,10,2,8,2,2,0,6,2,2,0,0,0,0,0,0,0.2,0.8,0.2,0.25,4,0.5,0.36
budget-final-made-a3a3592adc44012eb5ddeb3a,esopt_graph_risk,Ag-Nd-Pd-Pt-Tb,2,10,7,3,3,7,4,0,3,3,0,0,0,0,0,0,0.7,0.3,0.3,1.0,3,0.6,0.45999999999999996
budget-final-made-a3a3592adc44012eb5ddeb3a,esopt_graph_risk,Ag-Nd-Pd-Pt-Tb,3,10,8,6,4,4,4,2,0,4,0,0,0,0,0,0,0.8,0.6,0.4,0.6666666666666666,4,0.4,0.30000000000000004
budget-final-made-a3a3592adc44012eb5ddeb3a,esopt_graph_risk,Ag-Nd-Pd-Pt-Tb,4,10,5,8,3,2,2,5,0,3,0,0,0,0,0,0,0.5,0.8,0.3,0.375,4,0.7,0.5199999999999999
budget-final-made-a3a3592adc44012eb5ddeb3a,esopt_graph_risk,Ag-Nd-Pd-Pt-Tb,5,10,8,9,7,1,1,2,0,7,0,0,0,0,0,0,0.8,0.9,0.7,0.7777777777777778,2,0.6,0.52
budget-final-made-a13f09c144491aaf6c5ae670,baseline,Al-Hg-K-Mg-W,1,10,0,8,0,2,0,8,2,0,0,0,0,0,0,0,0.0,0.8,0.0,0.0,3,0.8,0.6600000000000001
budget-final-made-a13f09c144491aaf6c5ae670,baseline,Al-Hg-K-Mg-W,2,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,8,0.2,0.14
budget-final-made-a13f09c144491aaf6c5ae670,baseline,Al-Hg-K-Mg-W,3,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,6,0.4,0.24000000000000005
budget-final-made-a13f09c144491aaf6c5ae670,baseline,Al-Hg-K-Mg-W,4,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,8,0.2,0.14
budget-final-made-a13f09c144491aaf6c5ae670,baseline,Al-Hg-K-Mg-W,5,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,2,0.8,0.6800000000000002
budget-final-made-e621dd32dab37ee731ce4f9a,esopt_graph_risk,Al-Hg-K-Mg-W,1,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,2,0.7,0.58
budget-final-made-e621dd32dab37ee731ce4f9a,esopt_graph_risk,Al-Hg-K-Mg-W,2,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,7,0.3,0.18000000000000002
budget-final-made-e621dd32dab37ee731ce4f9a,esopt_graph_risk,Al-Hg-K-Mg-W,3,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,4,0.5,0.36
budget-final-made-e621dd32dab37ee731ce4f9a,esopt_graph_risk,Al-Hg-K-Mg-W,4,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,4,0.4,0.30000000000000004
budget-final-made-e621dd32dab37ee731ce4f9a,esopt_graph_risk,Al-Hg-K-Mg-W,5,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,4,0.4,0.30000000000000004
budget-final-made-6d233e5c4026401bfeed1cb5,baseline,Al-Li-V,1,10,6,9,5,1,1,4,0,5,0,0,0,0,0,0,0.6,0.9,0.5,0.5555555555555556,6,0.2,0.18000000000000005
budget-final-made-6d233e5c4026401bfeed1cb5,baseline,Al-Li-V,2,10,6,8,4,2,2,4,0,4,0,0,0,0,0,0,0.6,0.8,0.4,0.5,3,0.7,0.5399999999999999
