method,band,first_attempt,last_attempt,attempts,stable,novel,stable_new,non_novel,stable_non_novel,unstable_novel,unstable_non_novel,net_SUN_gain,reclassified_loss,SUN_negative_steps,SUN_downward_magnitude,stable_new_zero_delta,exact_hash_repeated_in_episode,non_novel_with_previous_exact_hash,stable_rate,novel_rate,stable_new_rate,stable_given_novel,unique_formulas,formula_top1_fraction,formula_hhi
baseline,1,1,10,300,76,248,56,52,20,192,32,56,0,0,0,0,0,0,0.25333333333333335,0.8266666666666667,0.18666666666666668,0.22580645161290322,162,0.03333333333333333,0.009422222222222222
baseline,2,11,20,300,61,263,41,37,20,222,17,40,1,0,0,1,0,0,0.20333333333333334,0.8766666666666667,0.13666666666666666,0.155893536121673,173,0.02666666666666667,0.00888888888888889
baseline,3,21,30,300,62,265,45,35,17,220,18,42,3,1,2,0,0,0,0.20666666666666667,0.8833333333333333,0.15,0.16981132075471697,146,0.023333333333333334,0.010355555555555557
baseline,4,31,40,300,61,265,49,35,12,216,23,49,0,0,0,0,0,0,0.20333333333333334,0.8833333333333333,0.16333333333333333,0.18490566037735848,153,0.023333333333333334,0.01
baseline,5,41,50,300,60,276,46,24,14,230,10,46,0,0,0,0,0,0,0.2,0.92,0.15333333333333332,0.16666666666666666,152,0.03333333333333333,0.010288888888888889
esopt_graph_risk,1,1,10,300,63,233,41,67,22,192,45,41,0,0,0,0,0,0,0.21,0.7766666666666666,0.13666666666666666,0.1759656652360515,106,0.03333333333333333,0.017844444444444444
esopt_graph_risk,2,11,20,300,56,216,36,84,20,180,64,36,0,0,0,0,0,0,0.18666666666666668,0.72,0.12,0.16666666666666666,107,0.03333333333333333,0.015977777777777778
esopt_graph_risk,3,21,30,300,50,214,24,86,26,190,60,24,0,0,0,0,0,0,0.16666666666666666,0.7133333333333334,0.08,0.11214953271028037,116,0.03333333333333333,0.0148
esopt_graph_risk,4,31,40,300,49,205,22,95,27,183,68,22,0,0,0,0,0,0,0.16333333333333333,0.6833333333333333,0.07333333333333333,0.1073170731707317,112,0.03333333333333333,0.014733333333333334
esopt_graph_risk,5,41,50,300,44,215,25,85,19,190,66,24,1,0,0,1,0,0,0.14666666666666667,0.7166666666666667,0.08333333333333333,0.11627906976744186,118,0.03333333333333333,0.014755555555555556
