row_index,decision_id,disposition,episode_id,fit_exclusion,graph_available,group_id,label_future_failure,prefix_hash,scalar_fit_mask,scalar_probability,split,task_id
0,collection-made-0e27e5c04511ea16fc8c64a3:d0000000-c0,invalid_not_executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,False,Al-Au-Hf,,12ae73b535197bff5299591eb6530ec50a1bf7f814ab16dbed77261bae84468b,False,0.4988786280155182,train,Al-Au-Hf
1,collection-made-0e27e5c04511ea16fc8c64a3:d0000000-c1,invalid_not_executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,False,Al-Au-Hf,,01af6f7801f1374960705ea2fb501bb9452e2019ef1531bb6156a19a6f826c30,False,0.4987258017063141,train,Al-Au-Hf
2,collection-made-0e27e5c04511ea16fc8c64a3:d0000001-c0,invalid_not_executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,False,Al-Au-Hf,,96aa5b8fe2f9594bb8e5f10f659b45a6061b65ce85e196d617492aa6fe70578d,False,0.49886032938957214,train,Al-Au-Hf
3,collection-made-0e27e5c04511ea16fc8c64a3:d0000001-c1,invalid_not_executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,False,Al-Au-Hf,,23beddc0e89340b0ddcb575042c1b0c5df0ddf7256d9fbfd7529066c3e0bd487,False,0.49767714738845825,train,Al-Au-Hf
4,collection-made-0e27e5c04511ea16fc8c64a3:d0000002-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,3c09930a3e120ecf8674a51333caa609858cc0a3acbf8de2b2cd1a62b8d60ad9,True,0.49937212467193604,train,Al-Au-Hf
5,collection-made-0e27e5c04511ea16fc8c64a3:d0000003-c0,rejected_not_executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,False,Al-Au-Hf,,32399b51944e9c733d6ef3a4b695480ed13104cb169e2a20394bca775696c1e5,False,0.4985441267490387,train,Al-Au-Hf
6,collection-made-0e27e5c04511ea16fc8c64a3:d0000003-c1,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,34a989bf41a9223c2e1187f6be42e4336af209031b6d9d2decd93e2fedcf82d1,True,0.49919378757476807,train,Al-Au-Hf
7,collection-made-0e27e5c04511ea16fc8c64a3:d0000004-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,e18269d886d7e1ce47633abc71001b8320339e3ba16d274f30bc34daa46c76d5,True,0.5006514191627502,train,Al-Au-Hf
8,collection-made-0e27e5c04511ea16fc8c64a3:d0000005-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,99c032d89ef5d5f6837b1dee0b20f13eede7d8dd75e77620567f44a5781848fe,True,0.5006359815597534,train,Al-Au-Hf
9,collection-made-0e27e5c04511ea16fc8c64a3:d0000006-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,d70b49a5a4106f26725004cf6fa5204e39616e8258e74baaa92e15b4aa9018a8,True,0.5009680390357971,train,Al-Au-Hf
10,collection-made-0e27e5c04511ea16fc8c64a3:d0000007-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,b6dfa9a44fabbc87bb453d9a764b7d650a3b13f6a73f3d95d6e8f18e98f9e78c,True,0.5010845065116882,train,Al-Au-Hf
11,collection-made-0e27e5c04511ea16fc8c64a3:d0000008-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,43053478cc595979a7cf0e1bcda2728fe359a4411ff8dab5f528d9ac902a4327,True,0.5007750391960144,train,Al-Au-Hf
12,collection-made-0e27e5c04511ea16fc8c64a3:d0000009-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,f0d027141db9b71e50c5eac90ce7cd8ea1299cb06fd20469674fbe12ec74889f,True,0.49967339634895325,train,Al-Au-Hf
13,collection-made-0e27e5c04511ea16fc8c64a3:d0000010-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,ac3d828745c73cd5f10d3eac0fcc3e083a2994a379c89213b86e5c0bbbd7d1bb,True,0.5006693005561829,train,Al-Au-Hf
14,collection-made-0e27e5c04511ea16fc8c64a3:d0000011-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,3168cb4fb28b85b443a884959ae4eca3b72d4e0cfe6650b32f7b7efba1069be3,True,0.5005413293838501,train,Al-Au-Hf
15,collection-made-0e27e5c04511ea16fc8c64a3:d0000012-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,7c297cec0f55a7086750399e73416a3e176176718b92dab751d2974767d5b52f,True,0.49993014335632324,train,Al-Au-Hf
16,collection-made-0e27e5c04511ea16fc8c64a3:d0000013-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,146e425fac9073090fe7d84fae15271f7fd5823643ba72be9e8c856c21e95081,True,0.49976086616516113,train,Al-Au-Hf
17,collection-made-0e27e5c04511ea16fc8c64a3:d0000014-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,8fd5d7df941234403b4097389a1b2dff0209f2e9c75350febfb73066f0ee4893,True,0.49981266260147095,train,Al-Au-Hf
18,collection-made-0e27e5c04511ea16fc8c64a3:d0000015-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,592673d6db0685542c66c4010f62ddb4d1ccdbb7656996812ea7e86e887f3fde,True,0.49977990984916687,train,Al-Au-Hf
19,collection-made-0e27e5c04511ea16fc8c64a3:d0000016-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,b0708966b4830e2962ac9f786ecc6875c9ee73fbe0ce297c234565f1c0832d30,True,0.4996665418148041,train,Al-Au-Hf
20,collection-made-0e27e5c04511ea16fc8c64a3:d0000017-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,2584da261be5632249d2e38777922f33c186f277727c5eba71d855b8cd83ece3,True,0.4998167157173157,train,Al-Au-Hf
21,collection-made-0e27e5c04511ea16fc8c64a3:d0000018-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,d6aaa24c28626e7a2633d1928dc53226d9803443a6eacde84dc8d9a8982e4ac6,True,0.49979981780052185,train,Al-Au-Hf
22,collection-made-0e27e5c04511ea16fc8c64a3:d0000019-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,a363447920a113a0304e6722c4de2e543239b6b3eca4b34040c2b7a0f8125f58,True,0.49984222650527954,train,Al-Au-Hf
23,collection-made-0e27e5c04511ea16fc8c64a3:d0000020-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,01b104c67331876efeafec4d90cb31808afbdf21d3291af3b8eed6ba9251dc1c,True,0.49971988797187805,train,Al-Au-Hf
24,collection-made-0e27e5c04511ea16fc8c64a3:d0000021-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,c2543a5bc04ead44b9f8c507fdf8040c65c5ec3d18b5f5a8c188ad0878e23e54,True,0.49988314509391785,train,Al-Au-Hf
25,collection-made-0e27e5c04511ea16fc8c64a3:d0000022-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,d8b6e3be816254b4ac96382c63d29fa1fa53cfecba5f4cf25b7a72a1bac6daab,True,0.4997520446777344,train,Al-Au-Hf
26,collection-made-0e27e5c04511ea16fc8c64a3:d0000023-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,6653298d1c246f6cc03a14fdde565c1909bacea97ae45681ea3df9fc5058c0e9,True,0.49986532330513,train,Al-Au-Hf
27,collection-made-0e27e5c04511ea16fc8c64a3:d0000024-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,0,6c45f5bb4c3b1b5be737a98cb25aac766c7eecc56efc0861e9eddbe1114cc737,True,0.49980613589286804,train,Al-Au-Hf
28,collection-made-0e27e5c04511ea16fc8c64a3:d0000025-c0,executed,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,,True,Al-Au-Hf,1,2f6ed7bfedaf9c60bc7d9d916f506164b1a95b4fa98535629b20d7b7fd0686ac,True,0.49982959032058716,train,Al-Au-Hf
