model,column,feature_name
full_internal,0,action.atomic_action
full_internal,1,action.create_structure
full_internal,2,action.generate_structures
full_internal,3,action.get_buffer_stats
full_internal,4,action.invalid
full_internal,5,action.list_compositions
full_internal,6,action.query_structures
full_internal,7,action.score_buffer
full_internal,8,action.select_for_evaluation
full_internal,9,graph.activation_max
full_internal,10,graph.activation_mean
full_internal,11,graph.activation_missing
full_internal,12,graph.activation_q50
full_internal,13,graph.activation_q90
full_internal,14,graph.activation_q99
full_internal,15,graph.activation_std
full_internal,16,graph.degree_max
full_internal,17,graph.degree_mean
full_internal,18,graph.degree_std
full_internal,19,graph.density
full_internal,20,graph.edge_abs_effective_count
full_internal,21,graph.edge_abs_hhi
full_internal,22,graph.edge_abs_sum
full_internal,23,graph.edge_abs_top10_share
full_internal,24,graph.edge_abs_top1_share
full_internal,25,graph.edge_count
full_internal,26,graph.edge_negative_abs_sum
full_internal,27,graph.edge_negative_fraction
full_internal,28,graph.edge_positive_sum
full_internal,29,graph.edge_signed_mean
full_internal,30,graph.edge_signed_std
full_internal,31,graph.edge_signed_sum
full_internal,32,graph.empty_after_pruning
full_internal,33,graph.error_influence_fraction
full_internal,34,graph.error_node_count
full_internal,35,graph.feature_node_count
full_internal,36,graph.graph_missing
full_internal,37,graph.input_logit_min_hops
full_internal,38,graph.input_logit_min_positive_distance
full_internal,39,graph.input_logit_path_missing
full_internal,40,graph.input_logit_reachability_missing
full_internal,41,graph.input_logit_reachable_logit_fraction
full_internal,42,graph.layer_0_activation_mean
full_internal,43,graph.layer_0_feature_count
full_internal,44,graph.layer_0_feature_fraction
full_internal,45,graph.layer_10_activation_mean
full_internal,46,graph.layer_10_feature_count
full_internal,47,graph.layer_10_feature_fraction
full_internal,48,graph.layer_11_activation_mean
full_internal,49,graph.layer_11_feature_count
full_internal,50,graph.layer_11_feature_fraction
full_internal,51,graph.layer_12_activation_mean
full_internal,52,graph.layer_12_feature_count
full_internal,53,graph.layer_12_feature_fraction
full_internal,54,graph.layer_13_activation_mean
full_internal,55,graph.layer_13_feature_count
full_internal,56,graph.layer_13_feature_fraction
full_internal,57,graph.layer_14_activation_mean
full_internal,58,graph.layer_14_feature_count
full_internal,59,graph.layer_14_feature_fraction
full_internal,60,graph.layer_15_activation_mean
full_internal,61,graph.layer_15_feature_count
full_internal,62,graph.layer_15_feature_fraction
full_internal,63,graph.layer_16_activation_mean
full_internal,64,graph.layer_16_feature_count
full_internal,65,graph.layer_16_feature_fraction
full_internal,66,graph.layer_17_activation_mean
full_internal,67,graph.layer_17_feature_count
full_internal,68,graph.layer_17_feature_fraction
full_internal,69,graph.layer_18_activation_mean
full_internal,70,graph.layer_18_feature_count
full_internal,71,graph.layer_18_feature_fraction
full_internal,72,graph.layer_19_activation_mean
full_internal,73,graph.layer_19_feature_count
full_internal,74,graph.layer_19_feature_fraction
full_internal,75,graph.layer_1_activation_mean
full_internal,76,graph.layer_1_feature_count
full_internal,77,graph.layer_1_feature_fraction
full_internal,78,graph.layer_20_activation_mean
full_internal,79,graph.layer_20_feature_count
full_internal,80,graph.layer_20_feature_fraction
full_internal,81,graph.layer_21_activation_mean
full_internal,82,graph.layer_21_feature_count
full_internal,83,graph.layer_21_feature_fraction
full_internal,84,graph.layer_22_activation_mean
full_internal,85,graph.layer_22_feature_count
full_internal,86,graph.layer_22_feature_fraction
full_internal,87,graph.layer_23_activation_mean
full_internal,88,graph.layer_23_feature_count
full_internal,89,graph.layer_23_feature_fraction
full_internal,90,graph.layer_24_activation_mean
full_internal,91,graph.layer_24_feature_count
full_internal,92,graph.layer_24_feature_fraction
full_internal,93,graph.layer_25_activation_mean
full_internal,94,graph.layer_25_feature_count
full_internal,95,graph.layer_25_feature_fraction
full_internal,96,graph.layer_26_activation_mean
full_internal,97,graph.layer_26_feature_count
full_internal,98,graph.layer_26_feature_fraction
full_internal,99,graph.layer_27_activation_mean
full_internal,100,graph.layer_27_feature_count
full_internal,101,graph.layer_27_feature_fraction
full_internal,102,graph.layer_28_activation_mean
full_internal,103,graph.layer_28_feature_count
full_internal,104,graph.layer_28_feature_fraction
full_internal,105,graph.layer_29_activation_mean
full_internal,106,graph.layer_29_feature_count
full_internal,107,graph.layer_29_feature_fraction
full_internal,108,graph.layer_2_activation_mean
full_internal,109,graph.layer_2_feature_count
full_internal,110,graph.layer_2_feature_fraction
full_internal,111,graph.layer_30_activation_mean
full_internal,112,graph.layer_30_feature_count
full_internal,113,graph.layer_30_feature_fraction
full_internal,114,graph.layer_31_activation_mean
full_internal,115,graph.layer_31_feature_count
full_internal,116,graph.layer_31_feature_fraction
full_internal,117,graph.layer_3_activation_mean
full_internal,118,graph.layer_3_feature_count
full_internal,119,graph.layer_3_feature_fraction
full_internal,120,graph.layer_4_activation_mean
full_internal,121,graph.layer_4_feature_count
full_internal,122,graph.layer_4_feature_fraction
full_internal,123,graph.layer_5_activation_mean
full_internal,124,graph.layer_5_feature_count
full_internal,125,graph.layer_5_feature_fraction
full_internal,126,graph.layer_6_activation_mean
full_internal,127,graph.layer_6_feature_count
full_internal,128,graph.layer_6_feature_fraction
full_internal,129,graph.layer_7_activation_mean
full_internal,130,graph.layer_7_feature_count
full_internal,131,graph.layer_7_feature_fraction
full_internal,132,graph.layer_8_activation_mean
full_internal,133,graph.layer_8_feature_count
full_internal,134,graph.layer_8_feature_fraction
full_internal,135,graph.layer_9_activation_mean
full_internal,136,graph.layer_9_feature_count
full_internal,137,graph.layer_9_feature_fraction
full_internal,138,graph.layer_metadata_missing
full_internal,139,graph.logit_node_count
full_internal,140,graph.logit_probabilities_missing
full_internal,141,graph.node_count
full_internal,142,graph.node_influence_effective_count
full_internal,143,graph.node_influence_hhi
full_internal,144,graph.node_influence_missing
full_internal,145,graph.node_influence_top10_share
full_internal,146,graph.node_influence_top1_share
full_internal,147,graph.path_budget_exhausted
full_internal,148,graph.sampled_hop_statistics_missing
full_internal,149,graph.sampled_path_missing
full_internal,150,graph.sampled_path_source_count
full_internal,151,graph.sampled_reachable_max_hops
full_internal,152,graph.sampled_reachable_mean_hops
full_internal,153,graph.sampled_reachable_pair_fraction
full_internal,154,graph.score_node_count
full_internal,155,graph.selected_logit_entropy
full_internal,156,graph.selected_logit_probability_mass
full_internal,157,graph.token_node_count
full_internal,158,graph.top_logit_probability
full_internal,159,graph.weak_components
full_internal,160,graph.weighted_path_budget_exhausted
full_internal,161,graph.weighted_path_missing
full_internal,162,hidden.capture_parity_max_abs
full_internal,163,hidden.model.language_model.layers.0.mlp.input_mean
full_internal,164,hidden.model.language_model.layers.0.mlp.input_rms
full_internal,165,hidden.model.language_model.layers.0.mlp.output_mean
full_internal,166,hidden.model.language_model.layers.0.mlp.output_rms
full_internal,167,hidden.model.language_model.layers.1.mlp.input_mean
full_internal,168,hidden.model.language_model.layers.1.mlp.input_rms
full_internal,169,hidden.model.language_model.layers.1.mlp.output_mean
full_internal,170,hidden.model.language_model.layers.1.mlp.output_rms
full_internal,171,hidden.model.language_model.layers.10.mlp.input_mean
full_internal,172,hidden.model.language_model.layers.10.mlp.input_rms
full_internal,173,hidden.model.language_model.layers.10.mlp.output_mean
full_internal,174,hidden.model.language_model.layers.10.mlp.output_rms
full_internal,175,hidden.model.language_model.layers.11.mlp.input_mean
full_internal,176,hidden.model.language_model.layers.11.mlp.input_rms
full_internal,177,hidden.model.language_model.layers.11.mlp.output_mean
full_internal,178,hidden.model.language_model.layers.11.mlp.output_rms
full_internal,179,hidden.model.language_model.layers.12.mlp.input_mean
full_internal,180,hidden.model.language_model.layers.12.mlp.input_rms
full_internal,181,hidden.model.language_model.layers.12.mlp.output_mean
full_internal,182,hidden.model.language_model.layers.12.mlp.output_rms
full_internal,183,hidden.model.language_model.layers.13.mlp.input_mean
full_internal,184,hidden.model.language_model.layers.13.mlp.input_rms
full_internal,185,hidden.model.language_model.layers.13.mlp.output_mean
full_internal,186,hidden.model.language_model.layers.13.mlp.output_rms
full_internal,187,hidden.model.language_model.layers.14.mlp.input_mean
full_internal,188,hidden.model.language_model.layers.14.mlp.input_rms
full_internal,189,hidden.model.language_model.layers.14.mlp.output_mean
full_internal,190,hidden.model.language_model.layers.14.mlp.output_rms
full_internal,191,hidden.model.language_model.layers.15.mlp.input_mean
full_internal,192,hidden.model.language_model.layers.15.mlp.input_rms
full_internal,193,hidden.model.language_model.layers.15.mlp.output_mean
full_internal,194,hidden.model.language_model.layers.15.mlp.output_rms
full_internal,195,hidden.model.language_model.layers.16.mlp.input_mean
full_internal,196,hidden.model.language_model.layers.16.mlp.input_rms
full_internal,197,hidden.model.language_model.layers.16.mlp.output_mean
full_internal,198,hidden.model.language_model.layers.16.mlp.output_rms
full_internal,199,hidden.model.language_model.layers.17.mlp.input_mean
full_internal,200,hidden.model.language_model.layers.17.mlp.input_rms
full_internal,201,hidden.model.language_model.layers.17.mlp.output_mean
full_internal,202,hidden.model.language_model.layers.17.mlp.output_rms
full_internal,203,hidden.model.language_model.layers.18.mlp.input_mean
full_internal,204,hidden.model.language_model.layers.18.mlp.input_rms
full_internal,205,hidden.model.language_model.layers.18.mlp.output_mean
full_internal,206,hidden.model.language_model.layers.18.mlp.output_rms
full_internal,207,hidden.model.language_model.layers.19.mlp.input_mean
full_internal,208,hidden.model.language_model.layers.19.mlp.input_rms
full_internal,209,hidden.model.language_model.layers.19.mlp.output_mean
full_internal,210,hidden.model.language_model.layers.19.mlp.output_rms
full_internal,211,hidden.model.language_model.layers.2.mlp.input_mean
full_internal,212,hidden.model.language_model.layers.2.mlp.input_rms
full_internal,213,hidden.model.language_model.layers.2.mlp.output_mean
full_internal,214,hidden.model.language_model.layers.2.mlp.output_rms
full_internal,215,hidden.model.language_model.layers.20.mlp.input_mean
full_internal,216,hidden.model.language_model.layers.20.mlp.input_rms
full_internal,217,hidden.model.language_model.layers.20.mlp.output_mean
full_internal,218,hidden.model.language_model.layers.20.mlp.output_rms
full_internal,219,hidden.model.language_model.layers.21.mlp.input_mean
full_internal,220,hidden.model.language_model.layers.21.mlp.input_rms
full_internal,221,hidden.model.language_model.layers.21.mlp.output_mean
full_internal,222,hidden.model.language_model.layers.21.mlp.output_rms
full_internal,223,hidden.model.language_model.layers.22.mlp.input_mean
full_internal,224,hidden.model.language_model.layers.22.mlp.input_rms
full_internal,225,hidden.model.language_model.layers.22.mlp.output_mean
full_internal,226,hidden.model.language_model.layers.22.mlp.output_rms
full_internal,227,hidden.model.language_model.layers.23.mlp.input_mean
full_internal,228,hidden.model.language_model.layers.23.mlp.input_rms
full_internal,229,hidden.model.language_model.layers.23.mlp.output_mean
full_internal,230,hidden.model.language_model.layers.23.mlp.output_rms
full_internal,231,hidden.model.language_model.layers.24.mlp.input_mean
full_internal,232,hidden.model.language_model.layers.24.mlp.input_rms
full_internal,233,hidden.model.language_model.layers.24.mlp.output_mean
full_internal,234,hidden.model.language_model.layers.24.mlp.output_rms
full_internal,235,hidden.model.language_model.layers.25.mlp.input_mean
full_internal,236,hidden.model.language_model.layers.25.mlp.input_rms
full_internal,237,hidden.model.language_model.layers.25.mlp.output_mean
full_internal,238,hidden.model.language_model.layers.25.mlp.output_rms
full_internal,239,hidden.model.language_model.layers.26.mlp.input_mean
full_internal,240,hidden.model.language_model.layers.26.mlp.input_rms
full_internal,241,hidden.model.language_model.layers.26.mlp.output_mean
full_internal,242,hidden.model.language_model.layers.26.mlp.output_rms
full_internal,243,hidden.model.language_model.layers.27.mlp.input_mean
full_internal,244,hidden.model.language_model.layers.27.mlp.input_rms
full_internal,245,hidden.model.language_model.layers.27.mlp.output_mean
full_internal,246,hidden.model.language_model.layers.27.mlp.output_rms
full_internal,247,hidden.model.language_model.layers.28.mlp.input_mean
full_internal,248,hidden.model.language_model.layers.28.mlp.input_rms
full_internal,249,hidden.model.language_model.layers.28.mlp.output_mean
full_internal,250,hidden.model.language_model.layers.28.mlp.output_rms
full_internal,251,hidden.model.language_model.layers.29.mlp.input_mean
full_internal,252,hidden.model.language_model.layers.29.mlp.input_rms
full_internal,253,hidden.model.language_model.layers.29.mlp.output_mean
full_internal,254,hidden.model.language_model.layers.29.mlp.output_rms
full_internal,255,hidden.model.language_model.layers.3.mlp.input_mean
full_internal,256,hidden.model.language_model.layers.3.mlp.input_rms
full_internal,257,hidden.model.language_model.layers.3.mlp.output_mean
full_internal,258,hidden.model.language_model.layers.3.mlp.output_rms
full_internal,259,hidden.model.language_model.layers.30.mlp.input_mean
full_internal,260,hidden.model.language_model.layers.30.mlp.input_rms
full_internal,261,hidden.model.language_model.layers.30.mlp.output_mean
full_internal,262,hidden.model.language_model.layers.30.mlp.output_rms
full_internal,263,hidden.model.language_model.layers.31.mlp.input_mean
full_internal,264,hidden.model.language_model.layers.31.mlp.input_rms
full_internal,265,hidden.model.language_model.layers.31.mlp.output_mean
full_internal,266,hidden.model.language_model.layers.31.mlp.output_rms
full_internal,267,hidden.model.language_model.layers.4.mlp.input_mean
full_internal,268,hidden.model.language_model.layers.4.mlp.input_rms
full_internal,269,hidden.model.language_model.layers.4.mlp.output_mean
full_internal,270,hidden.model.language_model.layers.4.mlp.output_rms
full_internal,271,hidden.model.language_model.layers.5.mlp.input_mean
full_internal,272,hidden.model.language_model.layers.5.mlp.input_rms
full_internal,273,hidden.model.language_model.layers.5.mlp.output_mean
full_internal,274,hidden.model.language_model.layers.5.mlp.output_rms
full_internal,275,hidden.model.language_model.layers.6.mlp.input_mean
full_internal,276,hidden.model.language_model.layers.6.mlp.input_rms
full_internal,277,hidden.model.language_model.layers.6.mlp.output_mean
full_internal,278,hidden.model.language_model.layers.6.mlp.output_rms
full_internal,279,hidden.model.language_model.layers.7.mlp.input_mean
full_internal,280,hidden.model.language_model.layers.7.mlp.input_rms
full_internal,281,hidden.model.language_model.layers.7.mlp.output_mean
full_internal,282,hidden.model.language_model.layers.7.mlp.output_rms
full_internal,283,hidden.model.language_model.layers.8.mlp.input_mean
full_internal,284,hidden.model.language_model.layers.8.mlp.input_rms
full_internal,285,hidden.model.language_model.layers.8.mlp.output_mean
full_internal,286,hidden.model.language_model.layers.8.mlp.output_rms
full_internal,287,hidden.model.language_model.layers.9.mlp.input_mean
full_internal,288,hidden.model.language_model.layers.9.mlp.input_rms
full_internal,289,hidden.model.language_model.layers.9.mlp.output_mean
full_internal,290,hidden.model.language_model.layers.9.mlp.output_rms
full_internal,291,hidden.raw_next_token_entropy
full_internal,292,sampling.completion_tokens
full_internal,293,sampling.entropy_max
full_internal,294,sampling.entropy_mean
full_internal,295,sampling.mean_logprob
full_internal,296,sampling.prompt_tokens
full_internal,297,sampling.valid_json_action
external_only_control,0,action.atomic_action
external_only_control,1,action.create_structure
external_only_control,2,action.generate_structures
external_only_control,3,action.get_buffer_stats
external_only_control,4,action.invalid
external_only_control,5,action.list_compositions
external_only_control,6,action.query_structures
external_only_control,7,action.score_buffer
external_only_control,8,action.select_for_evaluation
external_only_control,9,sampling.completion_tokens
external_only_control,10,sampling.entropy_max
external_only_control,11,sampling.entropy_mean
external_only_control,12,sampling.mean_logprob
external_only_control,13,sampling.prompt_tokens
external_only_control,14,sampling.valid_json_action
