model,fold,heldout_episode,optimizer_updates,split,auroc,brier,n,n_at_or_above_fixed_point6,nll,model_state_hash,source_sha256
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,0,train,0.430686090225564,0.25550933087611705,208,0,0.7041696955833151,6c424259a7e177f570c6826a6bfce13bc159cda4fdfab2da1ff78e0bbd8e9c84,17948e564aab75af4b75c4af1789be59ba9942e2616206a2fa5eb82ab7915558
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,0,heldout_training_episode,0.4469696969696969,0.2530038751955277,85,0,0.6991567297961259,6c424259a7e177f570c6826a6bfce13bc159cda4fdfab2da1ff78e0bbd8e9c84,17948e564aab75af4b75c4af1789be59ba9942e2616206a2fa5eb82ab7915558
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,2,train,0.6630639097744361,0.24622895459021985,208,0,0.6855783649173817,83617071b84fe7cd13292fc001d26bd6bbca770b5b659c0410442e537242dcd2,37df45fa0b0c65c7fab911a7f6eca3efe738a6e4fd9cb79951a0651cdaea0dd3
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,2,heldout_training_episode,0.44463869463869454,0.2499600368318975,85,0,0.6930532766894221,83617071b84fe7cd13292fc001d26bd6bbca770b5b659c0410442e537242dcd2,37df45fa0b0c65c7fab911a7f6eca3efe738a6e4fd9cb79951a0651cdaea0dd3
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,4,train,0.7044172932330827,0.23672608897653838,208,17,0.6662545516721217,3085ff3ee00009a4c322ce64e32538f915591176e671a1ea0f02e52168eea14c,9faa389e6a67faaca245a57ade9dfcff460f8942904688a51613cb546bccf8c3
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,4,heldout_training_episode,0.4271561771561771,0.24853630638790833,85,12,0.6901290770410307,3085ff3ee00009a4c322ce64e32538f915591176e671a1ea0f02e52168eea14c,9faa389e6a67faaca245a57ade9dfcff460f8942904688a51613cb546bccf8c3
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,8,train,0.6635338345864662,0.21589611177104848,208,45,0.6205579796970105,70a2bba38be43c630e84627e7a1184846c9dd2de1320157b0ce7980e5a98984e,3379239b85146103249a5ac33a671efa8276a83ca9b0310af588e5fb46912a94
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,8,heldout_training_episode,0.4271561771561771,0.2542152365561915,85,25,0.7042815004324019,70a2bba38be43c630e84627e7a1184846c9dd2de1320157b0ce7980e5a98984e,3379239b85146103249a5ac33a671efa8276a83ca9b0310af588e5fb46912a94
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,16,train,0.6793937969924813,0.18422349047642952,208,139,0.5419604551646503,98af40b89487147c21a54654e6ec6d0ab343858f7740b96abf47bd06f374cf25,b0c5f0a4ccb7b2aa1dfbe94516d892809d309a16970985e992526b0fedbe078d
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,16,heldout_training_episode,0.43706293706293703,0.2817686504464074,85,48,0.8331488443557072,98af40b89487147c21a54654e6ec6d0ab343858f7740b96abf47bd06f374cf25,b0c5f0a4ccb7b2aa1dfbe94516d892809d309a16970985e992526b0fedbe078d
