model,fold,control,probability,auroc,brier,ece,error_auprc,error_rate,n,nll,overconfident_error_rate_p_le_0_1,risk_coverage_auc
full_internal,0,half,0.5,0.5,0.25,0.11176470588235299,0.611764705882353,0.611764705882353,85,0.6931471805599454,0.0,0.5915952446015189
full_internal,0,fold_train_prior,0.7307692307692307,0.5,0.2516707274625826,0.11900452488687796,0.611764705882353,0.611764705882353,85,0.7013216928981849,0.0,0.5915952446015189
full_internal,1,half,0.5,0.5,0.25,0.1633663366336634,0.6633663366336634,0.6633663366336634,101,0.6931471805599454,0.0,0.6245882187806223
full_internal,1,fold_train_prior,0.7135416666666666,0.5,0.22582900379881737,0.05017533003300367,0.6633663366336634,0.6633663366336634,101,0.6447423984793819,0.0,0.6245882187806223
full_internal,2,half,0.5,0.5,0.25,0.29439252336448596,0.794392523364486,0.794392523364486,107,0.6931471805599453,0.0,0.6689954996457299
full_internal,2,fold_train_prior,0.6397849462365591,0.5,0.1872365450924584,0.15460757712792683,0.794392523364486,0.794392523364486,107,0.5647304630488905,0.0,0.6689954996457299
external_only_control,0,half,0.5,0.5,0.25,0.11176470588235299,0.611764705882353,0.611764705882353,85,0.6931471805599454,0.0,0.5915952446015189
external_only_control,0,fold_train_prior,0.7307692307692307,0.5,0.2516707274625826,0.11900452488687796,0.611764705882353,0.611764705882353,85,0.7013216928981849,0.0,0.5915952446015189
external_only_control,1,half,0.5,0.5,0.25,0.1633663366336634,0.6633663366336634,0.6633663366336634,101,0.6931471805599454,0.0,0.6245882187806223
external_only_control,1,fold_train_prior,0.7135416666666666,0.5,0.22582900379881737,0.05017533003300367,0.6633663366336634,0.6633663366336634,101,0.6447423984793819,0.0,0.6245882187806223
external_only_control,2,half,0.5,0.5,0.25,0.29439252336448596,0.794392523364486,0.794392523364486,107,0.6931471805599453,0.0,0.6689954996457299
external_only_control,2,fold_train_prior,0.6397849462365591,0.5,0.1872365450924584,0.15460757712792683,0.794392523364486,0.794392523364486,107,0.5647304630488905,0.0,0.6689954996457299
