cohort,budget,arm,decisions,candidates,valid_candidates,support_assessed_candidates,supported_candidates,support_fraction,scored_candidates,two_valid_decisions,duplicate_two_valid,duplicate_fraction_among_two_valid,distinct_two_valid,actual_packet_change_denominator,actual_packet_changes,actual_packet_change_fraction,index_changes,risk_used_decisions,risk_used_fraction,fallback_decisions,fallback_reasons,same_packet_scored_decisions,same_packet_probability_gap_mean
DW_Easy,100,ActionPool2,400,800,800,800,800,1.0,800,400,226,0.565,174,400,114,0.285,214,400,1.0,0,{},226,0.04423355409232652
DW_Easy,100,Native,400,400,400,400,400,1.0,0,0,0,,0,400,0,0.0,0,0,0.0,0,{},0,
DW_Easy,100,Public2,400,800,800,800,800,1.0,800,400,272,0.68,128,400,79,0.1975,173,400,1.0,0,{},272,0.07537784122242182
DW_Proteomics,10,ActionPool2,200,400,400,400,400,1.0,400,200,128,0.64,72,200,40,0.2,90,200,1.0,0,{},128,0.021277324613038218
DW_Proteomics,10,Common2,200,400,400,400,400,1.0,0,200,123,0.615,77,200,34,0.17,92,0,0.0,200,"{""risk_independent_common_hash"":200}",0,
DW_Proteomics,10,Native,200,200,200,200,200,1.0,0,0,0,,0,200,0,0.0,0,0,0.0,0,{},0,
DW_Proteomics,10,Public2,200,400,400,400,400,1.0,400,200,117,0.585,83,200,48,0.24,78,200,1.0,0,{},117,0.07296465362748529
DW_Proteomics,20,ActionPool2,400,800,800,800,800,1.0,800,400,244,0.61,156,400,71,0.1775,178,400,1.0,0,{},244,0.02804251324068602
DW_Proteomics,20,Common2,400,800,800,800,800,1.0,0,400,254,0.635,146,400,80,0.2,218,0,0.0,400,"{""risk_independent_common_hash"":400}",0,
DW_Proteomics,20,Native,400,400,400,400,400,1.0,0,0,0,,0,400,0,0.0,0,0,0.0,0,{},0,
DW_Proteomics,20,Public2,400,800,800,800,800,1.0,800,400,244,0.61,156,400,76,0.19,141,400,1.0,0,{},244,0.07207250242029913
DW_Proteomics,30,ActionPool2,600,1200,1200,1200,1200,1.0,1200,600,341,0.5683333333333334,259,600,138,0.23,284,600,1.0,0,{},341,0.027441828515752057
DW_Proteomics,30,Common2,600,1200,1200,1200,1200,1.0,0,600,355,0.5916666666666667,245,600,150,0.25,328,0,0.0,600,"{""risk_independent_common_hash"":600}",0,
DW_Proteomics,30,Native,600,600,600,600,600,1.0,0,0,0,,0,600,0,0.0,0,0,0.0,0,{},0,
DW_Proteomics,30,Public2,600,1200,1200,1200,1200,1.0,1200,600,337,0.5616666666666666,263,600,144,0.24,231,600,1.0,0,{},337,0.06875631389296573
DW_Proteomics,100,ActionPool2,600,1200,1200,1200,1200,1.0,1200,600,323,0.5383333333333333,277,600,105,0.175,238,600,1.0,0,{},323,0.02451181751257818
