AUDC,SUN,arm,benchmark,budget,candidate_oracle_calls,capture_seconds,cohort,completion_tokens,decision_rows,difficulty,environment_calls,episode_wall_seconds,generation_calls,initialization_oracle_calls,initialization_wall_seconds,job_id,mSUN,policy_seed,pooling_forwards,prompt_tokens,registered_budget_unit,registered_state,rpc_attempts,status,surrogate_oracle_calls,task,task_progress,task_success,whole_job_wall_seconds,world,stratum,total_tokens,action_success_rate,agent_attempts,bootstrap_ticks,explicit_tick_returns,scenario_warmup_ticks,completion_sha256
0.95,9,ActionPool2,MADE,10,10,45.72398683428764,MADE,5233,18,,18,623.5379398670048,36,96,179.27131793648005,made-core-v2-Mg-Sn-Sr-b10-s501-ActionPool2,0.9,501,38,76978,candidate_oracle_attempts,pending,36,accepted,24,Mg-Sn-Sr,,,934.9004465686157,,Mg-Sn-Sr,82211,,,,,,3414e6f4561fa2c7613aac7cc6dd8ff06846efc1672e29dc506cb7a61c8150d7
0.17,1,ActionPool2,MADE,10,10,50.24689765647054,MADE,4487,15,,15,539.6751457401551,30,11,31.857821306679398,made-core-v2-Au-K-Tb-b10-s501-ActionPool2,0.1,501,40,68268,candidate_oracle_attempts,pending,30,accepted,3,Au-K-Tb,,,705.2867998550646,,Au-K-Tb,72755,,,,,,b5af36b3955146d4298141916f91d0531115b585f17a832174ef727c43618b17
0.96,8,ActionPool2,MADE,10,10,65.77957531623542,MADE,6367,20,,20,765.0540922181681,40,96,177.56797980796546,made-core-v2-Mg-Sn-Sr-b10-s502-ActionPool2,0.8,502,58,77278,candidate_oracle_attempts,pending,40,accepted,10,Mg-Sn-Sr,,,1079.1308903433383,,Mg-Sn-Sr,83645,,,,,,7e4660dcc0efa5375c5570769aca401eb35d44c33200477897c34abd3b764cbb
0.13,1,ActionPool2,MADE,10,10,34.89354022918269,MADE,5996,24,,24,709.9714461192489,48,11,35.761859993916005,made-core-v2-Au-K-Tb-b10-s502-ActionPool2,0.1,502,36,85149,candidate_oracle_attempts,pending,48,accepted,38,Au-K-Tb,,,880.0055331168696,,Au-K-Tb,91145,,,,,,a5c58ffe042f224a5bbd7bad6dde63f68ee54c0811521971c68f8cf49e135996
0.25,3,Native,MADE,10,10,0.0,MADE,3586,23,,21,399.2446831827983,23,96,177.35920673888177,made-core-v2-Mg-Sn-Sr-b10-s503-Native1,0.3,503,0,48399,candidate_oracle_attempts,pending,42,accepted,,Mg-Sn-Sr,,,712.6641877796501,,Mg-Sn-Sr,51985,,,,,,298c056009c2707cf2a960ab3b4f27da0d93ba5d332feaeaf064c6e5a316f7a0
1.0,10,ActionPool2,MADE,10,10,106.59696911508217,MADE,8756,29,,29,1041.5158827719279,58,96,192.1055416110903,made-core-v2-Mg-Sn-Sr-b10-s503-ActionPool2,1.0,503,86,128397,candidate_oracle_attempts,pending,58,accepted,27,Mg-Sn-Sr,,,1366.7157543748617,,Mg-Sn-Sr,137153,,,,,,73742cdc5bdd76016279de0840b46cf732c74c11eb8d72084ba46d583375cf38
0.16,2,Native,MADE,10,10,0.0,MADE,2381,20,,19,310.8788622720167,20,11,33.40134669980034,made-core-v2-Au-K-Tb-b10-s503-Native1,0.2,503,0,38217,candidate_oracle_attempts,pending,38,accepted,60,Au-K-Tb,,,482.2439692709595,,Au-K-Tb,40598,,,,,,4c624daf338dbfdf6260178e70ff61144c86827096388a0a608c3840c1b623e0
0.52,6,ActionPool2,MADE,10,10,65.79724764311686,MADE,4133,16,,16,553.9351766025648,32,11,34.17306246701628,made-core-v2-Au-K-Tb-b10-s503-ActionPool2,0.6,503,50,71402,candidate_oracle_attempts,pending,32,accepted,,Au-K-Tb,,,724.6678956397809,,Au-K-Tb,75535,,,,,,1fd883513a36a8748ada320c53f1bbe3dd124494a7b110861a53419675060e1a
0.93,9,Native,MADE,10,10,0.0,MADE,3526,26,,24,488.07427068892866,26,96,184.13012848701328,made-core-v2-Mg-Sn-Sr-b10-s504-Native1,0.9,504,0,49987,candidate_oracle_attempts,pending,48,accepted,129,Mg-Sn-Sr,,,814.5271942857653,,Mg-Sn-Sr,53513,,,,,,7db80f94e6a89793a10617f1a6e14c4fbd836b6f7c142fa6b24844d7a18ee4c9
1.0,10,ActionPool2,MADE,10,10,45.95226331613958,MADE,4182,16,,16,544.12175487075,32,96,175.98671236354858,made-core-v2-Mg-Sn-Sr-b10-s504-ActionPool2,1.0,504,40,64010,candidate_oracle_attempts,pending,32,accepted,29,Mg-Sn-Sr,,,848.4119908558205,,Mg-Sn-Sr,68192,,,,,,08a2d82801dd54b15d0750b117b3a38c8d56cb084f41efc8db952d9c7655ae89
