benchmark,permutation,scope,seed,n,failures,failure_rate,Brier,AUROC,NLL
DW,0,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.0789432747145595,0.9433333333333334,0.35566203161801296
DW,1,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08089553058124851,0.9666666666666667,0.33589846828056574
DW,2,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08388246284810627,0.9533333333333334,0.3504050728422924
DW,3,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08142259963694616,0.9433333333333334,0.365162048208581
DW,4,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08413513775640133,0.93,0.3779699412609336
DW,5,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07545376489998833,0.9666666666666667,0.3082539957506842
DW,6,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07691497614608214,0.9666666666666667,0.31225442369541623
DW,7,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.0791165338520309,0.9466666666666667,0.35066706121078856
DW,8,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07893058817591428,0.9533333333333334,0.3413692162531817
DW,9,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.0833912247258413,0.9566666666666667,0.34987093695122684
DW,10,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08059387408584892,0.9433333333333334,0.34248773196225324
DW,11,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07962773320139611,0.97,0.3176332395240193
DW,12,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07963039201200611,0.95,0.3544513391133887
DW,13,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08356761807207835,0.93,0.37590014946192485
DW,14,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08504134657917403,0.95,0.3647083692144409
DW,15,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08062069614730254,0.9466666666666667,0.3425538544733682
DW,16,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08077655943558178,0.9733333333333334,0.33611422225029736
DW,17,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07925508214698249,0.9766666666666667,0.30863796531701454
DW,18,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08264976564727348,0.9466666666666667,0.3630256158491846
DW,19,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08172613956646109,0.9466666666666667,0.34503139211329426
DW,20,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08325284856258804,0.9366666666666666,0.37674084455439905
DW,21,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.0758489943878116,0.9866666666666667,0.29187189103016187
DW,22,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07819109165659752,0.99,0.2952721435625728
DW,23,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07630613395263727,0.9633333333333334,0.3156451730006232
DW,24,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07964267718933908,0.95,0.3514523392468739
DW,25,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07581553753794759,0.97,0.3092364446939829
DW,26,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07817531926207341,0.99,0.2860314466928062
DW,27,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07849219046922047,0.9733333333333334,0.3238549905967083
DW,28,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08071143665135298,0.9666666666666667,0.33656629434252816
DW,29,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08143187455131136,0.97,0.33712308080516895
DW,30,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08218454707119259,0.96,0.33022190675400864
DW,31,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07858025983806102,0.98,0.30328321179830087
DW,32,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.076975601790935,0.9466666666666667,0.3367698244835274
DW,33,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07756663191798496,0.9566666666666667,0.3292179824890984
DW,34,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07874274332437235,0.9633333333333334,0.3326882129377906
DW,35,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07853112198632418,0.9733333333333334,0.3030334409656069
DW,36,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07701614859147406,0.9833333333333333,0.29383741844101535
DW,37,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07964487758740099,0.93,0.37011303449191796
DW,38,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07983442977569803,0.94,0.35884333440034677
DW,39,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07765022399269284,0.97,0.3127449692529048
DW,40,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07534489349456981,0.99,0.28247086443108504
DW,41,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07852646737417915,0.9766666666666667,0.3234527040931969
DW,42,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08562334769055961,0.95,0.36574159304029835
DW,43,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08163141817889209,0.9633333333333334,0.34125255496761026
DW,44,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08296143289841976,0.96,0.3442738560852068
DW,45,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08231733806458139,0.96,0.3418776710254119
DW,46,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07890254135846886,0.9633333333333334,0.3327362573456563
DW,47,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07842186600063783,0.95,0.33985973041059314
DW,48,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07475282115508748,0.9866666666666667,0.28145078819717
DW,49,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07989344086504586,0.97,0.31810632638310665
DW,50,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07750164665842019,0.9766666666666667,0.3146119118135442
DW,51,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07970229194668041,0.94,0.358154538098984
DW,52,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08056299744561755,0.98,0.3201509542822504
