control_job_id,task_id,budget,policy_seed,environment_seed,arm,job_id,state,accepted,AUDC,SUN,mSUN,cost.candidate_oracle_attempts,cost.capture_forward_returns,cost.capture_seconds,cost.completion_tokens,cost.episode_wall_seconds,cost.initialization_oracle_attempts,cost.llm_calls,cost.prompt_tokens,cost.rpc_attempts,cost.surrogate_oracle_attempts,cost.tool_attempts,cost.total_tokens,cost.whole_job_wall_seconds,completion_sha256,failure_sha256
made-risk-shuffle-v1-Au-K-Tb-b10-s501-RiskShuffle2,Au-K-Tb,10,501,501,ActionPool2,made-core-v2-Au-K-Tb-b10-s501-ActionPool2,accepted,True,0.17,1,0.1,10,40,50.24689765647054,4487,539.6751457401551,11,30,68268,30,3,15,72755,705.2867998550646,b5af36b3955146d4298141916f91d0531115b585f17a832174ef727c43618b17,
made-risk-shuffle-v1-Au-K-Tb-b10-s501-RiskShuffle2,Au-K-Tb,10,501,501,Common2,made-online-pooling-v1-Au-K-Tb-b10-s501-Common2,accepted,True,0.39,3,0.3,10,0,0.0,4653,487.60636688768864,11,32,71555,32,3,16,76208,656.2663262197748,3a070b629c109924deae7be36e358c888e33fce4010b606ceefcd6ef8aaa40ec,
made-risk-shuffle-v1-Au-K-Tb-b10-s501-RiskShuffle2,Au-K-Tb,10,501,501,Native1,made-online-pooling-v1-Au-K-Tb-b10-s501-Native1,accepted,True,0.0,0,0.0,10,0,0.0,2941,332.04266552021727,11,18,39621,34,,17,42562,500.3056483878754,7a3c7c4d5df88e4015dfac61918a551f3a45d2cef1b10773f4366d34c88eaf53,
made-risk-shuffle-v1-Au-K-Tb-b10-s501-RiskShuffle2,Au-K-Tb,10,501,501,Public2,made-common-public-v1-Au-K-Tb-b10-s501-Public2,accepted,True,0.17,1,0.1,10,0,0.0,4865,618.6998953409493,11,38,79130,38,88,19,83995,862.4253212586045,0e9b8ff05d2dfac7fdb9e3e1cccc24178f529c2b454747a538be6068cf040a6b,
made-risk-shuffle-v1-Au-K-Tb-b10-s501-RiskShuffle2,Au-K-Tb,10,501,501,RiskShuffle2,made-risk-shuffle-v1-Au-K-Tb-b10-s501-RiskShuffle2,accepted,True,0.09,1,0.1,10,46,61.11367201246321,3988,516.3351708557457,11,30,69647,30,25,15,73635,733.5998840583488,33441b2b2b7a06219497f94c21dfb6c017395215c50e0c837873bc16c1c40a78,
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s501-RiskShuffle2,Mg-Sn-Sr,10,501,501,ActionPool2,made-core-v2-Mg-Sn-Sr-b10-s501-ActionPool2,accepted,True,0.95,9,0.9,10,38,45.72398683428764,5233,623.5379398670048,96,36,76978,36,24,18,82211,934.9004465686157,3414e6f4561fa2c7613aac7cc6dd8ff06846efc1672e29dc506cb7a61c8150d7,
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s501-RiskShuffle2,Mg-Sn-Sr,10,501,501,Common2,made-online-pooling-v1-Mg-Sn-Sr-b10-s501-Common2,accepted,True,0.93,9,0.9,10,0,0.0,4180,452.8633688967675,96,28,52973,28,1,14,57153,761.6698683556169,764682616701e629d553d9bdd511103122de6c885af7b99479040f28ab755c5d,
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s501-RiskShuffle2,Mg-Sn-Sr,10,501,501,Native1,made-online-pooling-v1-Mg-Sn-Sr-b10-s501-Native1,accepted,True,0.86,8,0.8,10,0,0.0,2911,334.6789031838998,96,21,51709,42,4,21,54620,657.7271972950548,e567bd3f383429c50ca8f4316d3958fbda14dc582acc8a8f5c26ae17cf693279,
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s501-RiskShuffle2,Mg-Sn-Sr,10,501,501,Public2,made-online-pooling-v1-Mg-Sn-Sr-b10-s501-Public2,failed_preserved,False,,,,,,,,,,,,,,,,,,4952104045a3af0e97307ea61b75284455a117c381744525516dc352799ed1a4
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s501-RiskShuffle2,Mg-Sn-Sr,10,501,501,RiskShuffle2,made-risk-shuffle-v1-Mg-Sn-Sr-b10-s501-RiskShuffle2,accepted,True,1.0,10,1.0,10,56,63.09994441270828,7470,869.331637552008,96,46,91401,46,28,23,98871,1218.2890806086361,2bdea90f1d3cbb293c1ec041a5196a0e9779d4f91003b591ff2c0d8f68904467,
made-risk-shuffle-v1-Au-K-Tb-b10-s502-RiskShuffle2,Au-K-Tb,10,502,502,ActionPool2,made-core-v2-Au-K-Tb-b10-s502-ActionPool2,accepted,True,0.13,1,0.1,10,36,34.89354022918269,5996,709.9714461192489,11,48,85149,48,38,24,91145,880.0055331168696,a5c58ffe042f224a5bbd7bad6dde63f68ee54c0811521971c68f8cf49e135996,
made-risk-shuffle-v1-Au-K-Tb-b10-s502-RiskShuffle2,Au-K-Tb,10,502,502,Common2,made-common-public-v1-Au-K-Tb-b10-s502-Common2,accepted,True,0.43,3,0.3,10,0,0.0,3804,457.0422599464655,11,30,65732,30,30,15,69536,694.6866382360458,6fe6a9e78f66c95154fb2d5198fa3a246fe45ebe4297d48496ae8dcb90fe3634,
made-risk-shuffle-v1-Au-K-Tb-b10-s502-RiskShuffle2,Au-K-Tb,10,502,502,Native1,made-online-core-ext-v1-Au-K-Tb-b10-s502-Native1,accepted,True,0.08,2,0.2,10,0,0.0,2459,323.7733626225963,11,22,45098,44,74,22,47557,485.50399389863014,50b821573d6c7de32bc04c5c007ff1db4b337de6d0306cca4347ad2113f248c9,
made-risk-shuffle-v1-Au-K-Tb-b10-s502-RiskShuffle2,Au-K-Tb,10,502,502,Public2,made-common-public-v1-Au-K-Tb-b10-s502-Public2,accepted,True,0.36,2,0.2,10,0,0.0,5223,550.2677181474864,11,32,59658,32,,16,64881,750.4581058099866,b483117aff2c81280a8bd050cee367b267281d52873a93a8fef451fbf77e970a,
made-risk-shuffle-v1-Au-K-Tb-b10-s502-RiskShuffle2,Au-K-Tb,10,502,502,RiskShuffle2,made-risk-shuffle-v1-Au-K-Tb-b10-s502-RiskShuffle2,claimed_unknown_until_reconciled,False,,,,,,,,,,,,,,,,,,
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s502-RiskShuffle2,Mg-Sn-Sr,10,502,502,ActionPool2,made-core-v2-Mg-Sn-Sr-b10-s502-ActionPool2,accepted,True,0.96,8,0.8,10,58,65.77957531623542,6367,765.0540922181681,96,40,77278,40,10,20,83645,1079.1308903433383,7e4660dcc0efa5375c5570769aca401eb35d44c33200477897c34abd3b764cbb,
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s502-RiskShuffle2,Mg-Sn-Sr,10,502,502,Common2,made-common-public-v1-Mg-Sn-Sr-b10-s502-Common2,accepted,True,0.89,7,0.7,10,0,0.0,4310,499.2566556483507,96,32,74384,32,,16,78694,896.4533108398318,aa77eba6f4a66ed2338920878ca301bc47e39f332957d48ac80ba46b2bd3d12b,
