family,budget,method,reference,metric,complete_pairs,expected_fixed_cells,losses,mean_paired_difference,method_mean,reference_mean,ties,wins
control,10,RiskShuffle2,ActionPool2,AUDC,2,4,1,-0.014999999999999986,0.545,0.5599999999999999,0,1
control,10,RiskShuffle2,ActionPool2,SUN,2,4,0,0.5,5.5,5.0,1,1
control,10,RiskShuffle2,ActionPool2,mSUN,2,4,0,0.04999999999999999,0.55,0.5,1,1
control,10,RiskShuffle2,Native1,AUDC,2,4,0,0.115,0.545,0.43,0,2
control,10,RiskShuffle2,Native1,SUN,2,4,0,1.5,5.5,4.0,0,2
control,10,RiskShuffle2,Native1,mSUN,2,4,0,0.14999999999999997,0.55,0.4,0,2
control,10,RiskShuffle2,Common2,AUDC,2,4,1,-0.11500000000000005,0.545,0.66,0,1
control,10,RiskShuffle2,Common2,SUN,2,4,1,-0.5,5.5,6.0,0,1
control,10,RiskShuffle2,Common2,mSUN,2,4,1,-0.05,0.55,0.6,0,1
control,10,RiskShuffle2,Public2,AUDC,1,4,1,-0.08000000000000002,0.09,0.17,0,0
control,10,RiskShuffle2,Public2,SUN,1,4,0,0.0,1.0,1.0,1,0
control,10,RiskShuffle2,Public2,mSUN,1,4,0,0.0,0.1,0.1,1,0
control,20,RiskShuffle2,ActionPool2,AUDC,0,4,0,,,,0,0
control,20,RiskShuffle2,ActionPool2,SUN,0,4,0,,,,0,0
control,20,RiskShuffle2,ActionPool2,mSUN,0,4,0,,,,0,0
control,20,RiskShuffle2,Native1,AUDC,0,4,0,,,,0,0
control,20,RiskShuffle2,Native1,SUN,0,4,0,,,,0,0
control,20,RiskShuffle2,Native1,mSUN,0,4,0,,,,0,0
control,20,RiskShuffle2,Common2,AUDC,0,4,0,,,,0,0
control,20,RiskShuffle2,Common2,SUN,0,4,0,,,,0,0
control,20,RiskShuffle2,Common2,mSUN,0,4,0,,,,0,0
control,20,RiskShuffle2,Public2,AUDC,0,4,0,,,,0,0
control,20,RiskShuffle2,Public2,SUN,0,4,0,,,,0,0
control,20,RiskShuffle2,Public2,mSUN,0,4,0,,,,0,0
fixed_baseline,10,ActionPool2,Public2,AUDC,3,4,1,-0.03666666666666666,0.42,0.4566666666666666,1,1
fixed_baseline,10,ActionPool2,Public2,SUN,3,4,1,-0.3333333333333333,3.3333333333333335,3.6666666666666665,2,0
fixed_baseline,10,ActionPool2,Public2,mSUN,3,4,1,-0.03333333333333333,0.3333333333333333,0.3666666666666667,2,0
fixed_baseline,20,ActionPool2,Public2,AUDC,4,4,3,0.010625000000000022,0.518125,0.5075,0,1
fixed_baseline,20,ActionPool2,Public2,SUN,4,4,1,1.25,10.25,9.0,1,2
fixed_baseline,20,ActionPool2,Public2,mSUN,4,4,1,0.062499999999999986,0.5125,0.45,1,2
