feature,prefix,train_finite,dev_finite,train_unique_values,train_min,train_max,dev_outside_train_range
action.atomic_action,action,302,84,1,0.0,0.0,0
action.create_structure,action,302,84,1,0.0,0.0,0
action.generate_structures,action,302,84,2,0.0,1.0,0
action.get_buffer_stats,action,302,84,1,0.0,0.0,0
action.invalid,action,302,84,2,0.0,1.0,0
action.list_compositions,action,302,84,1,0.0,0.0,0
action.query_structures,action,302,84,1,0.0,0.0,0
action.score_buffer,action,302,84,2,0.0,1.0,0
action.select_for_evaluation,action,302,84,2,0.0,1.0,0
graph.activation_max,graph,294,83,294,7.708285331726074,16.464353561401367,6
graph.activation_mean,graph,294,83,294,7.194808673858643,12.139849980672201,0
graph.activation_missing,graph,294,83,1,0.0,0.0,0
graph.activation_q50,graph,294,83,293,6.969204902648926,12.554048538208008,0
graph.activation_q90,graph,294,83,294,7.62584285736084,14.44690227508545,3
graph.activation_q99,graph,294,83,294,7.708285331726074,16.262608432769778,6
graph.activation_std,graph,294,83,264,0.0,2.441523061624866,0
graph.degree_max,graph,294,83,196,388.0,1809.0,0
graph.degree_mean,graph,294,83,294,1.6439420699399505,8.96824167312161,0
graph.degree_std,graph,294,83,294,22.900802593747606,69.55992422135064,0
graph.density,graph,294,83,294,0.00027789634549640224,0.005281171061334099,0
graph.edge_abs_effective_count,graph,294,83,294,47.768364850473525,487.4899960658339,1
graph.edge_abs_hhi,graph,294,83,294,0.0020513241462804363,0.020934356935395228,1
graph.edge_abs_sum,graph,294,83,294,14.118213865483995,252.23850973491062,0
graph.edge_abs_top10_share,graph,294,83,294,0.07241728359573334,0.3563732695549003,1
graph.edge_abs_top1_share,graph,294,83,294,0.008809101329229027,0.07815546382223944,0
graph.edge_count,graph,294,83,284,1172.0,11129.0,0
graph.edge_negative_abs_sum,graph,294,83,294,7.198937289904279,130.6206152511295,2
graph.edge_negative_fraction,graph,294,83,293,0.47013651877133106,0.5742574257425742,0
graph.edge_positive_sum,graph,294,83,294,6.71999841698198,121.61789448378113,0
graph.edge_signed_mean,graph,294,83,294,-0.00568146504624213,0.005614060952083632,2
graph.edge_signed_std,graph,294,83,294,0.03965836842416138,0.15531261831441048,0
graph.edge_signed_sum,graph,294,83,294,-24.723989863094175,19.091497291607084,0
graph.empty_after_pruning,graph,294,83,1,0.0,0.0,0
graph.error_influence_fraction,graph,294,83,294,0.3361850150379501,0.42113592063991656,1
graph.error_node_count,graph,294,83,1,96.0,96.0,0
graph.feature_node_count,graph,294,83,9,1.0,9.0,0
graph.graph_missing,graph,302,84,2,0.0,1.0,0
graph.input_logit_min_hops,graph,294,83,1,1.0,1.0,0
graph.input_logit_min_positive_distance,graph,294,83,294,10.831402455864852,1810.4318797532092,0
graph.input_logit_path_missing,graph,294,83,1,0.0,0.0,0
graph.input_logit_reachability_missing,graph,294,83,1,0.0,0.0,0
graph.input_logit_reachable_logit_fraction,graph,294,83,1,1.0,1.0,0
graph.layer_0_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_0_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_0_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_10_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_10_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_10_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_11_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_11_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_11_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_12_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_12_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_12_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_13_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_13_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_13_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_14_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_14_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_14_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_15_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_15_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_15_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_16_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_16_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_16_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_17_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_17_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_17_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_18_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_18_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_18_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_19_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_19_feature_count,graph,294,83,1,0.0,0.0,0
graph.layer_19_feature_fraction,graph,294,83,1,0.0,0.0,0
graph.layer_1_activation_mean,graph,294,83,1,0.0,0.0,0
graph.layer_1_feature_count,graph,294,83,1,0.0,0.0,0
