split,graph_stratum,head,rows,episodes,label_observed,positive,unknown,model_probability_available,unique_observed_events,nonexecuted_with_known_label
train,all,future_failure,302,3,293,204,9,293,150,0
train,all,candidate_generation_failure,302,3,86,0,216,0,86,0
train,all,generation_invalid,302,3,302,9,0,302,302,9
train,all,not_new,302,3,293,64,9,293,150,0
train,all,scientific_evaluation_failure,302,3,293,0,9,0,150,0
train,all,screening_unavailable,302,3,28,2,274,0,28,0
train,all,tool_execution_failure,302,3,293,30,9,293,293,0
train,all,unstable,302,3,293,146,9,293,150,0
train,available,future_failure,294,3,293,204,1,293,150,0
train,available,candidate_generation_failure,294,3,86,0,208,0,86,0
train,available,generation_invalid,294,3,294,1,0,294,294,1
train,available,not_new,294,3,293,64,1,293,150,0
train,available,scientific_evaluation_failure,294,3,293,0,1,0,150,0
train,available,screening_unavailable,294,3,28,2,266,0,28,0
train,available,tool_execution_failure,294,3,293,30,1,293,293,0
train,available,unstable,294,3,293,146,1,293,150,0
train,missing,future_failure,8,2,0,0,8,0,0,0
train,missing,candidate_generation_failure,8,2,0,0,8,0,0,0
train,missing,generation_invalid,8,2,8,8,0,8,8,8
train,missing,not_new,8,2,0,0,8,0,0,0
train,missing,scientific_evaluation_failure,8,2,0,0,8,0,0,0
train,missing,screening_unavailable,8,2,0,0,8,0,0,0
train,missing,tool_execution_failure,8,2,0,0,8,0,0,0
train,missing,unstable,8,2,0,0,8,0,0,0
dev,all,future_failure,84,1,83,42,1,83,50,0
dev,all,candidate_generation_failure,84,1,23,0,61,0,23,0
dev,all,generation_invalid,84,1,84,1,0,84,84,1
dev,all,not_new,84,1,83,22,1,83,50,0
dev,all,scientific_evaluation_failure,84,1,83,0,1,0,50,0
dev,all,screening_unavailable,84,1,6,0,78,0,6,0
dev,all,tool_execution_failure,84,1,83,4,1,83,83,0
dev,all,unstable,84,1,83,28,1,83,50,0
dev,available,future_failure,83,1,83,42,0,83,50,0
dev,available,candidate_generation_failure,83,1,23,0,60,0,23,0
dev,available,generation_invalid,83,1,83,0,0,83,83,0
dev,available,not_new,83,1,83,22,0,83,50,0
dev,available,scientific_evaluation_failure,83,1,83,0,0,0,50,0
dev,available,screening_unavailable,83,1,6,0,77,0,6,0
dev,available,tool_execution_failure,83,1,83,4,0,83,83,0
dev,available,unstable,83,1,83,28,0,83,50,0
dev,missing,future_failure,1,1,0,0,1,0,0,0
dev,missing,candidate_generation_failure,1,1,0,0,1,0,0,0
dev,missing,generation_invalid,1,1,1,1,0,1,1,1
dev,missing,not_new,1,1,0,0,1,0,0,0
dev,missing,scientific_evaluation_failure,1,1,0,0,1,0,0,0
dev,missing,screening_unavailable,1,1,0,0,1,0,0,0
dev,missing,tool_execution_failure,1,1,0,0,1,0,0,0
dev,missing,unstable,1,1,0,0,1,0,0,0
