episode_id,split,interpretation,head,view,predictor,n,episodes,positives,mean_probability,brier,logloss,auc,auprc,TP,FP,TN,FN,p_min,p_max
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,future_failure,event_last_select,frozen_NN,50,1,33,0.5001116514205932,0.24996989067784933,0.6930869617799955,0.47593582887700536,0.7053206288378632,0,0,17,33,0.49967339634895325,0.5010845065116882
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,future_failure,event_last_select,train_only_constant,50,1,33,0.7133333333333334,0.22724444444444447,0.6477602240155865,0.5,0.66,33,17,0,0,0.7133333333333334,0.7133333333333334
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,future_failure,event_last_select,frozen_NN,50,1,35,0.5000024235248566,0.24996838255053458,0.6930839455970601,0.6419047619047619,0.7668441908822942,0,0,15,35,0.49961405992507935,0.5008863806724548
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,future_failure,event_last_select,train_only_constant,50,1,35,0.7133333333333334,0.2101777777777778,0.6112950752648527,0.5,0.7,35,15,0,0,0.7133333333333334,0.7133333333333334
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,future_failure,event_last_select,frozen_NN,50,1,39,0.5000058138370513,0.24994790148705914,0.6930429833924605,0.6433566433566433,0.8666274178992273,0,0,11,39,0.499691903591156,0.5009133219718933
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,future_failure,event_last_select,train_only_constant,50,1,39,0.7133333333333334,0.17604444444444445,0.5383647777633852,0.5,0.78,39,11,0,0,0.7133333333333334,0.7133333333333334
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,future_failure,event_last_select,frozen_NN,50,1,25,0.5000868779420853,0.2499883733383968,0.6931239271799217,0.4928,0.5337514004821378,0,0,25,25,0.49964964389801025,0.5009145736694336
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,future_failure,event_last_select,train_only_constant,50,1,25,0.7133333333333334,0.29551111111111117,0.7936208190185216,0.5,0.5,25,25,0,0,0.7133333333333334,0.7133333333333334
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,candidate_generation_failure,proposal,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,candidate_generation_failure,proposal,train_only_constant,20,1,0,0,0,9.992007221626415e-16,,,0,0,20,0,0,0
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,candidate_generation_failure,proposal,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,candidate_generation_failure,proposal,train_only_constant,34,1,0,0,0,9.992007221626415e-16,,,0,0,34,0,0,0
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,candidate_generation_failure,proposal,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,candidate_generation_failure,proposal,train_only_constant,32,1,0,0,0,9.992007221626415e-16,,,0,0,32,0,0,0
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,candidate_generation_failure,proposal,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,candidate_generation_failure,proposal,train_only_constant,23,1,0,0,0,9.992007221626415e-16,,,0,0,23,0,0,0
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,generation_invalid,proposal,frozen_NN,90,1,5,0.05555555555555555,6.973237241999564e-78,9.992007221626415e-16,1.0,1.0,5,0,85,0,0.0,1.0
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,generation_invalid,proposal,train_only_constant,90,1,5,0.031216931216931216,0.053061504437165806,0.22255234675522137,0.5,0.05555555555555555,0,0,85,5,0.031216931216931216,0.031216931216931216
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,generation_invalid,proposal,frozen_NN,105,1,4,0.02857142857142857,0.009523809523809525,0.3289407275705789,0.7512376237623762,0.7595238095238095,3,0,101,1,0.0,1.0
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,generation_invalid,proposal,train_only_constant,105,1,4,0.031216931216931216,0.03669130203521737,0.16257475769417898,0.5,0.0380952380952381,0,0,101,4,0.031216931216931216,0.031216931216931216
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,generation_invalid,proposal,frozen_NN,107,1,0,6.1832932174832e-29,2.632399988211847e-55,9.992007221626415e-16,,,0,0,107,0,0.0,5.080085176005705e-27
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,generation_invalid,proposal,train_only_constant,107,1,0,0.031216931216931216,0.0009744967946026147,0.03171456337917739,,,0,0,107,0,0.031216931216931216,0.031216931216931216
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,generation_invalid,proposal,frozen_NN,84,1,1,0.011904761904761904,1.7348943590923037e-80,9.992007221626415e-16,1.0,1.0,1,0,83,0,0.0,1.0
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,generation_invalid,proposal,train_only_constant,84,1,1,0.031216931216931216,0.012135998432294728,0.07260837410261538,0.5,0.011904761904761904,0,0,83,1,0.031216931216931216,0.031216931216931216
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,not_new,event_last_select,frozen_NN,50,1,11,0.27102129679422576,0.17188628030344894,0.5257516284935981,0.6153846153846154,0.33263644186240265,0,0,39,11,0.13635756280179623,0.5491499166739988
