metric,original_controller,schema_repaired_controller,delta_repaired_minus_original
SUN,9,15,6
mSUN,0.18,0.3,0.12
AUDC,0.2388,0.3476,0.10880000000000001
candidate_ORB_attempts,50,50,0
initialization_ORB_attempts,26,26,0
surrogate_MACE_attempts,0,31,31
LLM_proposals,88,84,-4
decision_groups,75,79,4
second_proposal_groups,13,5,-8
controller_retry_request_events,20,6,-14
generation_failures,2,2,0
local_schema_issue_events,18,3,-15
false_mapping_rejection_events,16,0,-16
fixed_recovery_actions,2,0,-2
tool_attempts,71,79,8
tool_errors,6,10,4
generated_crystal_candidates,280,444,164
admitted_to_buffer,176,169,-7
graph_succeeded,67,79,12
graph_unavailable,21,5,-16
FVU_gate_failures,20,3,-17
predicted_type_retry_events,2,3,1
stable_evaluations,39,44,5
official_final_unique_structures,18.0,17.0,-1.0
evaluations_not_adding_unique_structure,32.0,33.0,1.0
official_final_novel_vs_initial_reference,50.0,50.0,0.0
official_final_stable_unique,9.0,15.0,6.0
unique_compositions,9.0,10.0,1.0
