arm,step,rpc_id,rpc_response_line,candidate_hash,formula,e_above_hull,is_stable_at_evaluation,is_newly_discovered,SUN,SUN_delta,unique_structure_count,novel_vs_initial_reference_count
original_controller,1,12,26,caec77159cd3d437bece39744057ea363887ff54acb5177f2759f2d662fafa18,Al1 Pd1 Sm1,1.6174799601236978,False,True,0,0,1.0,1.0
original_controller,2,18,38,dbd76759294e033a5ce99afb626a65c78a54244e6182e3469b080c3d7274d8f9,Al1 Pd2 Sm1,0.00555109977722168,True,True,1,1,2.0,2.0
original_controller,3,20,42,bf765e206ae9efcd88429394286d476d3b22984b5248e71feb40d5bd21653b5d,Al2 Pd3 Sm1,0.016023159027097833,True,True,2,1,3.0,3.0
original_controller,4,22,46,70611aebe01b5d678471d8144151cf9f1ecdef60ed8f7f3033bc1808ab76e790,Al1 Pd3 Sm2,0.037295341491700995,True,True,3,1,4.0,4.0
original_controller,5,24,50,4a0d523fe160316e0d1243473927c6c90614663df5906098ac52437b7e4cdc06,Al1 Pd2 Sm1,0.0055997371673583984,True,False,3,0,4.0,5.0
original_controller,6,26,54,70d2980ccec7ef949a863d0d72db8274ed935ed30a2bec7a85b7ecc7fb97bbdc,Al2 Pd3 Sm1,0.016025702158608546,True,False,3,0,4.0,6.0
original_controller,7,28,58,6bc28596fbf3e72387ce1936e6047d2cce1c502d55ab5af2f50ada4aa3ef47b3,Al1 Pd2 Sm1,0.0056040287017822266,True,False,3,0,4.0,7.0
original_controller,8,30,62,cb077b154859a70d5df1d4f1b8f06314c17bc64e29a6ded92de19d9be6af09f4,Al1 Pd3 Sm2,0.037311236063641395,True,False,3,0,4.0,8.0
original_controller,9,34,70,3dff27498df75634411c4fb8f540a291d12dd3385eb5f415313b79101939a7b9,Al1 Pd1 Sm1,0.0959157943725586,True,True,4,1,5.0,9.0
original_controller,10,36,74,22dbd5069c56b5b992476506722062c9c496e5b32aa559eafd5724200870ebb8,Al1 Pd3 Sm2,0.03730551401774296,True,False,4,0,5.0,10.0
original_controller,11,38,78,34c80824b452226ebd995592b5ab9a78c8a5fdf71f3036eba6282556efac0002,Al1 Pd3 Sm2,0.03730614980061997,True,False,4,0,5.0,11.0
original_controller,12,40,82,7489c04315b6214d1d7db6b4ab28a926cc138758c1314774af301f18f22278e0,Al1 Pd4 Sm3,0.20744359493255615,False,True,4,0,6.0,12.0
original_controller,13,42,86,a449dc849b27be76a4f2446d2dbb7a8aabc9d2e37d46b9d29525161c64ddebee,Al3 Pd5 Sm1,0.025692155626088287,True,True,5,1,7.0,13.0
original_controller,14,44,90,0ff64469460734a93103d23820911ee629e096f29f0ce96adc2de7008d8fbb2d,Al3 Pd5 Sm1,0.025855763753257932,True,False,5,0,7.0,14.0
original_controller,15,46,94,79be8f2b627ff3d2a2ee2c6eb2b6437c5a134270a7c752d6f8e49f1332bf6faf,Al2 Pd3 Sm1,0.016027609507241358,True,False,5,0,7.0,15.0
original_controller,16,48,98,a2fdc78c4837ab0aa42af6f750299bc5fb21ce4f21780895dfa4d8156643f9df,Al2 Pd3 Sm1,0.01602061589558712,True,False,5,0,7.0,16.0
original_controller,17,52,106,6d366ae1f6ce20e7cbe5b3fc565c6b80ffc9a0ce46ffe79947afe4d0310d09f5,Al1 Pd3 Sm2,0.037311236063641395,True,False,5,0,7.0,17.0
original_controller,18,56,114,33616d9f9ac2d0accf236965980d9163f7e668a7f0e7c4dcc971ee401922780f,Al3 Pd5 Sm2,0.06571598052978711,True,True,6,1,8.0,18.0
original_controller,19,60,122,1b2dadcde8f42266719ff9309b209bbd6892e06118547e4895c68938021469fc,Al3 Pd5 Sm1,0.025669267442494537,True,False,6,0,8.0,19.0
original_controller,20,62,126,fec45910992a6f56d483ee1195c6396e706cdb8f95fecca815deec15579555d4,Al3 Pd5 Sm2,0.21674327850342046,False,True,6,0,9.0,20.0
original_controller,21,64,130,7a3a6972b5a00b0a42d557df2f8a5691d9e2343d5235527a6d2e1825796e07dc,Al1 Pd4 Sm3,0.1243671178817749,False,True,6,0,10.0,21.0
original_controller,22,66,134,56f46c01f4bbac81c8e6bb0344e8da32cae486b6ed502e4659054d531e5e896f,Al1 Pd3 Sm2,0.03731187184651841,True,False,6,0,10.0,22.0
original_controller,23,68,138,7d7668966e25cb932ebf265a00a12bfc279a0669ad85db1e6675fb613521f652,Al1 Pd4 Sm3,0.16314351558685303,False,True,6,0,11.0,23.0
