variant,family,episode_id,FNR_at_05,FNR_threshold,auroc,brier,episodes,failures,false_negative_count_at_05,mean_predicted_failure_probability,nll,nonfailures,observed_failure_prevalence,predicted_high_risk_fraction_at_05,probability_range,rows,worlds
base84,Internal,discoveryworld-v1-c3b9197fd21f2a61d23a1ced,0.2857142857142857,0.5,0.9230769230769231,0.10206056068786837,1,7,2,0.37998571968637407,0.2967486516985122,13,0.35,0.35,0.9867709027603269,20,1
base84,Internal,discoveryworld-v1-e42d690b5f1dc74bd0ebf4c4,0.3333333333333333,0.5,1.0000000000000002,0.03567887044389021,1,3,1,0.18404176980257034,0.14478870391651283,17,0.15,0.1,0.9759138990193605,20,1
base84,OutputAction,discoveryworld-v1-c3b9197fd21f2a61d23a1ced,0.0,0.5,0.9230769230769231,0.09251720810593275,1,7,0,0.45686475015245376,0.31875646754923886,13,0.35,0.45,0.9620714010670781,20,1
base84,OutputAction,discoveryworld-v1-e42d690b5f1dc74bd0ebf4c4,0.6666666666666666,0.5,0.8431372549019609,0.1288617427297295,1,3,2,0.20677465701010078,0.39283470620401034,17,0.15,0.15,0.9020162955857813,20,1
with_ES,Internal,discoveryworld-v1-c3b9197fd21f2a61d23a1ced,0.14285714285714285,0.5,0.9120879120879122,0.12811197008913142,1,7,1,0.4436734691262245,0.3797760465420411,13,0.35,0.45,0.9727435149252415,20,1
with_ES,Internal,discoveryworld-v1-e42d690b5f1dc74bd0ebf4c4,0.3333333333333333,0.5,0.9607843137254903,0.05537769171971582,1,3,1,0.1950527214910835,0.179495843643837,17,0.15,0.15,0.9831256279721856,20,1
with_ES,OutputAction,discoveryworld-v1-c3b9197fd21f2a61d23a1ced,0.0,0.5,0.9890109890109892,0.09079706018599708,1,7,0,0.46674761828035116,0.3123281355800439,13,0.35,0.45,0.9766534082591534,20,1
with_ES,OutputAction,discoveryworld-v1-e42d690b5f1dc74bd0ebf4c4,0.6666666666666666,0.5,0.8431372549019609,0.11676057243214069,1,3,2,0.2285796288633719,0.3800391756857557,17,0.15,0.2,0.9593346868641675,20,1
with_milestones,Internal,discoveryworld-v1-c3b9197fd21f2a61d23a1ced,0.2857142857142857,0.5,0.9230769230769231,0.10184495804398201,1,7,2,0.3755988516844809,0.29996216428751815,13,0.35,0.35,0.9813547022640705,20,1
with_milestones,Internal,discoveryworld-v1-e42d690b5f1dc74bd0ebf4c4,0.3333333333333333,0.5,1.0000000000000002,0.03520522983854427,1,3,1,0.18535112515091895,0.14338247262739348,17,0.15,0.1,0.973062414675951,20,1
with_milestones,OutputAction,discoveryworld-v1-c3b9197fd21f2a61d23a1ced,0.0,0.5,0.9890109890109892,0.06581819399550626,1,7,0,0.4037432801560499,0.21603832112710378,13,0.35,0.45,0.9875568968709558,20,1
with_milestones,OutputAction,discoveryworld-v1-e42d690b5f1dc74bd0ebf4c4,0.6666666666666666,0.5,0.8627450980392157,0.11253203880380261,1,3,2,0.16037263721227646,0.33754128547469153,17,0.15,0.1,0.8951289290562272,20,1
combined,Internal,discoveryworld-v1-c3b9197fd21f2a61d23a1ced,0.2857142857142857,0.5,0.9120879120879122,0.1212360998017137,1,7,2,0.4231908978894353,0.3508812444631084,13,0.35,0.4,0.964972198009491,20,1
combined,Internal,discoveryworld-v1-e42d690b5f1dc74bd0ebf4c4,0.3333333333333333,0.5,0.9607843137254903,0.04768937424307396,1,3,1,0.1894215433858335,0.16698798248820643,17,0.15,0.1,0.9799117408692837,20,1
combined,OutputAction,discoveryworld-v1-c3b9197fd21f2a61d23a1ced,0.0,0.5,0.9890109890109892,0.06011838738734688,1,7,0,0.4110311203083256,0.17025429682909612,13,0.35,0.45,0.9987688369001262,20,1
combined,OutputAction,discoveryworld-v1-e42d690b5f1dc74bd0ebf4c4,0.6666666666666666,0.5,0.8823529411764707,0.10569715275646469,1,3,2,0.16338519249547973,0.2853737994590425,17,0.15,0.1,0.9906666100432631,20,1
