milestone_step,window_role,arm,action,action_type,attempt_index,error_excerpt,none_serialization_repair,official_success,sampling_seed,score_after,score_before,score_delta,score_observation_available,submitted
12,preceding,original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""52922""}",TELEPORT_TO_OBJECT,4,,False,True,6022231443573132230,0.0,0.0,0.0,True,True
12,preceding,original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": 52922}",TELEPORT_TO_OBJECT,5,,False,True,8990132413995315100,0.0,0.0,0.0,True,True
12,preceding,original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 52922}",USE,6,"arg1: Could not find object with UUID '33276'. Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,6166139344501877529,0.0,0.0,0.0,True,True
12,preceding,original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,7,,False,True,5528628430911536339,0.0,0.0,0.0,True,True
12,preceding,original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,8,,False,True,3593778901889831540,0.0,0.0,0.0,True,True
12,preceding,original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,9,,False,True,3242792900669881149,0.0,0.0,0.0,True,True
12,preceding,original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 52922}",USE,10,"arg2: Could not find object with UUID '52922' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,950382964145275188,0.0,0.0,0.0,True,True
12,preceding,original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,11,,False,True,4559573580679989498,0.0,0.0,0.0,True,True
12,milestone,original_world0_p102,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",PICKUP,12,,False,True,4438390461482354873,0.125,0.0,0.125,True,True
19,preceding,original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,11,,False,True,4559573580679989498,0.0,0.0,0.0,True,True
19,preceding,original_world0_p102,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",PICKUP,12,,False,True,4438390461482354873,0.125,0.0,0.125,True,True
