policy_seed,arm,action_type,adapter_rejections,attempts,observed_positive_score_transitions,official_failures,official_successes
309,Baseline,ACTIVATE,0,1,0,1,0
309,Baseline,DISCOVERY_FEED_GET_UPDATES,0,11,0,0,11
309,Baseline,MOVE_DIRECTION,0,5,0,1,4
309,Baseline,PICKUP,0,1,0,1,0
309,Baseline,READ,0,1,0,0,1
309,Baseline,TELEPORT_TO_LOCATION,0,1,0,0,1
309,Baseline,TELEPORT_TO_OBJECT,0,10,0,0,10
309,SFT,MOVE_DIRECTION,0,2,0,0,2
309,SFT,ROTATE_DIRECTION,0,28,0,0,28
309,CreditSFT,MOVE_DIRECTION,0,5,0,1,4
309,CreditSFT,ROTATE_DIRECTION,0,25,0,0,25
310,Baseline,PICKUP,0,29,0,29,0
310,Baseline,TELEPORT_TO_LOCATION,0,1,0,0,1
310,SFT,MOVE_DIRECTION,0,2,0,0,2
310,SFT,ROTATE_DIRECTION,0,28,0,0,28
310,CreditSFT,MOVE_DIRECTION,0,1,0,0,1
310,CreditSFT,ROTATE_DIRECTION,0,28,0,0,28
310,CreditSFT,TELEPORT_TO_OBJECT,0,1,0,0,1
311,Baseline,DISCOVERY_FEED_GET_UPDATES,0,3,0,0,3
311,Baseline,PICKUP,0,3,0,3,0
311,Baseline,TELEPORT_TO_LOCATION,0,1,0,0,1
311,Baseline,TELEPORT_TO_OBJECT,0,18,0,0,18
311,Baseline,USE,0,5,0,4,1
311,SFT,MOVE_DIRECTION,0,1,0,0,1
311,SFT,ROTATE_DIRECTION,0,29,0,0,29
311,CreditSFT,MOVE_DIRECTION,0,1,0,0,1
311,CreditSFT,ROTATE_DIRECTION,0,29,0,0,29
