policy_seed,arm,action,action_type,attempt_index,error_excerpt,none_serialization_repair,official_success,sampling_seed,score_after,score_before,score_delta,score_observation_available,submitted
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",TELEPORT_TO_OBJECT,1,,False,True,5758059436999058438,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,2,,False,True,9497342844446385,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",TELEPORT_TO_OBJECT,3,,False,True,2357064243171543388,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""PICKUP"", ""arg1"": ""45538""}",PICKUP,4,,False,False,2103142829421802966,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",MOVE_DIRECTION,5,,False,True,770546382369465388,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",TELEPORT_TO_OBJECT,6,,False,True,2108254856256032634,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""READ"", ""arg1"": ""41261""}",READ,7,,False,True,1838526989697951663,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",TELEPORT_TO_OBJECT,8,,False,True,7381261100352110955,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,9,,False,True,1699205037887278621,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",MOVE_DIRECTION,10,,False,True,3607839138377165637,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",TELEPORT_TO_OBJECT,11,,False,True,8701058440053420974,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,12,,False,True,5432472595639211726,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",MOVE_DIRECTION,13,,False,True,8646436004824748970,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",TELEPORT_TO_OBJECT,14,,False,True,6195343272648412888,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""ACTIVATE"", ""arg1"": ""41261""}",ACTIVATE,15,,False,False,7985201056600417772,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",MOVE_DIRECTION,16,,False,True,6511641711398662986,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",TELEPORT_TO_OBJECT,17,,False,True,1797767170931319821,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,18,,False,True,8362214034709085786,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,19,,False,True,1444149687257265394,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,20,,False,True,1787592918602837960,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,21,,False,True,6701322706409346260,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",TELEPORT_TO_OBJECT,22,,False,True,5739437690703540627,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,23,,False,True,6281792985837476547,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""south""}",MOVE_DIRECTION,24,"arg1: Could not find object with UUID 'south'. Are you sure it's accessible (i.e in your inventory, or directly in front of you?). Note: expected type of arg1 is 'int', but found `<class 'str'>`. ",False,False,1211446287558963298,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",TELEPORT_TO_OBJECT,25,,False,True,7419727604267307715,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,26,,False,True,6397169399556009017,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",TELEPORT_TO_OBJECT,27,,False,True,8273877107276486873,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,28,,False,True,7733712718579312509,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,29,,False,True,5733483988113484704,0.0,0.0,0.0,True,True
309,Baseline,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,30,,False,True,1341068465414427252,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""north""}",ROTATE_DIRECTION,1,,False,True,5758059436999058438,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""south""}",ROTATE_DIRECTION,2,,False,True,9497342844446385,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""east""}",ROTATE_DIRECTION,3,,False,True,2357064243171543388,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""west""}",ROTATE_DIRECTION,4,,False,True,2103142829421802966,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",MOVE_DIRECTION,5,,False,True,770546382369465388,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""east""}",ROTATE_DIRECTION,6,,False,True,2108254856256032634,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""north""}",ROTATE_DIRECTION,7,,False,True,1838526989697951663,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""east""}",ROTATE_DIRECTION,8,,False,True,7381261100352110955,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""north""}",ROTATE_DIRECTION,9,,False,True,1699205037887278621,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""south""}",ROTATE_DIRECTION,10,,False,True,3607839138377165637,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""north""}",ROTATE_DIRECTION,11,,False,True,8701058440053420974,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""east""}",ROTATE_DIRECTION,12,,False,True,5432472595639211726,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""north""}",ROTATE_DIRECTION,13,,False,True,8646436004824748970,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""west""}",ROTATE_DIRECTION,14,,False,True,6195343272648412888,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""north""}",ROTATE_DIRECTION,15,,False,True,7985201056600417772,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""east""}",ROTATE_DIRECTION,16,,False,True,6511641711398662986,0.0,0.0,0.0,True,True
309,SFT,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""north""}",ROTATE_DIRECTION,17,,False,True,1797767170931319821,0.0,0.0,0.0,True,True
