condition,attempt,candidate0,candidate1,common_hash_index,selected_index,selected_action,actual_failure,score_before,score_after,score_delta,NN_supported,NN_index_change,NN_packet_change,fallback_to_common,candidate0_graph_available,candidate1_graph_available
Common2,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}","{""action"": ""PICKUP"", ""arg1"": 33276}",0,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",False,0.0,0.0,0.0,False,False,False,False,True,True
Common2,2,"{""action"": ""READ"", ""arg1"": 45538}","{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",0,0,"{""action"": ""READ"", ""arg1"": 45538}",False,0.0,0.0,0.0,False,False,False,False,True,True
Common2,3,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}","{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",0,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",False,0.0,0.0,0.0,False,False,False,False,True,True
Common2,4,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}","{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""33276""}",1,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""33276""}",False,0.0,0.0,0.0,False,False,False,False,True,True
Common2,5,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""45538""}","{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""45538""}",0,0,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""45538""}",True,0.0,0.0,0.0,False,False,False,False,True,True
Common2,6,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": 45538}","{""action"": ""READ"", ""arg1"": 33276}",1,1,"{""action"": ""READ"", ""arg1"": 33276}",True,0.0,0.0,0.0,False,False,False,False,True,True
Common2,7,"{""action"": ""READ"", ""arg1"": 33276}","{""action"": ""READ"", ""arg1"": 33276}",0,0,"{""action"": ""READ"", ""arg1"": 33276}",True,0.0,0.0,0.0,False,False,False,False,True,True
Common2,8,"{""action"": ""READ"", ""arg1"": 33276}","{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",1,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",False,0.0,0.0,0.0,False,False,False,False,True,True
Common2,9,"{""action"": ""READ"", ""arg1"": 45538}","{""action"": ""READ"", ""arg1"": 33276}",1,1,"{""action"": ""READ"", ""arg1"": 33276}",True,0.0,0.0,0.0,False,False,False,False,True,False
Common2,10,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}","{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",0,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",False,0.0,0.0,0.0,False,False,False,False,True,True
Common2,11,"{""action"": ""READ"", ""arg1"": 33276}","{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",1,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,0.0,0.0,0.0,False,False,False,False,True,True
Common2,12,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}","{""action"": ""PICKUP"", ""arg1"": 45538}",0,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,0.0,0.0,0.0,False,False,False,False,True,True
Common2,13,"{""action"": ""PICKUP"", ""arg1"": ""33276""}","{""action"": ""PICKUP"", ""arg1"": ""33276""}",1,1,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",True,0.0,0.0,0.0,False,False,False,False,True,True
Common2,14,"{""action"": ""PICKUP"", ""arg1"": 33276}","{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",0,0,"{""action"": ""PICKUP"", ""arg1"": 33276}",True,0.0,0.0,0.0,False,False,False,False,True,True
