condition,attempt,actual_failure,selected_action,base84/Internal,combined/Internal,combined/OutputAction
Common2,1,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",0.13153794407844543,0.071848563849926,0.0025975373573601246
Common2,2,0,"{""action"": ""READ"", ""arg1"": 45538}",0.13136456906795502,0.19300860166549683,0.38170549273490906
Common2,3,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",0.027645263820886612,0.04304011911153793,0.07781751453876495
Common2,4,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""33276""}",0.021441487595438957,0.02982974424958229,0.0011834646575152874
Common2,5,1,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""45538""}",0.47204670310020447,0.2003439962863922,0.8966466188430786
Common2,6,1,"{""action"": ""READ"", ""arg1"": 33276}",0.11880308389663696,0.3819730579853058,0.379777729511261
Common2,7,1,"{""action"": ""READ"", ""arg1"": 33276}",0.5198025703430176,0.4941367506980896,0.16853679716587067
Common2,8,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",0.004988847766071558,0.022936850786209106,0.0027591490652412176
Common2,10,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",0.025780120864510536,0.04794521629810333,0.04162028059363365
Common2,11,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.01062539778649807,0.035671766847372055,0.002728257793933153
Common2,12,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.022525062784552574,0.028105558827519417,0.012725481763482094
Common2,13,1,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",0.006537428591400385,0.06932621449232101,0.025425098836421967
Common2,14,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.1700230985879898,0.339182585477829,0.20960581302642822
Common2,15,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.0452536977827549,0.06835329532623291,0.0027992187533527613
Common2,16,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",0.007114321459084749,0.08407237380743027,0.12355774641036987
