model,family,step,split,calibration,temperature,nll,brier,auroc,rows,episodes,worlds
NN_Internal,Internal,0,fit,uncalibrated,1,0.6896308041418907,0.24825263005750967,0.8834841628959278,60,3,1
NN_Internal,Internal,0,calibration,uncalibrated,1,0.6783159891641857,0.24259976818075898,0.7726244343891402,60,3,1
NN_Internal,Internal,0,development,uncalibrated,1,0.6580809423225333,0.23249479213753124,0.7600000000000006,40,2,1
NN_Internal,Internal,0,fit,calibrated,0.17428876475453198,0.7070967917944467,0.2578582590448834,0.8834841628959278,60,3,1
NN_Internal,Internal,0,calibration,calibrated,0.17428876475453198,0.647405679198832,0.22853847132785324,0.7726244343891402,60,3,1
NN_Internal,Internal,0,development,calibrated,0.17428876475453198,0.5471693782718133,0.17992240299484233,0.7600000000000006,40,2,1
NN_Internal,Internal,50,fit,uncalibrated,1,0.00920293412509343,0.0012867361333064814,0.9999999999999996,60,3,1
NN_Internal,Internal,50,calibration,uncalibrated,1,0.2654355279824135,0.0762246307121317,0.976244343891403,60,3,1
NN_Internal,Internal,50,development,uncalibrated,1,0.16914758189121165,0.06405255970311531,0.9700000000000006,40,2,1
NN_Internal,Internal,50,fit,calibrated,1.8773843460999382,0.03654748221005148,0.0046295816862505544,0.9999999999999996,60,3,1
NN_Internal,Internal,50,calibration,calibrated,1.8773843460999382,0.21162302331342858,0.0672541241690524,0.976244343891403,60,3,1
NN_Internal,Internal,50,development,calibrated,1.8773843460999382,0.17362218600523122,0.0553490496006725,0.9700000000000006,40,2,1
NN_Internal,Internal,100,fit,uncalibrated,1,0.0005337219354874664,2.1353974997621847e-06,0.9999999999999996,60,3,1
NN_Internal,Internal,100,calibration,uncalibrated,1,0.2895281896454457,0.07819569316695561,0.9807692307692312,60,3,1
NN_Internal,Internal,100,development,uncalibrated,1,0.2699938345826927,0.07672375251410428,0.9700000000000006,40,2,1
NN_Internal,Internal,100,fit,calibrated,2.287760274804362,0.02537805059450774,0.0010366425933646514,0.9999999999999996,60,3,1
NN_Internal,Internal,100,calibration,calibrated,2.287760274804362,0.19727254206558614,0.06371191938733844,0.9807692307692312,60,3,1
NN_Internal,Internal,100,development,calibrated,2.287760274804362,0.19041779197784287,0.062089272952499906,0.9700000000000006,40,2,1
NN_Internal,Internal,200,fit,uncalibrated,1,0.00014416075162750123,1.0093269905172094e-07,0.9999999999999996,60,3,1
NN_Internal,Internal,200,calibration,uncalibrated,1,0.33171161798323107,0.07976887399420332,0.9819004524886882,60,3,1
NN_Internal,Internal,200,development,uncalibrated,1,0.33677609787749724,0.07925206969107275,0.9700000000000006,40,2,1
NN_Internal,Internal,200,fit,calibrated,2.655660205889806,0.026625277984247294,0.0009466048544934363,0.9999999999999996,60,3,1
NN_Internal,Internal,200,calibration,calibrated,2.655660205889806,0.19745963483202866,0.06328685245498669,0.9819004524886882,60,3,1
NN_Internal,Internal,200,development,calibrated,2.655660205889806,0.19994415101328178,0.06443833687583089,0.9700000000000006,40,2,1
NN_GraphOnly,GraphOnly,0,fit,uncalibrated,1,0.7031070484280645,0.25497358097998507,0.5045248868778281,60,3,1
NN_GraphOnly,GraphOnly,0,calibration,uncalibrated,1,0.6872245195921729,0.2470409247750467,0.4536199095022625,60,3,1
NN_GraphOnly,GraphOnly,0,development,uncalibrated,1,0.6643439304185451,0.2356159113239277,0.6066666666666669,40,2,1
NN_GraphOnly,GraphOnly,0,fit,calibrated,0.46355447991180204,0.7187592877550161,0.2627260816566265,0.5045248868778281,60,3,1
NN_GraphOnly,GraphOnly,0,calibration,calibrated,0.46355447991180204,0.6848428791952803,0.2458506401404434,0.4536199095022625,60,3,1
NN_GraphOnly,GraphOnly,0,development,calibrated,0.46355447991180204,0.6353548287563553,0.22126060055189758,0.6066666666666669,40,2,1
NN_GraphOnly,GraphOnly,50,fit,uncalibrated,1,0.012935199409507032,0.0011600645017195723,0.9999999999999996,60,3,1
NN_GraphOnly,GraphOnly,50,calibration,uncalibrated,1,0.21699751387788258,0.062209884612609415,0.976244343891403,60,3,1
NN_GraphOnly,GraphOnly,50,development,uncalibrated,1,0.586335790548118,0.0869706125225785,0.9100000000000003,40,2,1
NN_GraphOnly,GraphOnly,50,fit,calibrated,1.5171455304053494,0.04284733326904748,0.0036692516807960117,0.9999999999999996,60,3,1
NN_GraphOnly,GraphOnly,50,calibration,calibrated,1.5171455304053494,0.19044970573606004,0.05629501748853828,0.976244343891403,60,3,1
NN_GraphOnly,GraphOnly,50,development,calibrated,1.5171455304053494,0.42653532120675525,0.08663591182352791,0.9100000000000003,40,2,1
NN_GraphOnly,GraphOnly,100,fit,uncalibrated,1,0.0012239193442427024,5.708498056708159e-06,0.9999999999999996,60,3,1
NN_GraphOnly,GraphOnly,100,calibration,uncalibrated,1,0.26712669062602074,0.06574011969956521,0.976244343891403,60,3,1
NN_GraphOnly,GraphOnly,100,development,uncalibrated,1,0.7918281755057777,0.08297230336356787,0.9100000000000003,40,2,1
NN_GraphOnly,GraphOnly,100,fit,calibrated,2.1426950646509293,0.03491479667098551,0.0016067528896466085,0.9999999999999996,60,3,1
NN_GraphOnly,GraphOnly,100,calibration,calibrated,2.1426950646509293,0.18135826473244318,0.05347428356250319,0.976244343891403,60,3,1
NN_GraphOnly,GraphOnly,100,development,calibrated,2.1426950646509293,0.413155748699344,0.08282858663729267,0.9100000000000003,40,2,1
