condition,metric,n,mean,sample_variance_ddof1,sample_std_ddof1,min,max
Native1,score_normalized,2,0.0,0.0,0.0,0.0,0.0
Native1,F,2,-0.07,0.0007999999999999997,0.028284271247461898,-0.09,-0.05
Native1,failure_count,2,7,8,2.8284271247461903,5,9
Native1,failure_fraction,2,0.7,0.08000000000000002,0.282842712474619,0.5,0.9
Native1,agent_attempts,2,10,0,0.0,10,10
Native1,generated_proposals,2,10,0,0.0,10,10
Native1,NoGraph_captures,2,0,0,0.0,0,0
Native1,NoGraph_forward_intents,2,0,0,0.0,0,0
Native1,NoGraph_forward_returns,2,0,0,0.0,0,0
Native1,consecutive_failed_action_repeats,2,3.5,4.5,2.1213203435596424,2,5
NoGraphRisk,score_normalized,2,0.0,0.0,0.0,0.0,0.0
NoGraphRisk,F,2,-0.07,0.0007999999999999997,0.028284271247461898,-0.09,-0.05
NoGraphRisk,failure_count,2,7,8,2.8284271247461903,5,9
NoGraphRisk,failure_fraction,2,0.7,0.08000000000000002,0.282842712474619,0.5,0.9
NoGraphRisk,agent_attempts,2,10,0,0.0,10,10
NoGraphRisk,generated_proposals,2,16.5,4.5,2.1213203435596424,15,18
NoGraphRisk,NoGraph_captures,2,16.5,4.5,2.1213203435596424,15,18
NoGraphRisk,NoGraph_forward_intents,2,44.5,24.5,4.949747468305833,41,48
NoGraphRisk,NoGraph_forward_returns,2,44.5,24.5,4.949747468305833,41,48
NoGraphRisk,consecutive_failed_action_repeats,2,3.5,4.5,2.1213203435596424,2,5
ExplicitRepeatRisk,score_normalized,2,0.0,0.0,0.0,0.0,0.0
ExplicitRepeatRisk,F,2,-0.07,0.0007999999999999997,0.028284271247461898,-0.09,-0.05
ExplicitRepeatRisk,failure_count,2,7,8,2.8284271247461903,5,9
ExplicitRepeatRisk,failure_fraction,2,0.7,0.08000000000000002,0.282842712474619,0.5,0.9
ExplicitRepeatRisk,agent_attempts,2,10,0,0.0,10,10
ExplicitRepeatRisk,generated_proposals,2,16.5,4.5,2.1213203435596424,15,18
ExplicitRepeatRisk,NoGraph_captures,2,16.5,4.5,2.1213203435596424,15,18
ExplicitRepeatRisk,NoGraph_forward_intents,2,43,18,4.242640687119285,40,46
ExplicitRepeatRisk,NoGraph_forward_returns,2,43,18,4.242640687119285,40,46
ExplicitRepeatRisk,consecutive_failed_action_repeats,2,3.5,4.5,2.1213203435596424,2,5
ExplicitRepeatCommon2,score_normalized,2,0.0,0.0,0.0,0.0,0.0
ExplicitRepeatCommon2,F,2,-0.035,0.0004500000000000001,0.021213203435596427,-0.05,-0.02
ExplicitRepeatCommon2,failure_count,2,3.5,4.5,2.1213203435596424,2,5
ExplicitRepeatCommon2,failure_fraction,2,0.35,0.045,0.21213203435596426,0.2,0.5
ExplicitRepeatCommon2,agent_attempts,2,10,0,0.0,10,10
ExplicitRepeatCommon2,generated_proposals,2,20,0,0.0,20,20
ExplicitRepeatCommon2,NoGraph_captures,2,20,0,0.0,20,20
ExplicitRepeatCommon2,NoGraph_forward_intents,2,56,32,5.656854249492381,52,60
ExplicitRepeatCommon2,NoGraph_forward_returns,2,56,32,5.656854249492381,52,60
ExplicitRepeatCommon2,consecutive_failed_action_repeats,2,0.5,0.5,0.7071067811865476,0,1
ExplicitRepeatInternal2,score_normalized,2,0.0,0.0,0.0,0.0,0.0
ExplicitRepeatInternal2,F,2,-0.05500000000000001,5.000000000000009e-05,0.007071067811865481,-0.06000000000000001,-0.05
ExplicitRepeatInternal2,failure_count,2,5.5,0.5,0.7071067811865476,5,6
ExplicitRepeatInternal2,failure_fraction,2,0.55,0.0049999999999999975,0.07071067811865474,0.5,0.6
ExplicitRepeatInternal2,agent_attempts,2,10,0,0.0,10,10
ExplicitRepeatInternal2,generated_proposals,2,20,0,0.0,20,20
ExplicitRepeatInternal2,NoGraph_captures,2,20,0,0.0,20,20
ExplicitRepeatInternal2,NoGraph_forward_intents,2,53.5,4.5,2.1213203435596424,52,55
ExplicitRepeatInternal2,NoGraph_forward_returns,2,53.5,4.5,2.1213203435596424,52,55
ExplicitRepeatInternal2,consecutive_failed_action_repeats,2,1.5,0.5,0.7071067811865476,1,2
