condition,policy_seed,world_seed,budget,status,score_normalized,F,task_completed_successfully,failure_count,failure_fraction,agent_attempts,action_returns,parser_rejections,tick_returns,generated_proposals,NoGraph_captures,NoGraph_forward_intents,NoGraph_forward_returns,NoGraph_supported_candidates,candidate_graphs,candidate_assemble_calls,candidate_backward_calls,policy_parameter_updates,executed_action_changed_from_first_proposal,generated_revision_action_different,consecutive_failed_action_repeats,longest_identical_failed_action_run,supported_neural_revisions,supported_rank_changes,supported_activity_gate_passed,job_id
Native1,336,4,10,complete,0.0,-0.09,false,9,0.9,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,5,6,0,0,false,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-Native1-w4-p336-b10-g0
NoGraphRisk,336,4,10,complete,0.0,-0.09,false,9,0.9,10,10,0,10,18,18,48,48,12,0,0,0,0,0,2,5,6,8,0,true,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-NoGraphRisk-w4-p336-b10-g0
ExplicitRepeatRisk,336,4,10,complete,0.0,-0.09,false,9,0.9,10,10,0,10,18,18,46,46,10,0,0,0,0,0,3,5,6,8,0,true,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-ExplicitRepeatRisk-w4-p336-b10-g0
ExplicitRepeatCommon2,336,4,10,complete,0.0,-0.05,false,5,0.5,10,10,0,10,20,20,52,52,12,0,0,0,0,5,7,1,2,0,0,false,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-ExplicitRepeatCommon2-w4-p336-b10-g0
ExplicitRepeatInternal2,336,4,10,complete,0.0,-0.05,false,5,0.5,10,10,0,10,20,20,52,52,12,0,0,0,0,5,7,1,2,0,0,false,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-ExplicitRepeatInternal2-w4-p336-b10-g0
Native1,337,4,10,complete,0.0,-0.05,false,5,0.5,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,2,3,0,0,false,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-Native1-w4-p337-b10-g0
NoGraphRisk,337,4,10,complete,0.0,-0.05,false,5,0.5,10,10,0,10,15,15,41,41,11,0,0,0,0,0,2,2,3,5,0,true,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-NoGraphRisk-w4-p337-b10-g0
ExplicitRepeatRisk,337,4,10,complete,0.0,-0.05,false,5,0.5,10,10,0,10,15,15,40,40,10,0,0,0,0,0,3,2,3,5,0,true,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-ExplicitRepeatRisk-w4-p337-b10-g0
ExplicitRepeatCommon2,337,4,10,complete,0.0,-0.02,false,2,0.2,10,10,0,10,20,20,60,60,20,0,0,0,0,3,6,0,1,0,0,false,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-ExplicitRepeatCommon2-w4-p337-b10-g0
ExplicitRepeatInternal2,337,4,10,complete,0.0,-0.06000000000000001,false,6,0.6,10,10,0,10,20,20,55,55,15,0,0,0,0,2,6,2,3,0,1,true,dw-explicit-repeat-nograph-world4-b10-extension-v1-test-ExplicitRepeatInternal2-w4-p337-b10-g0
