left,right,registered_primary,metric,n,mean,sample_variance_ddof1,sample_std_ddof1,min,max
Native1,NoGraphRisk,false,score_normalized_delta,2,0.0,0.0,0.0,0.0,0.0
Native1,NoGraphRisk,false,F_delta,2,0.0,0.0,0.0,0.0,0.0
Native1,NoGraphRisk,false,failure_count_delta,2,0,0,0.0,0,0
Native1,NoGraphRisk,false,failure_fraction_delta,2,0.0,0.0,0.0,0.0,0.0
Native1,NoGraphRisk,false,agent_attempts_delta,2,0,0,0.0,0,0
Native1,NoGraphRisk,false,generated_proposals_delta,2,6.5,4.5,2.1213203435596424,5,8
Native1,NoGraphRisk,false,NoGraph_captures_delta,2,16.5,4.5,2.1213203435596424,15,18
Native1,NoGraphRisk,false,NoGraph_forward_intents_delta,2,44.5,24.5,4.949747468305833,41,48
Native1,NoGraphRisk,false,NoGraph_forward_returns_delta,2,44.5,24.5,4.949747468305833,41,48
Native1,NoGraphRisk,false,consecutive_failed_action_repeats_delta,2,0,0,0.0,0,0
NoGraphRisk,ExplicitRepeatRisk,false,score_normalized_delta,2,0.0,0.0,0.0,0.0,0.0
NoGraphRisk,ExplicitRepeatRisk,false,F_delta,2,0.0,0.0,0.0,0.0,0.0
NoGraphRisk,ExplicitRepeatRisk,false,failure_count_delta,2,0,0,0.0,0,0
NoGraphRisk,ExplicitRepeatRisk,false,failure_fraction_delta,2,0.0,0.0,0.0,0.0,0.0
NoGraphRisk,ExplicitRepeatRisk,false,agent_attempts_delta,2,0,0,0.0,0,0
NoGraphRisk,ExplicitRepeatRisk,false,generated_proposals_delta,2,0,0,0.0,0,0
NoGraphRisk,ExplicitRepeatRisk,false,NoGraph_captures_delta,2,0,0,0.0,0,0
NoGraphRisk,ExplicitRepeatRisk,false,NoGraph_forward_intents_delta,2,-1.5,0.5,0.7071067811865476,-2,-1
NoGraphRisk,ExplicitRepeatRisk,false,NoGraph_forward_returns_delta,2,-1.5,0.5,0.7071067811865476,-2,-1
NoGraphRisk,ExplicitRepeatRisk,false,consecutive_failed_action_repeats_delta,2,0,0,0.0,0,0
Native1,ExplicitRepeatRisk,true,score_normalized_delta,2,0.0,0.0,0.0,0.0,0.0
Native1,ExplicitRepeatRisk,true,F_delta,2,0.0,0.0,0.0,0.0,0.0
Native1,ExplicitRepeatRisk,true,failure_count_delta,2,0,0,0.0,0,0
Native1,ExplicitRepeatRisk,true,failure_fraction_delta,2,0.0,0.0,0.0,0.0,0.0
Native1,ExplicitRepeatRisk,true,agent_attempts_delta,2,0,0,0.0,0,0
Native1,ExplicitRepeatRisk,true,generated_proposals_delta,2,6.5,4.5,2.1213203435596424,5,8
Native1,ExplicitRepeatRisk,true,NoGraph_captures_delta,2,16.5,4.5,2.1213203435596424,15,18
Native1,ExplicitRepeatRisk,true,NoGraph_forward_intents_delta,2,43,18,4.242640687119285,40,46
Native1,ExplicitRepeatRisk,true,NoGraph_forward_returns_delta,2,43,18,4.242640687119285,40,46
Native1,ExplicitRepeatRisk,true,consecutive_failed_action_repeats_delta,2,0,0,0.0,0,0
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,score_normalized_delta,2,0.0,0.0,0.0,0.0,0.0
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,F_delta,2,-0.020000000000000004,0.0008000000000000004,0.028284271247461905,-0.04000000000000001,0.0
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,failure_count_delta,2,2,8,2.8284271247461903,0,4
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,failure_fraction_delta,2,0.19999999999999998,0.07999999999999999,0.282842712474619,0.0,0.39999999999999997
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,agent_attempts_delta,2,0,0,0.0,0,0
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,generated_proposals_delta,2,0,0,0.0,0,0
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,NoGraph_captures_delta,2,0,0,0.0,0,0
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,NoGraph_forward_intents_delta,2,-2.5,12.5,3.5355339059327378,-5,0
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,NoGraph_forward_returns_delta,2,-2.5,12.5,3.5355339059327378,-5,0
ExplicitRepeatCommon2,ExplicitRepeatInternal2,true,consecutive_failed_action_repeats_delta,2,1,2,1.4142135623730951,0,2
