condition,parameter_stratum,job_id,policy_state_id,attempt,proposal,executed,official_failure,adapter_rejection,parsed_success,common_supported,support_reason,graph_error,risk_Internal,risk_NoGraph,risk_GraphOnly,None_Internal,None_NoGraph,None_GraphOnly
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,1,0,True,0,False,True,True,supported,,0.04270391911268234,0.22648292779922485,0.025610897690057755,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,2,0,True,1,False,True,True,supported,,0.5202900767326355,0.27774569392204285,0.7722788453102112,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,2,1,False,,False,True,True,supported,,0.6992520093917847,0.5609495043754578,0.9226545095443726,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,3,0,True,1,False,True,True,supported,,0.9921220541000366,0.9172897338867188,0.9998431205749512,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,3,1,False,,False,True,True,supported,,0.9955570101737976,0.9467704892158508,0.9999595880508423,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,4,0,False,,False,True,True,supported,,0.7469518184661865,0.8110308647155762,0.5436599850654602,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,4,1,True,1,False,True,True,supported,,0.4379327893257141,0.7772605419158936,0.5034978985786438,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,5,0,True,0,False,True,True,supported,,0.18196077644824982,0.8472430109977722,0.014688430353999138,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,6,0,False,,False,True,True,supported,,0.7864729166030884,0.6453342437744141,0.9401227235794067,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,6,1,True,0,False,True,True,supported,,0.16642501950263977,0.6792793273925781,0.051050711423158646,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,7,0,True,1,False,True,True,supported,,0.8440081477165222,0.7351200580596924,0.9800628423690796,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,7,1,False,,False,True,True,supported,,0.8834380507469177,0.8555266261100769,0.9311716556549072,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,8,0,True,0,False,True,True,supported,,0.2585703432559967,0.7307453751564026,0.06822589784860611,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,9,0,True,0,False,True,True,supported,,0.11404472589492798,0.2696566879749298,0.03759642690420151,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,10,0,False,,False,True,True,supported,,0.9333823919296265,0.3010396957397461,0.9886136054992676,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,10,1,True,0,False,True,True,supported,,0.8135537505149841,0.45395082235336304,0.9568379521369934,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,11,0,True,0,False,True,True,supported,,0.0192691870033741,0.05779710412025452,0.01092185266315937,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,12,0,True,0,False,True,True,supported,,0.017345469444990158,0.08811536431312561,0.02298407070338726,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,13,0,True,0,False,True,True,supported,,0.009914296679198742,0.028196832165122032,0.020719096064567566,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,14,0,True,0,False,True,True,supported,,0.02867964096367359,0.0476035550236702,0.20167319476604462,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,15,0,True,0,False,True,True,supported,,0.028196759521961212,0.08235165476799011,0.03343735262751579,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,16,0,True,0,False,True,True,supported,,0.0271373949944973,0.07649380713701248,0.022380895912647247,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,17,0,True,0,False,True,True,supported,,0.006656948011368513,0.02317155711352825,0.007095457520335913,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,18,0,True,0,False,True,True,supported,,0.009516807273030281,0.012696327641606331,0.021919840946793556,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,19,0,True,0,False,True,True,supported,,0.005262147635221481,0.021601103246212006,0.012169654481112957,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,20,0,True,0,False,True,True,supported,,0.003493754891678691,0.021831844002008438,0.011502628214657307,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,21,0,True,0,False,True,True,supported,,0.004891499411314726,0.024551965296268463,0.005053096450865269,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,22,0,True,0,False,True,True,supported,,0.058136384934186935,0.034112900495529175,0.522434651851654,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,23,0,True,0,False,True,True,supported,,0.011071163229644299,0.03571572154760361,0.0233145859092474,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,24,0,True,0,False,True,True,supported,,0.021854477003216743,0.04362019896507263,0.033364325761795044,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,25,0,True,0,False,True,True,supported,,0.00985600147396326,0.025042785331606865,0.011656509712338448,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,26,0,True,0,False,True,True,supported,,0.034520916640758514,0.16418986022472382,0.005652755498886108,0,0,0
G0_UQ,G0,dw-seeded-full-weight-followup-v1-test-G0_UQ-w4-p336-b30,c476b78cf00f37070e9ec9ba5fdceb04ec290adf6d7f40567a4bb129d9af3170,27,0,True,0,False,True,True,supported,,0.006569547113031149,0.021963991224765778,0.008740045130252838,0,0,0
