budget,world_seed,policy_seed,arm,action_success_rate,task_progress,task_success,completion_sha256
10,3,501,ActionPool2,0.1,0.0,False,ce45bcd9812545e875c674f8e717719b4ae25fe76783358c601b62c47ad19826
10,3,501,Native,0.1,0.0,False,329a694de1cde031d07d72c81054cae659a9540c30d3823247f3f18aa3100aa3
10,3,502,ActionPool2,0.7,0.25,False,117e8ee92c6462267c7cbc0c3d4ab136b0396a2f6505fbeec4459eb9fb4be15d
10,3,502,Native,0.7,0.25,False,a0c055a499421403e351b030070944978f7a91bd5c03301c0b6cbe9fb86f0028
10,3,503,ActionPool2,0.7,0.125,False,20ba9c1fe979ed6a8108bc27274e69a433f5cffcb734709fd76f4a78b7564955
10,3,503,Native,0.8,0.0,False,edb6cf3dd129852f0a713b47b56fa88784612a4dcb2124f5de6b156cb745c4c8
10,3,504,ActionPool2,0.6,0.125,False,238408f10d687a14540bb0947edd0052c3d366e8ce8d9a0b87440a17bc387930
10,3,504,Native,0.6,0.125,False,f8f9f5ccb19b90e0a1d19caceb5f15914f37e5c96e83f148e42d32add4383e83
10,3,505,ActionPool2,0.8,0.125,False,1a73e29461685945aa2b2639adfd54bb2242a60d497ab16365f668a1d0e628cf
10,3,505,Native,0.6,0.125,False,474cc4a59015e60d5a5637da88a3f048eeaafadb9f52c5ca59818fe407267990
10,3,506,ActionPool2,0.8,0.125,False,b4716d3fa6c17db2679d97aa3db0651af09c554b6abbbfe7ec0d33e0b3af16a7
10,3,506,Native,0.6,0.0,False,1827dc1d0b65c781144eae5c72f9d7a1f7d09165df6d3bbe957a37044d895fa7
10,3,507,ActionPool2,0.4,0.0,False,4a9d7f8f58abdbf14999295f93a0972d27f021af0c38e11f8fd004809028b14b
10,3,507,Native,0.3,0.0,False,698942963f4e5f6ee83ba764231e4f1e5323a52901a77c438b050c958a09fa4d
10,3,508,ActionPool2,0.1,0.0,False,8a5e2e335e336087e732cf1685e2d24a39d91d72382307d82e383b30dd0a020a
10,3,508,Native,0.1,0.0,False,6ed1d5596e5946920ba8e8f63d19e3bef193a19fa082453538c31d9c4aead9bd
10,3,509,ActionPool2,0.7,0.25,False,ddcd92c50c98fc902dd2c24ee335e006d897198ccad55b3a3b91a82162b3bcbb
10,3,509,Native,0.5,0.0,False,d6a94c99b1984667189a55afd79e96296d69fde3d47d02ca63394d15d8669024
10,3,510,ActionPool2,0.8,0.125,False,b3e8e65b6b45fcd7f234b83d3c82e2bfc71f394fc7a37284f02d0d867af06f2e
10,3,510,Native,0.1,0.0,False,15c2ef15b713149f91d5410014293aa6b391b1c72a59b9812e91b9488c2339f4
10,4,501,ActionPool2,0.1,0.0,False,a18e19a877a0d325cf9a7af7e65afa13a8b6b6c77b5abfa54ab0bad29cec8ce6
10,4,501,Native,0.1,0.0,False,7f3b4656888e5b5a0bd718d6fd78da9ed36031078819675815d1b0eeeb4f9444
10,4,502,ActionPool2,0.8,0.0,False,a2dd367520ba7c7f541158eff5ab4b1e52f561ce5f654c7f916cb5bb4b49160a
10,4,502,Native,0.5,0.0,False,c80ab7e3535e2d4839077cca98d80a1c4c0ee3736e09486e6d59eb62ee0e1a8f
10,4,503,ActionPool2,1.0,0.25,False,6bc0835777f21f48ca43cd84e7b844b0db888684f4d517335d9a71efd136db20
10,4,503,Native,0.0,0.0,False,54e38713de80803c7d3b6a8c6661f715a6c27f004dd577a1543079215733dd06
10,4,504,ActionPool2,0.4,0.0,False,ff11b6f91115003ceefd7a580c761066184c1b37c6e49990a28a4d71a699742d
10,4,504,Native,0.3,0.0,False,d37e13fc26f30c5834a435744d626a441050c2bcc31d4f3d9d275198958e65f1
10,4,505,ActionPool2,0.4,0.0,False,75a67b958cfaa00915bd5a9601423a058aafb0b28084ff2adef73d8a64a29851
10,4,505,Native,0.0,0.0,False,9dba826dfed0e40f5c6a107147f48036ef10e2f329c12c1a88e76f130cb4b161
10,4,506,ActionPool2,0.4,0.0,False,0d9cd8da72805e09e980a921ab12fbb1e76d110cc656653be6ebb8736f2c306d
10,4,506,Native,0.2,0.0,False,3063a6b016d2d1f96f086ebba1e1c4da0ea72819b5f949ecfcdb451babcb0404
10,4,507,ActionPool2,0.3,0.0,False,c35e80c0797e5595c631508ddacd594278adaef0d164b90d09a3f0f3fa0e0d68
10,4,507,Native,0.3,0.0,False,6775f3cc689a048be3b135f18c097faf34674fa2162e9b3952de88ab08376ea3
10,4,508,ActionPool2,0.5,0.0,False,f02a0cd0c2abc3e27ace3b631f5366578e9199864394e13d8354827cac674586
10,4,508,Native,0.6,0.125,False,ede76fee11b22d811b25364e3d7052a448c7d965c59139cc6d923a3762068a35
10,4,509,ActionPool2,0.8,0.0,False,f1b25d1e914e8c6b38462653817826c59d950d62a7214c1a6d772c6479764cfb
10,4,509,Native,0.8,0.0,False,d16f29f3f4d4ca3eb55b07fc7aeec7250012e64e84dfbaf4cfca8ed81fd835bc
10,4,510,ActionPool2,0.3,0.0,False,84d02d66c898acd7bda096dbe07c1770f2e7ac14f778d44b84040783fed5958f
10,4,510,Native,0.0,0.0,False,d2a17b8d42453411d3088a33bea0780b11fa32a306161159f8b5916479df778d
20,3,501,ActionPool2,0.05,0.0,False,0649ec4dab5d876e1b0c4be897ce804d8edbcbf22db85c236c316aadda28d82b
20,3,501,Common2,0.05,0.0,False,d4572cd4d490253874588259d33c793fcbda12a6dd7cc9860e22c947bcbd2c5a
20,3,501,Native,0.05,0.0,False,03674bcb2c7d21b07afd3de1ab7b813bc52362d1e5e6e7f415dc7d891e566937
