attempt_index,Internal_index,NoGraph_index,index_differs,selected_action_differs,Internal_recorded_risks,NoGraph_recorded_risks
1,1,0,True,True,"[0.037325669080019,0.006963030435144901]","[0.21681125462055206,0.3506183326244354]"
2,0,0,False,True,"[0.03801470249891281,0.17874233424663544]","[0.24989299476146698,0.473442941904068]"
3,0,0,False,True,"[0.09914887696504593,0.36349159479141235]","[0.9235284328460693,null]"
4,1,1,False,True,"[0.9944012761116028,null]","[0.8152444958686829,null]"
5,0,0,False,True,"[0.0101177291944623,null]","[0.8616921901702881,null]"
6,1,1,False,True,"[0.021975426003336906,null]","[0.81085205078125,null]"
7,1,1,False,False,"[0.1691305935382843,null]","[0.7004635334014893,null]"
8,1,1,False,True,"[0.08554456382989883,null]","[0.7660171389579773,null]"
9,1,1,False,True,"[0.02103201486170292,null]","[0.8123636245727539,null]"
10,1,1,False,True,"[0.01787383295595646,null]","[0.6354389786720276,null]"
