window_id,source_episode,replica,actual_horizon,R8,positive_R8,positive_task_gain,risk_supported,frozen_V4_failure_probability,below_0_5,at_0_5
dw-observed-return-v1-w0-p101-a000-A,101,A,8,0.0,False,False,True,0.021520763635635376,True,False
dw-observed-return-v1-w0-p101-a000-B,101,B,8,0.0,False,False,True,0.021520763635635376,True,False
dw-observed-return-v1-w0-p101-a005-A,101,A,8,0.0,False,False,True,0.05061934143304825,True,False
dw-observed-return-v1-w0-p101-a005-B,101,B,8,0.0,False,False,True,0.05061934143304825,True,False
dw-observed-return-v1-w0-p101-a011-A,101,A,8,0.0,False,False,True,0.013140884228050709,True,False
dw-observed-return-v1-w0-p101-a011-B,101,B,8,0.0,False,False,True,0.09211576730012894,True,False
dw-observed-return-v1-w0-p101-a018-A,101,A,8,0.0,False,False,True,0.0501183457672596,True,False
dw-observed-return-v1-w0-p101-a018-B,101,B,8,0.0,False,False,True,0.0015303457621484995,True,False
dw-observed-return-v1-w0-p101-a035-A,101,A,8,0.0,False,False,True,0.9303165674209595,False,False
dw-observed-return-v1-w0-p101-a035-B,101,B,8,0.0,False,False,True,0.9303165674209595,False,False
dw-observed-return-v1-w0-p101-a070-A,101,A,8,0.0,False,False,True,0.9726496338844299,False,False
dw-observed-return-v1-w0-p101-a070-B,101,B,8,0.0,False,False,True,0.9726496338844299,False,False
dw-observed-return-v1-w0-p102-a000-A,102,A,8,0.0,False,False,True,0.3843994140625,True,False
dw-observed-return-v1-w0-p102-a000-B,102,B,8,0.0,False,False,True,0.029920632019639015,True,False
dw-observed-return-v1-w0-p102-a005-A,102,A,8,0.0,False,False,True,0.9165308475494385,False,False
dw-observed-return-v1-w0-p102-a005-B,102,B,8,0.0,False,False,True,0.04875565320253372,True,False
dw-observed-return-v1-w0-p102-a011-A,102,A,8,0.125,True,True,True,0.7513903975486755,False,False
dw-observed-return-v1-w0-p102-a011-B,102,B,8,0.125,True,True,True,0.7409842014312744,False,False
dw-observed-return-v1-w0-p102-a018-A,102,A,8,0.0,False,False,True,0.015250355005264282,True,False
dw-observed-return-v1-w0-p102-a018-B,102,B,8,0.125,True,True,True,0.011752024292945862,True,False
dw-observed-return-v1-w0-p102-a035-A,102,A,8,0.0,False,False,True,0.023748457431793213,True,False
dw-observed-return-v1-w0-p102-a035-B,102,B,8,0.0,False,False,True,0.03049652650952339,True,False
dw-observed-return-v1-w0-p102-a070-A,102,A,8,0.125,True,True,True,0.19979771971702576,True,False
dw-observed-return-v1-w0-p102-a070-B,102,B,8,0.0,False,False,True,0.03213029354810715,True,False
dw-observed-return-v1-w0-p103-a000-A,103,A,8,0.0,False,False,True,0.029920632019639015,True,False
dw-observed-return-v1-w0-p103-a000-B,103,B,8,0.0,False,False,True,0.021520763635635376,True,False
dw-observed-return-v1-w0-p103-a005-A,103,A,8,0.0,False,False,True,0.989933431148529,False,False
dw-observed-return-v1-w0-p103-a005-B,103,B,8,0.0,False,False,True,0.989933431148529,False,False
dw-observed-return-v1-w0-p103-a011-A,103,A,8,0.0,False,False,True,0.9982175230979919,False,False
dw-observed-return-v1-w0-p103-a011-B,103,B,8,0.0,False,False,True,0.9982175230979919,False,False
dw-observed-return-v1-w0-p103-a018-A,103,A,8,0.0,False,False,True,0.9853323101997375,False,False
dw-observed-return-v1-w0-p103-a018-B,103,B,8,0.0,False,False,True,0.9853323101997375,False,False
dw-observed-return-v1-w0-p103-a035-A,103,A,8,0.0,False,False,True,0.9983343482017517,False,False
dw-observed-return-v1-w0-p103-a035-B,103,B,8,0.0,False,False,True,0.9983343482017517,False,False
dw-observed-return-v1-w0-p103-a070-A,103,A,8,0.0,False,False,True,0.9831116795539856,False,False
dw-observed-return-v1-w0-p103-a070-B,103,B,8,0.0,False,False,True,0.9602997303009033,False,False
