actual_horizon,data_origin,eligible,input_hash,known_return,mask_reason,positive_task_gain,replica,root_action,source_episode,target,token_prefix_hash,window_id,world_seed
8,original_independent_observed_continuation,True,898a3fb1852940dbb9e4b32c3d5011adee451c60dc8aa989cc36572862e82f30,True,,False,A,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",101,0.0,083622cab17dc94e59727eb58d72abbda197c075d3e7757a154c86e34adf42d4,dw-observed-return-v1-w0-p101-a000-A,0
8,original_independent_observed_continuation,True,898a3fb1852940dbb9e4b32c3d5011adee451c60dc8aa989cc36572862e82f30,True,,False,B,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",101,0.0,083622cab17dc94e59727eb58d72abbda197c075d3e7757a154c86e34adf42d4,dw-observed-return-v1-w0-p101-a000-B,0
8,original_independent_observed_continuation,True,716ae7ccfe9d315c96329779dff40ed60e907274e393e45e4413fd7b780118d2,True,,False,A,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",101,0.0,b176ce3c0daeb119c9b11b4b93d07fd84affd60966baa31ba3a129eba6fcd2e6,dw-observed-return-v1-w0-p101-a005-A,0
8,original_independent_observed_continuation,True,716ae7ccfe9d315c96329779dff40ed60e907274e393e45e4413fd7b780118d2,True,,False,B,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",101,0.0,b176ce3c0daeb119c9b11b4b93d07fd84affd60966baa31ba3a129eba6fcd2e6,dw-observed-return-v1-w0-p101-a005-B,0
8,original_independent_observed_continuation,True,d9c49dbc279fa610ceb3a361435dbe16a5e8f48cb86f18f0efc0f0e9d0cc8c09,True,,False,A,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",101,0.0,9b81f6e095b35595dcb1ec7b847dc67ce56adea8e696844112e4e0b640fe1efd,dw-observed-return-v1-w0-p101-a011-A,0
8,original_independent_observed_continuation,True,3d44e1375bea45b2b04bfd67f9880ece6a8b8f12927e57a3abf87bca9064f0ce,True,,False,B,"{""action"": ""USE"", ""arg1"": ""8549"", ""arg2"": ""20342""}",101,0.0,301868ba6de2761bd22b97499f2f036cebf7043a9d55a07813634f3390038a6b,dw-observed-return-v1-w0-p101-a011-B,0
8,original_independent_observed_continuation,True,e01a4ac82b69eca0a8a25165d771fcccbe99b8c4f71c4893e1c999a980e1aa7f,True,,False,A,"{""action"": ""PICKUP"", ""arg1"": ""20342""}",101,0.0,247629c9a526a57009b45e6c7df40369d9f86bc61c6b16737d9f7418c74452aa,dw-observed-return-v1-w0-p101-a018-A,0
8,original_independent_observed_continuation,True,9f2cce02aaa4953b6a4b2194f57333d2329cd93851959e08a6b9df452085b10a,True,,False,B,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",101,0.0,cffa3464b7ab3c64f586074e8bd40adf6d21f5adf84f532209491493cf44a54b,dw-observed-return-v1-w0-p101-a018-B,0
8,original_independent_observed_continuation,True,3aa435ca99d1165afe71fa264a37c08abbacf8be0c3dee8b9abc67e2dc1f000c,True,,False,A,"{""action"": ""PICKUP"", ""arg1"": 33276}",101,0.0,19e569334f8653ee06b2c0f252894e859cfe63526f93ab5bb09c091a5c7a983e,dw-observed-return-v1-w0-p101-a035-A,0
8,original_independent_observed_continuation,True,3aa435ca99d1165afe71fa264a37c08abbacf8be0c3dee8b9abc67e2dc1f000c,True,,False,B,"{""action"": ""PICKUP"", ""arg1"": 33276}",101,0.0,19e569334f8653ee06b2c0f252894e859cfe63526f93ab5bb09c091a5c7a983e,dw-observed-return-v1-w0-p101-a035-B,0
8,original_independent_observed_continuation,True,76e6b22437b5d6e6c35b04151008404304b2f4e2c2f6340b9b5bc06b1178a148,True,,False,A,"{""action"": ""PICKUP"", ""arg1"": 33276}",101,0.0,374262982445cc0ee28fc1656905586c7b1993b3328363784d0294993f8f3590,dw-observed-return-v1-w0-p101-a070-A,0
8,original_independent_observed_continuation,True,76e6b22437b5d6e6c35b04151008404304b2f4e2c2f6340b9b5bc06b1178a148,True,,False,B,"{""action"": ""PICKUP"", ""arg1"": 33276}",101,0.0,374262982445cc0ee28fc1656905586c7b1993b3328363784d0294993f8f3590,dw-observed-return-v1-w0-p101-a070-B,0
8,original_independent_observed_continuation,True,898a3fb1852940dbb9e4b32c3d5011adee451c60dc8aa989cc36572862e82f30,True,,False,A,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",102,0.0,bd76e9c647cc6a0fa85db91a96b42641dbbab44ac4adc2fbd519e5baf8d8728b,dw-observed-return-v1-w0-p102-a000-A,0
8,original_independent_observed_continuation,True,898a3fb1852940dbb9e4b32c3d5011adee451c60dc8aa989cc36572862e82f30,True,,False,B,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",102,0.0,1124edf0e78fe957e9fc510e34e597bfe8d0bb4f943a9bb0cfef85177ea4f9f6,dw-observed-return-v1-w0-p102-a000-B,0
8,original_independent_observed_continuation,True,2f83db1b1473a941781c6888a7df7da5d64e466a627b64bba7e2b197994c7e48,True,,False,A,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 52922}",102,0.0,70a1b9379b8f19cf67e2f157324de3a9664b723885c256e340d584e0173b2a74,dw-observed-return-v1-w0-p102-a005-A,0
8,original_independent_observed_continuation,True,2f83db1b1473a941781c6888a7df7da5d64e466a627b64bba7e2b197994c7e48,True,,False,B,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": 42983}",102,0.0,e32d7352c864d4652584f1b026a42281dce1cf25839f1002bffbf8954efbce39,dw-observed-return-v1-w0-p102-a005-B,0
8,original_independent_observed_continuation,True,c58bd3f6dd48a05651fb37353771ae87e70210f5464d14f6966d1069e10daa90,True,,True,A,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",102,0.125,e6b5fa15223658b7b98e12a8ca66bdaffa837a179637b5b7e283212a6f5513ab,dw-observed-return-v1-w0-p102-a011-A,0
