budget,seed,task_id,baseline_reference_SUN,baseline_reference_AUDC,uq_only_support_aware_SUN,uq_only_support_aware_AUDC,es_only_independent_SUN,es_only_independent_AUDC,full_support_aware_SUN,full_support_aware_AUDC,full_minus_baseline_SUN,full_minus_baseline_AUDC,full_minus_UQ_SUN,full_minus_UQ_AUDC,full_and_ES_only_identical_SUN_curve
10,2,Al-Li-V,0,0.0,0,0.0,1,0.15,0,0.0,0,0.0,0,0.0,False
10,2,Al-V-Zn,4,0.5,5,0.71,4,0.46,4,0.42,0,-0.08000000000000002,-1,-0.29,False
10,2,Au-Cr-Cs-Dy,0,0.0,0,0.0,4,0.58,0,0.0,0,0.0,0,0.0,False
10,2,Au-K-Tb,4,0.26,3,0.25,1,0.19,0,0.0,-4,-0.26,-3,-0.25,False
10,2,Au-Tb-V-Y,1,0.11,1,0.11,1,0.15,0,0.0,-1,-0.11,-1,-0.11,False
10,2,Ba-Be-Hf-Li,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True
10,2,Ba-Nd-Ni-W,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True
10,2,Ca-Pd-Sn-W,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True
10,2,Ce-Er-Pb-Rh,3,0.29,1,0.19,1,0.19,3,0.21,0,-0.07999999999999999,2,0.01999999999999999,False
10,2,Ce-Ir-Pt-Sn,1,0.07,4,0.16,0,0.0,0,0.0,-1,-0.07,-4,-0.16,True
10,2,Co-Dy-W,0,0.0,2,0.16,0,0.0,0,0.0,0,0.0,-2,-0.16,True
10,2,Co-Mg-Na,0,0.0,0,0.0,0,0.0,2,0.08,2,0.08,2,0.08,False
10,2,Co-Pd-Tl,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True
10,2,Ga-Ho-Lu,4,0.32,6,0.72,3,0.51,3,0.45,-1,0.13,-3,-0.26999999999999996,False
10,2,Ga-Pt-Tm,5,0.57,3,0.43,2,0.32,5,0.51,0,-0.05999999999999994,2,0.08000000000000002,False
10,2,Hf-Ni-Zr,6,0.78,5,0.57,3,0.37,6,0.66,0,-0.12,1,0.09000000000000008,False
10,2,Mg-Sn-Sr,6,0.54,10,1.0,4,0.64,4,0.64,-2,0.09999999999999998,-6,-0.36,True
