budget,seed,task_id,arm,query,SUN
10,2,Al-Li-V,baseline_reference,0,0
10,2,Al-Li-V,baseline_reference,1,0
10,2,Al-Li-V,baseline_reference,2,0
10,2,Al-Li-V,baseline_reference,3,0
10,2,Al-Li-V,baseline_reference,4,0
10,2,Al-Li-V,baseline_reference,5,0
10,2,Al-Li-V,baseline_reference,6,0
10,2,Al-Li-V,baseline_reference,7,0
10,2,Al-Li-V,baseline_reference,8,0
10,2,Al-Li-V,baseline_reference,9,0
10,2,Al-Li-V,baseline_reference,10,0
10,2,Al-Li-V,uq_only_support_aware,0,0
10,2,Al-Li-V,uq_only_support_aware,1,0
10,2,Al-Li-V,uq_only_support_aware,2,0
10,2,Al-Li-V,uq_only_support_aware,3,0
10,2,Al-Li-V,uq_only_support_aware,4,0
10,2,Al-Li-V,uq_only_support_aware,5,0
10,2,Al-Li-V,uq_only_support_aware,6,0
10,2,Al-Li-V,uq_only_support_aware,7,0
10,2,Al-Li-V,uq_only_support_aware,8,0
10,2,Al-Li-V,uq_only_support_aware,9,0
10,2,Al-Li-V,uq_only_support_aware,10,0
10,2,Al-Li-V,es_only_independent,0,0
10,2,Al-Li-V,es_only_independent,1,0
10,2,Al-Li-V,es_only_independent,2,0
10,2,Al-Li-V,es_only_independent,3,1
10,2,Al-Li-V,es_only_independent,4,1
10,2,Al-Li-V,es_only_independent,5,1
10,2,Al-Li-V,es_only_independent,6,1
10,2,Al-Li-V,es_only_independent,7,1
10,2,Al-Li-V,es_only_independent,8,1
10,2,Al-Li-V,es_only_independent,9,1
10,2,Al-Li-V,es_only_independent,10,1
10,2,Al-Li-V,full_support_aware,0,0
10,2,Al-Li-V,full_support_aware,1,0
10,2,Al-Li-V,full_support_aware,2,0
10,2,Al-Li-V,full_support_aware,3,0
10,2,Al-Li-V,full_support_aware,4,0
10,2,Al-Li-V,full_support_aware,5,0
10,2,Al-Li-V,full_support_aware,6,0
10,2,Al-Li-V,full_support_aware,7,0
10,2,Al-Li-V,full_support_aware,8,0
10,2,Al-Li-V,full_support_aware,9,0
