arm,budget,seed,task_id,status,SUN,AUDC
baseline_reference,10,2,Al-Li-V,accepted,0,0.0
baseline_reference,10,2,Al-V-Zn,accepted,4,0.5
baseline_reference,10,2,Au-K-Tb,accepted,4,0.26
baseline_reference,10,2,Co-Dy-W,accepted,0,0.0
baseline_reference,10,2,Co-Mg-Na,accepted,0,0.0
baseline_reference,10,3,Al-Li-V,accepted,2,0.08
baseline_reference,10,3,Al-V-Zn,accepted,5,0.69
baseline_reference,10,3,Au-K-Tb,accepted,0,0.0
baseline_reference,10,3,Co-Dy-W,accepted,0,0.0
baseline_reference,10,3,Co-Mg-Na,accepted,0,0.0
baseline_reference,10,4,Al-Li-V,unclaimed,,
baseline_reference,10,4,Al-V-Zn,unclaimed,,
baseline_reference,10,4,Au-K-Tb,unclaimed,,
baseline_reference,10,4,Co-Dy-W,unclaimed,,
baseline_reference,10,4,Co-Mg-Na,unclaimed,,
baseline_reference,30,2,Al-Li-V,unclaimed,,
baseline_reference,30,2,Al-V-Zn,unclaimed,,
baseline_reference,30,2,Au-K-Tb,unclaimed,,
baseline_reference,30,2,Co-Dy-W,unclaimed,,
baseline_reference,30,2,Co-Mg-Na,unclaimed,,
baseline_reference,30,3,Al-Li-V,unclaimed,,
baseline_reference,30,3,Al-V-Zn,unclaimed,,
baseline_reference,30,3,Au-K-Tb,unclaimed,,
baseline_reference,30,3,Co-Dy-W,unclaimed,,
baseline_reference,30,3,Co-Mg-Na,unclaimed,,
baseline_reference,30,4,Al-Li-V,unclaimed,,
baseline_reference,30,4,Al-V-Zn,unclaimed,,
baseline_reference,30,4,Au-K-Tb,unclaimed,,
baseline_reference,30,4,Co-Dy-W,unclaimed,,
baseline_reference,30,4,Co-Mg-Na,unclaimed,,
baseline_reference,50,2,Al-Li-V,unclaimed,,
baseline_reference,50,2,Al-V-Zn,unclaimed,,
baseline_reference,50,2,Au-K-Tb,unclaimed,,
baseline_reference,50,2,Co-Dy-W,unclaimed,,
baseline_reference,50,2,Co-Mg-Na,unclaimed,,
baseline_reference,50,3,Al-Li-V,unclaimed,,
baseline_reference,50,3,Al-V-Zn,unclaimed,,
baseline_reference,50,3,Au-K-Tb,unclaimed,,
baseline_reference,50,3,Co-Dy-W,unclaimed,,
baseline_reference,50,3,Co-Mg-Na,unclaimed,,
baseline_reference,50,4,Al-Li-V,unclaimed,,
baseline_reference,50,4,Al-V-Zn,unclaimed,,
baseline_reference,50,4,Au-K-Tb,unclaimed,,
baseline_reference,50,4,Co-Dy-W,unclaimed,,
baseline_reference,50,4,Co-Mg-Na,unclaimed,,
uq_only_support_aware,10,2,Al-Li-V,accepted,0,0.0
uq_only_support_aware,10,2,Al-V-Zn,accepted,5,0.71
uq_only_support_aware,10,2,Au-K-Tb,accepted,3,0.25
uq_only_support_aware,10,2,Co-Dy-W,accepted,2,0.16
uq_only_support_aware,10,2,Co-Mg-Na,accepted,0,0.0
uq_only_support_aware,10,3,Al-Li-V,accepted,1,0.09
uq_only_support_aware,10,3,Al-V-Zn,accepted,7,0.73
uq_only_support_aware,10,3,Au-K-Tb,accepted,3,0.37
uq_only_support_aware,10,3,Co-Dy-W,accepted,0,0.0
uq_only_support_aware,10,3,Co-Mg-Na,accepted,0,0.0
uq_only_support_aware,10,4,Al-Li-V,unclaimed,,
uq_only_support_aware,10,4,Al-V-Zn,unclaimed,,
uq_only_support_aware,10,4,Au-K-Tb,unclaimed,,
uq_only_support_aware,10,4,Co-Dy-W,unclaimed,,
uq_only_support_aware,10,4,Co-Mg-Na,unclaimed,,
uq_only_support_aware,30,2,Al-Li-V,unclaimed,,
uq_only_support_aware,30,2,Al-V-Zn,unclaimed,,
uq_only_support_aware,30,2,Au-K-Tb,unclaimed,,
uq_only_support_aware,30,2,Co-Dy-W,unclaimed,,
uq_only_support_aware,30,2,Co-Mg-Na,unclaimed,,
uq_only_support_aware,30,3,Al-Li-V,unclaimed,,
uq_only_support_aware,30,3,Al-V-Zn,unclaimed,,
uq_only_support_aware,30,3,Au-K-Tb,unclaimed,,
uq_only_support_aware,30,3,Co-Dy-W,unclaimed,,
uq_only_support_aware,30,3,Co-Mg-Na,unclaimed,,
uq_only_support_aware,30,4,Al-Li-V,unclaimed,,
uq_only_support_aware,30,4,Al-V-Zn,unclaimed,,
uq_only_support_aware,30,4,Au-K-Tb,unclaimed,,
uq_only_support_aware,30,4,Co-Dy-W,unclaimed,,
uq_only_support_aware,30,4,Co-Mg-Na,unclaimed,,
uq_only_support_aware,50,2,Al-Li-V,unclaimed,,
uq_only_support_aware,50,2,Al-V-Zn,unclaimed,,
uq_only_support_aware,50,2,Au-K-Tb,unclaimed,,
uq_only_support_aware,50,2,Co-Dy-W,unclaimed,,
uq_only_support_aware,50,2,Co-Mg-Na,unclaimed,,
uq_only_support_aware,50,3,Al-Li-V,unclaimed,,
uq_only_support_aware,50,3,Al-V-Zn,unclaimed,,
uq_only_support_aware,50,3,Au-K-Tb,unclaimed,,
uq_only_support_aware,50,3,Co-Dy-W,unclaimed,,
uq_only_support_aware,50,3,Co-Mg-Na,unclaimed,,
uq_only_support_aware,50,4,Al-Li-V,unclaimed,,
uq_only_support_aware,50,4,Al-V-Zn,unclaimed,,
uq_only_support_aware,50,4,Au-K-Tb,unclaimed,,
uq_only_support_aware,50,4,Co-Dy-W,unclaimed,,
uq_only_support_aware,50,4,Co-Mg-Na,unclaimed,,
