arm,budget,seed,accepted,expected
baseline_reference,10,2,5,5
baseline_reference,10,3,5,5
baseline_reference,10,4,0,5
baseline_reference,30,2,0,5
baseline_reference,30,3,0,5
baseline_reference,30,4,0,5
baseline_reference,50,2,0,5
baseline_reference,50,3,0,5
baseline_reference,50,4,0,5
uq_only_support_aware,10,2,5,5
uq_only_support_aware,10,3,5,5
uq_only_support_aware,10,4,0,5
uq_only_support_aware,30,2,0,5
uq_only_support_aware,30,3,0,5
uq_only_support_aware,30,4,0,5
uq_only_support_aware,50,2,0,5
uq_only_support_aware,50,3,0,5
uq_only_support_aware,50,4,0,5
es_only_independent,10,2,5,5
es_only_independent,10,3,5,5
es_only_independent,10,4,0,5
es_only_independent,30,2,0,5
es_only_independent,30,3,0,5
es_only_independent,30,4,0,5
es_only_independent,50,2,0,5
es_only_independent,50,3,0,5
es_only_independent,50,4,0,5
full_support_aware,10,2,5,5
full_support_aware,10,3,0,5
full_support_aware,10,4,0,5
full_support_aware,30,2,0,5
full_support_aware,30,3,0,5
full_support_aware,30,4,0,5
full_support_aware,50,2,0,5
full_support_aware,50,3,0,5
full_support_aware,50,4,0,5
