arm,budget,seed,task_id,baseline_SUN,arm_SUN,delta_SUN,baseline_AUDC,arm_AUDC,delta_AUDC,baseline_result_sha256,arm_result_sha256
uq_only_support_aware,10,2,Ag-Nd-Pd-Pt-Tb,1,1,0,0.19,0.19,0.0,553119ab274676eab16cb9b1d6ff5aa11fbca9254d9b6ffa359ca393fc3848eb,ed3f722f09d712388bf96c8ede4d342ae4802da985664065e2cf998b7b707f1d
uq_only_support_aware,10,2,Al-Hg-K-Mg-W,7,3,-4,0.77,0.29,-0.48000000000000004,7316ea00c53e8ad8e2924fd0d0085b3a81072f6f429374f79efa51166a333a43,6910f52f618f0ccd50ec4e983d2392b72619556bb467b9253a6356b2e9a26163
uq_only_support_aware,10,2,Al-Li-V,0,0,0,0.0,0.0,0.0,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97,6e704bae79f53cc75724be0693d79838eb4056138c1366461dbf7f6ccbf31344
uq_only_support_aware,10,2,Al-Lu-Pt-Rb-Sm,0,0,0,0.0,0.0,0.0,af1edaf4387aa36b3d47b7844c309285975ac9bc9085edfdd2cfc9755f47cedd,aeb083a6893f437f1811448b910d166dabe5b0554f3c9959ef20d2963a40fd88
uq_only_support_aware,10,2,Al-V-Zn,4,5,1,0.5,0.71,0.20999999999999996,d9b218c8bad233d3536f23da5a6b9c2c2e74be87c1de93e6e773b919ed431287,9f183bc7c79bc62028d5a43c4d217abc8182464d769a2fec953307d58f40e5a2
uq_only_support_aware,10,2,Au-Cr-Cs-Dy,0,0,0,0.0,0.0,0.0,308fb83a3f9c23c3413c845ef2561dcbcf8eddf1d97a4aeecf54c226247334cf,7205a844e1ffc1cc8ff9706a869566e7cd53591e44a14e4e4bfc3eb4985bd901
uq_only_support_aware,10,2,Au-K-Tb,4,3,-1,0.26,0.25,-0.010000000000000009,9f07e57ccac9ecbbb8efdba9bb53f40e01516281d4a483b4ac79549aabcc3581,3fc8001aa021f8ff6a6e5562112f372f8f547b9b2cbaac2718ae6943753b2f25
uq_only_support_aware,10,2,Au-Tb-V-Y,1,1,0,0.11,0.11,0.0,b036a3710313abb535bed9ce55603ffee4915099676393028f45f0da30e5a3dd,d67e4b7d3233d73695df34a8961e7a82758aa7912359bb6b2fdb3e6f7f07190b
uq_only_support_aware,10,2,Ba-Be-Hf-Li,0,0,0,0.0,0.0,0.0,147e7feb28d697c1cc5289a3565baad767372ff412267f1962774eb8e4beed74,c99c2210bc545a75c08b2fdeef13b75a2049a1abe267b19f4682098f15a06a8f
uq_only_support_aware,10,2,Ba-Nd-Ni-W,0,0,0,0.0,0.0,0.0,a1625153189681466a1c8b65fee90399d24dc1173213dfb54123418348d683fa,3e613b9107a28022e944946522938b5f9ef717514cb66cb6632fbe19f4bf78d2
uq_only_support_aware,10,2,Ca-Fe-Gd-Pb-Tb,0,0,0,0.0,0.0,0.0,9f9a5fa1120e3d75752cbf15974abc11aa7e0000f8bea9d5885dfc0a3c328817,83c4f757de141c11a4c6be73ea097cdca9e5b13249fbe7a6db234a03ce81cc30
uq_only_support_aware,10,2,Ca-Pd-Sn-W,0,0,0,0.0,0.0,0.0,66c45bea35cd598248937bd3bc527003116f2ddb693fcc9e539c9924696c6743,2a26374cbf567f8fdafbacf984d58783eebe2e7fa47f547de35a3db88df31c96
uq_only_support_aware,10,2,Cd-Gd-Mn-Na-Ta,0,0,0,0.0,0.0,0.0,6f29e543f0d6506a73c0b58dc89fe6988f5355d13c58f17f9d325a36144df510,18c77111682da75a3f1ce2bffc9c42c30aebe00ae5dfe37daaeff06daf55edd2
