cohort,budget,seed,arm,completed_systems,expected_systems,status,SUN_mean,mSUN_mean,AUDC_mean
all30,10,2,baseline_reference,30,30,complete_seed_cohort,1.6333333333333333,0.16333333333333336,0.175
all30,10,3,baseline_reference,30,30,complete_seed_cohort,1.4,0.14,0.14266666666666666
all30,10,4,baseline_reference,8,30,partial_seed_cohort,,,
all30,10,2,uq_only_support_aware,30,30,complete_seed_cohort,1.7333333333333334,0.17333333333333334,0.18733333333333332
all30,10,3,uq_only_support_aware,13,30,partial_seed_cohort,,,
all30,10,4,uq_only_support_aware,0,30,partial_seed_cohort,,,
all30,10,2,es_only_independent,30,30,complete_seed_cohort,0.9333333333333333,0.09333333333333334,0.12866666666666665
all30,10,3,es_only_independent,30,30,complete_seed_cohort,1.0,0.1,0.116
all30,10,4,es_only_independent,10,30,partial_seed_cohort,,,
all30,10,2,full_support_aware,22,30,partial_seed_cohort,,,
all30,10,3,full_support_aware,1,30,partial_seed_cohort,,,
all30,10,4,full_support_aware,1,30,partial_seed_cohort,,,
all30,30,2,baseline_reference,0,30,partial_seed_cohort,,,
all30,30,3,baseline_reference,0,30,partial_seed_cohort,,,
all30,30,4,baseline_reference,0,30,partial_seed_cohort,,,
all30,30,2,uq_only_support_aware,0,30,partial_seed_cohort,,,
all30,30,3,uq_only_support_aware,0,30,partial_seed_cohort,,,
all30,30,4,uq_only_support_aware,0,30,partial_seed_cohort,,,
all30,30,2,es_only_independent,0,30,partial_seed_cohort,,,
all30,30,3,es_only_independent,0,30,partial_seed_cohort,,,
all30,30,4,es_only_independent,0,30,partial_seed_cohort,,,
all30,30,2,full_support_aware,0,30,partial_seed_cohort,,,
all30,30,3,full_support_aware,0,30,partial_seed_cohort,,,
all30,30,4,full_support_aware,0,30,partial_seed_cohort,,,
all30,50,2,baseline_reference,0,30,partial_seed_cohort,,,
all30,50,3,baseline_reference,0,30,partial_seed_cohort,,,
all30,50,4,baseline_reference,0,30,partial_seed_cohort,,,
all30,50,2,uq_only_support_aware,0,30,partial_seed_cohort,,,
all30,50,3,uq_only_support_aware,0,30,partial_seed_cohort,,,
all30,50,4,uq_only_support_aware,0,30,partial_seed_cohort,,,
all30,50,2,es_only_independent,0,30,partial_seed_cohort,,,
all30,50,3,es_only_independent,0,30,partial_seed_cohort,,,
all30,50,4,es_only_independent,0,30,partial_seed_cohort,,,
all30,50,2,full_support_aware,0,30,partial_seed_cohort,,,
all30,50,3,full_support_aware,0,30,partial_seed_cohort,,,
all30,50,4,full_support_aware,0,30,partial_seed_cohort,,,
core5,10,2,baseline_reference,5,5,complete_seed_cohort,1.6,0.16,0.152
core5,10,3,baseline_reference,5,5,complete_seed_cohort,1.4,0.13999999999999999,0.15399999999999997
core5,10,4,baseline_reference,5,5,complete_seed_cohort,1.4,0.13999999999999999,0.162
core5,10,2,uq_only_support_aware,5,5,complete_seed_cohort,2.0,0.2,0.22399999999999998
core5,10,3,uq_only_support_aware,5,5,complete_seed_cohort,2.2,0.21999999999999997,0.238
core5,10,4,uq_only_support_aware,0,5,partial_seed_cohort,,,
core5,10,2,es_only_independent,5,5,complete_seed_cohort,1.2,0.12000000000000002,0.16
core5,10,3,es_only_independent,5,5,complete_seed_cohort,1.2,0.12,0.16
core5,10,4,es_only_independent,5,5,complete_seed_cohort,1.0,0.1,0.074
core5,10,2,full_support_aware,5,5,complete_seed_cohort,1.2,0.12000000000000002,0.1
core5,10,3,full_support_aware,1,5,partial_seed_cohort,,,
core5,10,4,full_support_aware,1,5,partial_seed_cohort,,,
core5,30,2,baseline_reference,0,5,partial_seed_cohort,,,
core5,30,3,baseline_reference,0,5,partial_seed_cohort,,,
core5,30,4,baseline_reference,0,5,partial_seed_cohort,,,
core5,30,2,uq_only_support_aware,0,5,partial_seed_cohort,,,
core5,30,3,uq_only_support_aware,0,5,partial_seed_cohort,,,
core5,30,4,uq_only_support_aware,0,5,partial_seed_cohort,,,
core5,30,2,es_only_independent,0,5,partial_seed_cohort,,,
core5,30,3,es_only_independent,0,5,partial_seed_cohort,,,
core5,30,4,es_only_independent,0,5,partial_seed_cohort,,,
core5,30,2,full_support_aware,0,5,partial_seed_cohort,,,
core5,30,3,full_support_aware,0,5,partial_seed_cohort,,,
core5,30,4,full_support_aware,0,5,partial_seed_cohort,,,
core5,50,2,baseline_reference,0,5,partial_seed_cohort,,,
core5,50,3,baseline_reference,0,5,partial_seed_cohort,,,
core5,50,4,baseline_reference,0,5,partial_seed_cohort,,,
core5,50,2,uq_only_support_aware,0,5,partial_seed_cohort,,,
core5,50,3,uq_only_support_aware,0,5,partial_seed_cohort,,,
core5,50,4,uq_only_support_aware,0,5,partial_seed_cohort,,,
core5,50,2,es_only_independent,0,5,partial_seed_cohort,,,
core5,50,3,es_only_independent,0,5,partial_seed_cohort,,,
core5,50,4,es_only_independent,0,5,partial_seed_cohort,,,
core5,50,2,full_support_aware,0,5,partial_seed_cohort,,,
core5,50,3,full_support_aware,0,5,partial_seed_cohort,,,
core5,50,4,full_support_aware,0,5,partial_seed_cohort,,,
