cohort,budget,arm,metric,complete_cohort_seeds,missing_complete_cohort_seeds,coverage,n,mean,sample_variance_ddof1,SD
all30,10,baseline_reference,SUN,2;3,4,partial_fewer_than_three_seeds,2,1.5166666666666666,0.027222222222222234,0.16499158227686112
all30,10,baseline_reference,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.15166666666666667,0.00027222222222222247,0.016499158227686116
all30,10,baseline_reference,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.15883333333333333,0.000522722222222222,0.022863119258365032
all30,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,1.7333333333333334,,
all30,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.17333333333333334,,
all30,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.18733333333333332,,
all30,10,es_only_independent,SUN,2;3,4,partial_fewer_than_three_seeds,2,0.9666666666666667,0.0022222222222222214,0.04714045207910316
all30,10,es_only_independent,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.09666666666666668,2.222222222222223e-05,0.0047140452079103175
all30,10,es_only_independent,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.12233333333333332,8.022222222222195e-05,0.008956685895029588
all30,10,full_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,10,full_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,10,full_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,baseline_reference,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,baseline_reference,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,baseline_reference,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,es_only_independent,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,es_only_independent,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,es_only_independent,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,full_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,full_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,full_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,baseline_reference,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,baseline_reference,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,baseline_reference,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,es_only_independent,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,es_only_independent,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,es_only_independent,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,full_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,full_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,full_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,10,baseline_reference,SUN,2;3;4,,complete_three_evaluation_seeds,3,1.4666666666666668,0.013333333333333357,0.11547005383792526
core5,10,baseline_reference,mSUN,2;3;4,,complete_three_evaluation_seeds,3,0.14666666666666664,0.00013333333333333358,0.011547005383792526
core5,10,baseline_reference,AUDC,2;3;4,,complete_three_evaluation_seeds,3,0.156,2.8000000000000105e-05,0.005291502622129191
core5,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,2.1,0.020000000000000035,0.14142135623730964
core5,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.21,0.00019999999999999925,0.014142135623730925
core5,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.23099999999999998,9.800000000000017e-05,0.009899494936611674
core5,10,es_only_independent,SUN,2;3;4,,complete_three_evaluation_seeds,3,1.1333333333333333,0.013333333333333329,0.11547005383792514
core5,10,es_only_independent,mSUN,2;3;4,,complete_three_evaluation_seeds,3,0.11333333333333334,0.0001333333333333334,0.011547005383792518
core5,10,es_only_independent,AUDC,2;3;4,,complete_three_evaluation_seeds,3,0.13133333333333333,0.0024653333333333337,0.04965212315030782
core5,10,full_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,1.2,,
core5,10,full_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.12000000000000002,,
core5,10,full_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.1,,
core5,30,baseline_reference,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,baseline_reference,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,baseline_reference,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
