task_id,budget,seed,baseline_reference_SUN,baseline_reference_mSUN,baseline_reference_AUDC,uq_only_support_aware_SUN,uq_only_support_aware_mSUN,uq_only_support_aware_AUDC,es_only_independent_SUN,es_only_independent_mSUN,es_only_independent_AUDC,full_support_aware_SUN,full_support_aware_mSUN,full_support_aware_AUDC
Al-Li-V,10,2,0,0.0,0.0,0,0.0,0.0,1,0.1,0.15,0,0.0,0.0
Al-Li-V,10,3,2,0.2,0.08,1,0.1,0.09,0,0.0,0.0,0,0.0,0.0
Al-V-Zn,10,2,4,0.4,0.5,5,0.5,0.71,4,0.4,0.46,4,0.4,0.42
Au-K-Tb,10,2,4,0.4,0.26,3,0.3,0.25,1,0.1,0.19,0,0.0,0.0
Co-Dy-W,10,2,0,0.0,0.0,2,0.2,0.16,0,0.0,0.0,0,0.0,0.0
Co-Mg-Na,10,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.2,0.08
Co-Pd-Tl,10,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Ga-Ho-Lu,10,2,4,0.4,0.32,6,0.6,0.72,3,0.3,0.51,3,0.3,0.45
Ga-Pt-Tm,10,2,5,0.5,0.57,3,0.3,0.43,2,0.2,0.32,5,0.5,0.51
Hf-Ni-Zr,10,2,6,0.6,0.78,5,0.5,0.57,3,0.3,0.37,6,0.6,0.66
Mg-Sn-Sr,10,2,6,0.6,0.54,10,1.0,1.0,4,0.4,0.64,4,0.4,0.64
Au-Cr-Cs-Dy,10,2,0,0.0,0.0,0,0.0,0.0,4,0.4,0.58,0,0.0,0.0
Au-Tb-V-Y,10,2,1,0.1,0.11,1,0.1,0.11,1,0.1,0.15,0,0.0,0.0
Ba-Be-Hf-Li,10,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Ba-Nd-Ni-W,10,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Ca-Pd-Sn-W,10,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Ce-Er-Pb-Rh,10,2,3,0.3,0.29,1,0.1,0.19,1,0.1,0.19,3,0.3,0.21
Ce-Ir-Pt-Sn,10,2,1,0.1,0.07,4,0.4,0.16,0,0.0,0.0,0,0.0,0.0
Co-Dy-Ta-Y,10,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Dy-K-Pd-Sm,10,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Eu-Nb-Sn-Tl,10,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Ag-Nd-Pd-Pt-Tb,10,2,1,0.1,0.19,1,0.1,0.19,2,0.2,0.22,4,0.4,0.46
Al-Hg-K-Mg-W,10,2,7,0.7,0.77,3,0.3,0.29,0,0.0,0.0,0,0.0,0.0
