cohort,budget,arm_minus_baseline,metric,complete_paired_cohort_seeds,missing_complete_paired_cohort_seeds,coverage,n,mean,sample_variance_ddof1,SD
all30,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.10000000000000009,,
all30,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.009999999999999981,,
all30,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.012333333333333335,,
all30,10,es_only_independent,SUN,2;3,4,partial_fewer_than_three_seeds,2,-0.5499999999999999,0.04500000000000001,0.21213203435596428
all30,10,es_only_independent,mSUN,2;3,4,partial_fewer_than_three_seeds,2,-0.055000000000000014,0.00045000000000000037,0.021213203435596434
all30,10,es_only_independent,AUDC,2;3,4,partial_fewer_than_three_seeds,2,-0.0365,0.00019338888888888913,0.013906433363335443
all30,10,full_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,10,full_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,10,full_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,es_only_independent,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,es_only_independent,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,es_only_independent,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,full_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,full_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,30,full_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,es_only_independent,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,es_only_independent,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,es_only_independent,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,full_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,full_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
all30,50,full_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,0.6000000000000001,0.08000000000000014,0.2828427124746193
core5,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.06,0.0007999999999999992,0.028284271247461888
core5,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.078,7.200000000000046e-05,0.008485281374238597
core5,10,es_only_independent,SUN,2;3;4,,complete_three_evaluation_seeds,3,-0.3333333333333333,0.013333333333333343,0.11547005383792519
core5,10,es_only_independent,mSUN,2;3;4,,complete_three_evaluation_seeds,3,-0.03333333333333332,0.0001333333333333332,0.011547005383792509
core5,10,es_only_independent,AUDC,2;3;4,,complete_three_evaluation_seeds,3,-0.024666666666666656,0.003009333333333335,0.05485739087245524
core5,10,full_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,-0.40000000000000013,,
core5,10,full_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,-0.03999999999999998,,
core5,10,full_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,-0.05199999999999999,,
core5,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,es_only_independent,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,es_only_independent,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,es_only_independent,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,full_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,full_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,30,full_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,es_only_independent,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,es_only_independent,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,es_only_independent,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,full_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,full_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
core5,50,full_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
