task_id,budget,arm_minus_baseline,metric,paired_seeds,missing_paired_seeds,coverage,n,mean,sample_variance_ddof1,SD
Al-Li-V,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,-0.5,0.5,0.7071067811865476
Al-Li-V,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,-0.05,0.005000000000000001,0.07071067811865477
Al-Li-V,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.0049999999999999975,4.999999999999995e-05,0.007071067811865472
Al-V-Zn,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,1.5,0.5,0.7071067811865476
Al-V-Zn,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.14999999999999997,0.0049999999999999975,0.07071067811865474
Al-V-Zn,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.125,0.014449999999999987,0.12020815280171303
Au-K-Tb,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,1.0,8.0,2.8284271247461903
Au-K-Tb,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.09999999999999998,0.08000000000000002,0.28284271247461906
Au-K-Tb,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.18,0.0722,0.26870057685088805
Co-Dy-W,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,1.0,2.0,1.4142135623730951
Co-Dy-W,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.1,0.020000000000000004,0.14142135623730953
Co-Dy-W,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.08,0.0128,0.1131370849898476
Co-Mg-Na,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Mg-Na,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Mg-Na,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Pd-Tl,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Pd-Tl,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Pd-Tl,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ga-Ho-Lu,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,8.0,2.8284271247461903
Ga-Ho-Lu,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,-2.7755575615628914e-17,0.07999999999999999,0.282842712474619
Ga-Ho-Lu,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.20999999999999996,0.0722,0.26870057685088805
Ga-Pt-Tm,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,-0.5,4.5,2.1213203435596424
Ga-Pt-Tm,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,-0.05000000000000002,0.045,0.21213203435596426
Ga-Pt-Tm,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,-0.07499999999999998,0.008449999999999994,0.09192388155425114
Hf-Ni-Zr,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,-2.5,4.5,2.1213203435596424
Hf-Ni-Zr,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,-0.25,0.04500000000000001,0.21213203435596428
Hf-Ni-Zr,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,-0.21500000000000002,4.999999999999898e-05,0.007071067811865403
Mg-Sn-Sr,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,3.5,0.5,0.7071067811865476
Mg-Sn-Sr,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.35000000000000003,0.0049999999999999975,0.07071067811865474
Mg-Sn-Sr,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.355,0.022049999999999993,0.14849242404917495
Au-Cr-Cs-Dy,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Cr-Cs-Dy,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Cr-Cs-Dy,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Tb-V-Y,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,-0.5,0.5,0.7071067811865476
Au-Tb-V-Y,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,-0.05,0.005000000000000001,0.07071067811865477
Au-Tb-V-Y,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,-0.024999999999999994,0.0012499999999999994,0.03535533905932737
Ba-Be-Hf-Li,10,uq_only_support_aware,SUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,uq_only_support_aware,mSUN,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,uq_only_support_aware,AUDC,2;3,4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Nd-Ni-W,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Nd-Ni-W,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Nd-Ni-W,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Pd-Sn-W,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Pd-Sn-W,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Pd-Sn-W,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ce-Er-Pb-Rh,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,-2.0,,
Ce-Er-Pb-Rh,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,-0.19999999999999998,,
Ce-Er-Pb-Rh,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,-0.09999999999999998,,
Ce-Ir-Pt-Sn,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,3.0,,
Ce-Ir-Pt-Sn,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.30000000000000004,,
Ce-Ir-Pt-Sn,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.09,,
Co-Dy-Ta-Y,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Dy-Ta-Y,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Dy-Ta-Y,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Dy-K-Pd-Sm,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Dy-K-Pd-Sm,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Dy-K-Pd-Sm,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Eu-Nb-Sn-Tl,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Eu-Nb-Sn-Tl,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Eu-Nb-Sn-Tl,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ag-Nd-Pd-Pt-Tb,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ag-Nd-Pd-Pt-Tb,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ag-Nd-Pd-Pt-Tb,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Al-Hg-K-Mg-W,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,-4.0,,
Al-Hg-K-Mg-W,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,-0.39999999999999997,,
Al-Hg-K-Mg-W,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,-0.48000000000000004,,
Al-Lu-Pt-Rb-Sm,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Al-Lu-Pt-Rb-Sm,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Al-Lu-Pt-Rb-Sm,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Fe-Gd-Pb-Tb,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Fe-Gd-Pb-Tb,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Fe-Gd-Pb-Tb,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Cd-Gd-Mn-Na-Ta,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Cd-Gd-Mn-Na-Ta,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Cd-Gd-Mn-Na-Ta,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Cd-Li-Nd-Ti-W,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Cd-Li-Nd-Ti-W,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Cd-Li-Nd-Ti-W,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Hf-In-Ru-Tm,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,1.0,,
Co-Hf-In-Ru-Tm,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.09999999999999998,,
Co-Hf-In-Ru-Tm,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.04999999999999999,,
Co-Hg-Mg-Sr-W,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Hg-Mg-Sr-W,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Hg-Mg-Sr-W,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.0,,
Cr-Fe-Lu-Pt-Sc,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,-4.0,,
Cr-Fe-Lu-Pt-Sc,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,-0.4,,
Cr-Fe-Lu-Pt-Sc,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,-0.34,,
Ho-In-Mg-Pd-Zr,10,uq_only_support_aware,SUN,2,3;4,partial_fewer_than_three_seeds,1,4.0,,
Ho-In-Mg-Pd-Zr,10,uq_only_support_aware,mSUN,2,3;4,partial_fewer_than_three_seeds,1,0.4,,
Ho-In-Mg-Pd-Zr,10,uq_only_support_aware,AUDC,2,3;4,partial_fewer_than_three_seeds,1,0.28,,
Al-Li-V,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Li-V,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-Li-V,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-V-Zn,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-V-Zn,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Al-V-Zn,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-K-Tb,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-K-Tb,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-K-Tb,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-W,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-W,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Dy-W,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Mg-Na,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Mg-Na,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Mg-Na,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Pd-Tl,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Pd-Tl,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Co-Pd-Tl,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Ho-Lu,30,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Ho-Lu,30,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ga-Ho-Lu,30,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
