task_id,budget,arm,metric,observed_seeds,missing_seeds,planned_seeds,coverage,n,mean,sample_variance_ddof1,SD
Al-Li-V,10,baseline_reference,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,1.0,1.0,1.0
Al-Li-V,10,baseline_reference,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.10000000000000002,0.010000000000000002,0.1
Al-Li-V,10,baseline_reference,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.07666666666666666,0.005633333333333333,0.07505553499465135
Al-Li-V,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.5,0.5,0.7071067811865476
Al-Li-V,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.05,0.005000000000000001,0.07071067811865477
Al-Li-V,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.045,0.00405,0.06363961030678927
Al-Li-V,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.3333333333333333,0.33333333333333337,0.5773502691896258
Al-Li-V,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.03333333333333333,0.003333333333333334,0.05773502691896258
Al-Li-V,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.049999999999999996,0.007500000000000001,0.08660254037844387
Al-Li-V,10,full_support_aware,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.6666666666666666,1.3333333333333335,1.1547005383792517
Al-Li-V,10,full_support_aware,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.06666666666666667,0.013333333333333336,0.11547005383792516
Al-Li-V,10,full_support_aware,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.09333333333333334,0.026133333333333342,0.16165807537309523
Al-V-Zn,10,baseline_reference,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,5.0,1.0,1.0
Al-V-Zn,10,baseline_reference,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.5,0.009999999999999995,0.09999999999999998
Al-V-Zn,10,baseline_reference,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.6166666666666667,0.010433333333333331,0.10214368964029708
Al-V-Zn,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,6.0,2.0,1.4142135623730951
Al-V-Zn,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.6,0.01999999999999999,0.14142135623730948
Al-V-Zn,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.72,0.00020000000000000036,0.014142135623730963
Al-V-Zn,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,4.0,1.0,1.0
Al-V-Zn,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.39999999999999997,0.010000000000000002,0.1
Al-V-Zn,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.48,0.019900000000000004,0.14106735979665885
Al-V-Zn,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,4.0,,
Al-V-Zn,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.4,,
Al-V-Zn,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.42,,
Au-K-Tb,10,baseline_reference,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,1.3333333333333333,5.333333333333334,2.3094010767585034
Au-K-Tb,10,baseline_reference,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.13333333333333333,0.053333333333333344,0.23094010767585033
Au-K-Tb,10,baseline_reference,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.08666666666666667,0.022533333333333336,0.1501110699893027
Au-K-Tb,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,3.0,0.0,0.0
Au-K-Tb,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.3,0.0,0.0
Au-K-Tb,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.31,0.0072,0.08485281374238571
Au-K-Tb,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,1.0,0.0,0.0
Au-K-Tb,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.10000000000000002,2.8888949165808538e-34,1.6996749443881478e-17
Au-K-Tb,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.12333333333333334,0.009733333333333335,0.09865765724632496
Au-K-Tb,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Au-K-Tb,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Au-K-Tb,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Dy-W,10,baseline_reference,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Dy-W,10,baseline_reference,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Dy-W,10,baseline_reference,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Dy-W,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,1.0,2.0,1.4142135623730951
Co-Dy-W,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.1,0.020000000000000004,0.14142135623730953
Co-Dy-W,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.08,0.0128,0.1131370849898476
Co-Dy-W,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Dy-W,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Dy-W,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Dy-W,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Dy-W,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Dy-W,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Co-Mg-Na,10,baseline_reference,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Mg-Na,10,baseline_reference,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Mg-Na,10,baseline_reference,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Mg-Na,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Mg-Na,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Mg-Na,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Co-Mg-Na,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.3333333333333333,0.33333333333333337,0.5773502691896258
Co-Mg-Na,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.03333333333333333,0.003333333333333334,0.05773502691896258
Co-Mg-Na,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0033333333333333335,3.3333333333333335e-05,0.005773502691896258
Co-Mg-Na,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,2.0,,
Co-Mg-Na,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.2,,
Co-Mg-Na,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.08,,
Co-Pd-Tl,10,baseline_reference,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
Co-Pd-Tl,10,baseline_reference,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.0,0.0,0.0
