task_id,budget,seed,arm,job_id,candidate_oracle_attempts,completion_tokens,graph_seconds,initialization_oracle_attempts,initialization_wall_seconds,llm_calls,prompt_tokens,rpc_attempts,score_sentinels,step_attempts,surrogate_oracle_attempts,tool_attempts,wall_seconds
Al-Li-V,10,2,baseline_reference,component-final-32355a4d9bcc6137d52ada7b,10,3041,0,16,43.62696493137628,24,50693,48,1,10,190,24,660.474311394617
Al-Li-V,10,3,baseline_reference,component-final-10ad51e80000935d29c71786,10,2602,0,16,45.646395321935415,22,39632,44,,10,204,22,610.2276311237365
Al-Li-V,10,4,baseline_reference,component-final-a51d66c7e21ca9788f45a008,10,1746,0,16,45.01933779101819,13,26716,26,,10,,13,248.28606204409152
Al-Li-V,10,2,uq_only_support_aware,support-final-ccd9a242b4945d6cfcdb68dc,10,2976,1124.7261922690086,16,45.23835936374962,23,36871,44,,10,102,22,1732.5162540143356
Al-Li-V,10,3,uq_only_support_aware,support-final-2cd11ff827dc56a49263e71d,10,2816,1215.1802980895154,16,37.14334687497467,22,39779,44,,10,259,22,1932.4109737887047
Al-Li-V,10,2,es_only_independent,component-final-2e27f5563acb699daae1d131,10,2254,0,16,43.36786301061511,17,41407,32,3,10,31,16,320.77167619857937
Al-Li-V,10,3,es_only_independent,component-final-8e1fbdae4c717bead751ef3f,10,2556,0,16,45.29830716177821,18,44519,36,,10,,18,306.52611119300127
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,10,2670,0,16,52.57765846140683,20,42691,40,13,10,146,20,452.93060031626374
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,10,2254,1037.7491201329976,16,49.82238420564681,18,34459,34,1,10,31,17,1376.5666472828016
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,10,2749,1268.7607490131631,16,32.500737867318094,20,44559,36,,10,,18,1640.21006469056
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,10,2858,1345.7968943314627,16,34.692149890586734,23,51318,42,,10,,21,1722.1736632306129
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,10,2872,0,12,37.71619342174381,20,40338,38,115,10,91,19,392.72770109865814
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,10,3191,0,12,37.359913440421224,23,47176,42,19,10,20,21,364.4171622013673
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,10,2314,0,12,41.990343384444714,16,35928,32,,10,,16,271.7387802693993
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,10,3295,1311.1910614655353,12,43.23504889430478,24,46607,42,41,10,67,21,1833.4114383989945
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,10,2221,1180.944634262938,12,42.914646924007684,18,39406,32,,10,,16,1489.251800976228
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,10,3624,0,12,36.35677604749799,24,52402,44,28,10,29,22,414.2441251948476
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,10,3670,0,12,40.353387877345085,28,54324,54,240,10,238,27,605.8516828753054
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,10,2346,0,12,36.89105110056698,17,40983,32,80,10,85,16,300.25568405818194
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,10,2645,967.7010762067512,12,41.57022429257631,17,33821,30,,10,,15,1292.4230958055705
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,10,2877,0,11,43.00985371693969,18,36452,34,7,10,46,17,355.48606337979436
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,10,4179,0,11,43.33162054326385,31,51670,62,8,10,199,31,618.8721373360604
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,10,1939,0,11,44.76811937242746,13,30081,26,,10,,13,219.0269360113889
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,10,3080,1500.0568366358057,11,45.202339817304164,24,49519,46,25,10,52,23,1974.4646615777165
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,10,3579,1452.4643231332302,11,39.50272465497255,24,50063,42,14,10,157,21,2005.2476914627478
