job_id,arm,task_id,seed,budget,candidate_attempt,official_SUN
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,0,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,1,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,2,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,3,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,4,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,5,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,6,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,7,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,8,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,9,0
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,10,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,0,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,1,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,2,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,3,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,4,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,5,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,6,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,7,0
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,8,1
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,9,2
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,10,2
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,0,0
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,1,0
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,2,0
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,3,1
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,4,1
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,5,1
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,6,1
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,7,1
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,8,1
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,9,1
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,10,1
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,0,0
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,1,1
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,2,2
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,3,2
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,4,3
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,5,3
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,6,3
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,7,3
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,8,3
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,9,3
