comparison,arm,baseline,task_id,budget,seed,baseline_job_id,arm_job_id,baseline_result_sha256,arm_result_sha256,SUN_baseline,SUN_arm,SUN_delta,SUN_sign,AUDC_baseline,AUDC_arm,AUDC_delta,AUDC_sign,mSUN_baseline,mSUN_arm,mSUN_delta,mSUN_sign
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Al-Li-V,10,2,component-final-32355a4d9bcc6137d52ada7b,support-final-bceab85ac67db411774a2563,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97,013df0dbfbd0566787fefda46b5a5acde971e2ba99540a3e17a3d21bd554f86e,0,0,0,tie,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Al-Li-V,10,3,component-final-10ad51e80000935d29c71786,support-final-2b96c9fd2ded8ff4d3c9fa7b,1cec95d2d75db3d5a97682914ddb7bda69f833c414730a67a3ff7a319c226486,6ecf025aaef9df28277fb65ef260cfbe5cf48052bf16eda5df4b3b13da737008,2,0,-2,negative,0.08,0.0,-0.08,negative,0.2,0.0,-0.2,negative
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Al-Li-V,10,4,component-final-a51d66c7e21ca9788f45a008,support-final-cda0e2a385af0e786df7d24a,c532fb3814b448aa15c8b3f7b6856b05e5fa4b8b4e1c8c3047042a883bfe77d8,b4d00fd1ad56d1c64ff5e0322f4b1cf97d32713a30f7e8ea6ed60e93dce9e1db,1,2,1,positive,0.15,0.28,0.13000000000000003,positive,0.1,0.2,0.1,positive
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Al-V-Zn,10,2,component-final-50555fb4776e15c94b4beec9,support-final-ca740c106b65301c3c20f121,d9b218c8bad233d3536f23da5a6b9c2c2e74be87c1de93e6e773b919ed431287,f23bef1538602e0229db2d57a3b1cc8ff0286978a1dbda5710180e2d351c34a0,4,4,0,tie,0.5,0.42,-0.08000000000000002,negative,0.4,0.4,0.0,tie
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Al-V-Zn,10,3,component-final-52aa59f42080e58cda2f64b0,support-final-c3b9e4053e380cd376460042,b2b55503dfd55b427a93f4bf41ffd256d8fbf3eab136003a3e6744e16ecedb00,2cdf885ef0691b7d179382c8ac6bcd7f964ba19db52d7a39d793fed25c53d705,5,3,-2,negative,0.69,0.47,-0.21999999999999997,negative,0.5,0.3,-0.2,negative
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Al-V-Zn,10,4,component-final-70adf56898316f73ea4720ab,support-final-8d9484c7a3dc0a3085dccdab,dc46959c1f59d28c120f90d490678fb3482c7311f6d7b5b9c2ad1dcac129da09,ae6f33f2db8d1f14fee77677c631da94972b539aa8acf1843fc17c06d15ddc6d,6,4,-2,negative,0.66,0.34,-0.32,negative,0.6,0.4,-0.19999999999999996,negative
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Au-K-Tb,10,2,component-final-829f81d1c8b6dff9869aa711,support-final-68807310bf257b755381e67b,9f07e57ccac9ecbbb8efdba9bb53f40e01516281d4a483b4ac79549aabcc3581,a3c68ad59772d99dfbf3f4cc47cf00631eaa05c0661052a93848bab004f5e261,4,0,-4,negative,0.26,0.0,-0.26,negative,0.4,0.0,-0.4,negative
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Au-K-Tb,10,3,component-final-57ec2ac8f1ba4127bcccc073,support-final-5b6d1b84cc2ee0f52bb1c366,5141a04e7c4c4ed3274118fc1ca5c91b8a99123e2d762a5e92704d1f316d73ca,4da52604e3c8f4acd6fb95462032384d413598567b896a32cc9571488b12a29a,0,3,3,positive,0.0,0.37,0.37,positive,0.0,0.3,0.3,positive
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Au-K-Tb,10,4,component-final-b1999f2e9c20505d5a373485,support-final-17ba56fb5d378648ebbbe7c8,e435c92428dbdf393ee2be8b0d27041c49689bba1d5bfc0599132b987da9c7df,a5c45ea49bf52c9bfd18e4f2e15e299df3678aada2fc51e0b77f2c5de8c6bfc5,0,1,1,positive,0.0,0.07,0.07,positive,0.0,0.1,0.1,positive
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Co-Dy-W,10,2,component-final-2dce2a3709aad3945727809d,support-final-fdb8c5628b1505159c52f7cc,37c8b86237908291514a07069995060c740cbff46380cf93a5a7a5660c241954,982e23317a2479b02589dd29cf145635b384511e7920c367b83a7e29b1883064,0,0,0,tie,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
