comparison,task_id,n_paired_seeds,paired_seeds,ddof,SUN_delta_mean,SUN_delta_sample_variance,SUN_delta_sample_SD,AUDC_delta_mean,AUDC_delta_sample_variance,AUDC_delta_sample_SD,mSUN_delta_mean,mSUN_delta_sample_variance,mSUN_delta_sample_SD
full_support_aware_minus_baseline_reference,Al-Li-V,3,2;3;4,1,-0.3333333333333333,2.3333333333333335,1.5275252316519468,0.016666666666666677,0.011233333333333338,0.10598742063723099,-0.03333333333333333,0.023333333333333334,0.15275252316519466
full_support_aware_minus_baseline_reference,Al-V-Zn,3,2;3;4,1,-1.3333333333333333,1.3333333333333333,1.1547005383792515,-0.20666666666666667,0.014533333333333332,0.12055427546683416,-0.13333333333333333,0.01333333333333333,0.11547005383792514
full_support_aware_minus_baseline_reference,Au-K-Tb,3,2;3;4,1,0,13,3.605551275463989,0.06,0.0993,0.3151190251317746,-9.25185853854297e-18,0.13,0.36055512754639896
full_support_aware_minus_baseline_reference,Co-Dy-W,3,2;3;4,1,0.3333333333333333,0.33333333333333337,0.5773502691896258,0.043333333333333335,0.005633333333333334,0.07505553499465135,0.03333333333333333,0.003333333333333334,0.05773502691896258
full_support_aware_minus_baseline_reference,Co-Mg-Na,3,2;3;4,1,0.6666666666666666,1.3333333333333335,1.1547005383792517,0.02666666666666667,0.0021333333333333334,0.046188021535170064,0.06666666666666667,0.013333333333333336,0.11547005383792516
es_only_independent_minus_baseline_reference,Al-Li-V,3,2;3;4,1,-0.6666666666666666,2.333333333333333,1.5275252316519465,-0.02666666666666667,0.02463333333333333,0.1569500982265807,-0.06666666666666667,0.02333333333333334,0.1527525231651947
es_only_independent_minus_baseline_reference,Al-V-Zn,3,2;3;4,1,-1,3,1.7320508075688772,-0.13666666666666666,0.02263333333333335,0.15044378795195681,-0.09999999999999999,0.030000000000000002,0.17320508075688773
es_only_independent_minus_baseline_reference,Au-K-Tb,3,2;3;4,1,-0.3333333333333333,5.333333333333333,2.309401076758503,0.03666666666666667,0.014933333333333338,0.12220201853215576,-0.03333333333333335,0.05333333333333336,0.23094010767585035
es_only_independent_minus_baseline_reference,Co-Dy-W,3,2;3;4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
es_only_independent_minus_baseline_reference,Co-Mg-Na,3,2;3;4,1,0.3333333333333333,0.33333333333333337,0.5773502691896258,0.0033333333333333335,3.3333333333333335e-05,0.005773502691896258,0.03333333333333333,0.003333333333333334,0.05773502691896258
