job_id,arm,task_id,seed,candidate_oracle_attempts,completion_tokens,graph_seconds,initialization_oracle_attempts,initialization_wall_seconds,llm_calls,prompt_tokens,rpc_attempts,score_sentinels,step_attempts,surrogate_oracle_attempts,tool_attempts,wall_seconds
component-final-32355a4d9bcc6137d52ada7b,baseline_reference,Al-Li-V,2,10,3041,0,16,43.62696493137628,24,50693,48,1,10,190,24,660.474311394617
component-final-10ad51e80000935d29c71786,baseline_reference,Al-Li-V,3,10,2602,0,16,45.646395321935415,22,39632,44,,10,204,22,610.2276311237365
component-final-a51d66c7e21ca9788f45a008,baseline_reference,Al-Li-V,4,10,1746,0,16,45.01933779101819,13,26716,26,,10,,13,248.28606204409152
component-final-50555fb4776e15c94b4beec9,baseline_reference,Al-V-Zn,2,10,2872,0,12,37.71619342174381,20,40338,38,115,10,91,19,392.72770109865814
component-final-52aa59f42080e58cda2f64b0,baseline_reference,Al-V-Zn,3,10,3191,0,12,37.359913440421224,23,47176,42,19,10,20,21,364.4171622013673
component-final-70adf56898316f73ea4720ab,baseline_reference,Al-V-Zn,4,10,2314,0,12,41.990343384444714,16,35928,32,,10,,16,271.7387802693993
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,10,2877,0,11,43.00985371693969,18,36452,34,7,10,46,17,355.48606337979436
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,4179,0,11,43.33162054326385,31,51670,62,8,10,199,31,618.8721373360604
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,1939,0,11,44.76811937242746,13,30081,26,,10,,13,219.0269360113889
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,2998,0,11,51.70736765675247,22,42376,42,21,10,87,21,402.82899418100715
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,3276,0,11,52.419947320595384,24,44620,44,54,10,224,22,912.0487981168553
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,10,2815,0,11,52.241789317689836,20,41801,38,73,10,143,19,428.04346511047333
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,10,4059,0,13,51.52962984889746,25,50458,46,,10,223,23,729.4627438513562
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,10,4992,0,13,52.571309690363705,38,60169,76,,10,234,38,797.893015595153
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,2890,0,13,47.38004635181278,21,40356,40,,10,126,20,503.1709984447807
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,2976,1124.7261922690086,16,45.23835936374962,23,36871,44,,10,102,22,1732.5162540143356
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,2816,1215.1802980895154,16,37.14334687497467,22,39779,44,,10,259,22,1932.4109737887047
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,2240,1181.053286735434,16,43.3422403880395,18,37617,34,,10,,17,1508.2512320266105
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,3295,1311.1910614655353,12,43.23504889430478,24,46607,42,41,10,67,21,1833.4114383989945
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,2221,1180.944634262938,12,42.914646924007684,18,39406,32,,10,,16,1489.251800976228
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,3080,1500.0568366358057,11,45.202339817304164,24,49519,46,25,10,52,23,1974.4646615777165
support-final-2b6cfd7c97c158c305971c45,uq_only_support_aware,Au-K-Tb,3,10,3579,1452.4643231332302,11,39.50272465497255,24,50063,42,14,10,157,21,2005.2476914627478
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,3120,1006.1425081044436,11,38.853640451096,22,32863,40,33,10,124,20,1544.5600100336596
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,3126,1246.7023408561945,11,53.02058370318264,28,44713,50,62,10,119,25,1773.8086522370577
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,2550,874.838410501834,13,55.882781837601215,19,39750,32,,10,32,16,1276.4240126479417
support-final-8f46b298f45606301f129592,uq_only_support_aware,Co-Mg-Na,3,10,4721,1538.5287385750562,13,36.58163181087002,39,50779,74,,10,302,37,2569.7169816428795
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,10,2254,0,16,43.36786301061511,17,41407,32,3,10,31,16,320.77167619857937
component-final-8e1fbdae4c717bead751ef3f,es_only_independent,Al-Li-V,3,10,2556,0,16,45.29830716177821,18,44519,36,,10,,18,306.52611119300127
component-final-d183e09d99cadf104f59d07e,es_only_independent,Al-Li-V,4,10,2670,0,16,52.57765846140683,20,42691,40,13,10,146,20,452.93060031626374
component-final-b20a8fccedb10da7d5ed97a6,es_only_independent,Al-V-Zn,2,10,3624,0,12,36.35677604749799,24,52402,44,28,10,29,22,414.2441251948476
component-final-02fb34c6b01aed253ffa4730,es_only_independent,Al-V-Zn,3,10,3670,0,12,40.353387877345085,28,54324,54,240,10,238,27,605.8516828753054
component-final-2ba86fe5167c7c377083c728,es_only_independent,Al-V-Zn,4,10,2346,0,12,36.89105110056698,17,40983,32,80,10,85,16,300.25568405818194
component-final-637e688029854bff551ffb68,es_only_independent,Au-K-Tb,2,10,3086,0,11,42.35026892460883,21,33071,40,,10,58,20,365.68822515010834
component-final-f01350a0031f3cb06d45632e,es_only_independent,Au-K-Tb,3,10,3236,0,11,53.04502479173243,24,49457,46,,10,,23,352.1709651891142
component-final-fd363bc50f56142b92b62728,es_only_independent,Au-K-Tb,4,10,2928,0,11,46.56486224755645,23,44797,44,,10,40,22,331.64089618902653
