contrast,kind,seed,n_fixed_systems,SUN_total_delta,SUN_macro_mean_delta,AUDC_macro_mean_delta,mSUN_macro_mean_delta
UQ_minus_base,pairwise,2,5,2,0.3999999999999999,0.07200000000000001,0.04000000000000001
UQ_minus_base,pairwise,3,5,4,0.8000000000000003,0.08399999999999999,0.07999999999999999
UQ_minus_base,pairwise,4,5,-3,-0.5999999999999999,-0.04600000000000001,-0.059999999999999984
ES_minus_base,pairwise,2,5,-2,-0.40000000000000013,0.008000000000000007,-0.039999999999999994
ES_minus_base,pairwise,3,5,-1,-0.19999999999999996,0.006000000000000005,-0.020000000000000018
ES_minus_base,pairwise,4,5,-2,-0.3999999999999999,-0.08800000000000001,-0.03999999999999998
full_minus_UQ,pairwise,2,5,-4,-0.8,-0.12400000000000001,-0.08
full_minus_UQ,pairwise,3,5,-4,-0.8000000000000003,-0.043999999999999984,-0.08000000000000002
full_minus_UQ,pairwise,4,5,3,0.5999999999999999,0.02200000000000002,0.06000000000000001
full_minus_ES,pairwise,2,5,0,0.0,-0.06000000000000001,0.0
full_minus_ES,pairwise,3,5,1,0.19999999999999996,0.034,0.01999999999999999
full_minus_ES,pairwise,4,5,2,0.3999999999999999,0.06400000000000002,0.04000000000000001
full_minus_base,pairwise,2,5,-2,-0.40000000000000013,-0.052000000000000005,-0.039999999999999994
full_minus_base,pairwise,3,5,0,0.0,0.04000000000000001,-2.7755575615628914e-17
full_minus_base,pairwise,4,5,0,0.0,-0.023999999999999994,2.7755575615628914e-17
UQ_minus_ES,pairwise,2,5,4,0.8,0.064,0.08
UQ_minus_ES,pairwise,3,5,5,1.0000000000000002,0.07799999999999999,0.1
UQ_minus_ES,pairwise,4,5,-1,-0.19999999999999996,0.041999999999999996,-0.020000000000000004
average_UQ_algorithm_contrast,algorithm_factorial,2,5,1.0,0.19999999999999996,0.0059999999999999915,0.02000000000000001
average_UQ_algorithm_contrast,algorithm_factorial,3,5,2.5,0.5000000000000001,0.05900000000000001,0.04999999999999999
average_UQ_algorithm_contrast,algorithm_factorial,4,5,-0.5,-0.09999999999999998,0.009000000000000001,-0.009999999999999988
average_ES_algorithm_contrast,algorithm_factorial,2,5,-3.0,-0.6000000000000001,-0.058,-0.06
average_ES_algorithm_contrast,algorithm_factorial,3,5,-2.5,-0.5000000000000001,-0.01899999999999999,-0.05000000000000002
average_ES_algorithm_contrast,algorithm_factorial,4,5,0.5,0.09999999999999998,-0.032999999999999995,0.010000000000000016
algorithm_interaction,algorithm_factorial,2,5,-2,-0.3999999999999999,-0.13200000000000003,-0.04000000000000001
algorithm_interaction,algorithm_factorial,3,5,-3,-0.6000000000000001,-0.04999999999999999,-0.06
algorithm_interaction,algorithm_factorial,4,5,5,0.9999999999999998,0.11000000000000003,0.09999999999999999
