contrast,kind,task_id,n_paired_seeds,ddof,SUN_delta_mean,SUN_delta_sample_variance,SUN_delta_sample_SD,AUDC_delta_mean,AUDC_delta_sample_variance,AUDC_delta_sample_SD,mSUN_delta_mean,mSUN_delta_sample_variance,mSUN_delta_sample_SD
UQ_minus_base,pairwise,Al-Li-V,3,1,-0.6666666666666666,0.3333333333333333,0.5773502691896257,-0.04666666666666667,0.008033333333333333,0.08962886439832501,-0.06666666666666667,0.0033333333333333335,0.05773502691896258
UQ_minus_base,pairwise,Al-V-Zn,3,1,0,7,2.6457513110645907,-1.850371707708594e-17,0.054100000000000016,0.23259406699226018,-1.850371707708594e-17,0.06999999999999999,0.264575131106459
UQ_minus_base,pairwise,Au-K-Tb,3,1,0.6666666666666666,4.333333333333334,2.081665999466133,0.12,0.0469,0.21656407827707713,0.06666666666666665,0.043333333333333335,0.20816659994661327
UQ_minus_base,pairwise,Co-Dy-W,3,1,1,1,1.0,0.11,0.0091,0.09539392014169457,0.1,0.010000000000000002,0.1
UQ_minus_base,pairwise,Co-Mg-Na,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES_minus_base,pairwise,Al-Li-V,3,1,-0.6666666666666666,2.333333333333333,1.5275252316519465,-0.02666666666666667,0.02463333333333333,0.1569500982265807,-0.06666666666666667,0.02333333333333334,0.1527525231651947
ES_minus_base,pairwise,Al-V-Zn,3,1,-1,3,1.7320508075688772,-0.13666666666666666,0.02263333333333335,0.15044378795195681,-0.09999999999999999,0.030000000000000002,0.17320508075688773
ES_minus_base,pairwise,Au-K-Tb,3,1,-0.3333333333333333,5.333333333333333,2.309401076758503,0.03666666666666667,0.014933333333333338,0.12220201853215576,-0.03333333333333335,0.05333333333333336,0.23094010767585035
ES_minus_base,pairwise,Co-Dy-W,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES_minus_base,pairwise,Co-Mg-Na,3,1,0.3333333333333333,0.33333333333333337,0.5773502691896258,0.0033333333333333335,3.3333333333333335e-05,0.005773502691896258,0.03333333333333333,0.003333333333333334,0.05773502691896258
full_minus_UQ,pairwise,Al-Li-V,3,1,0.3333333333333333,2.3333333333333335,1.5275252316519468,0.06333333333333334,0.037233333333333334,0.19295940851208404,0.03333333333333333,0.023333333333333334,0.15275252316519466
full_minus_UQ,pairwise,Al-V-Zn,3,1,-1.3333333333333333,6.333333333333333,2.516611478423583,-0.20666666666666664,0.01423333333333334,0.11930353445448856,-0.1333333333333333,0.06333333333333334,0.2516611478423583
full_minus_UQ,pairwise,Au-K-Tb,3,1,-0.6666666666666666,4.333333333333334,2.081665999466133,-0.06,0.028300000000000002,0.16822603841260722,-0.06666666666666667,0.043333333333333335,0.20816659994661327
full_minus_UQ,pairwise,Co-Dy-W,3,1,-0.6666666666666666,2.333333333333333,1.5275252316519465,-0.06666666666666667,0.029033333333333335,0.17039170558842745,-0.06666666666666667,0.02333333333333334,0.1527525231651947
full_minus_UQ,pairwise,Co-Mg-Na,3,1,0.6666666666666666,1.3333333333333335,1.1547005383792517,0.02666666666666667,0.0021333333333333334,0.046188021535170064,0.06666666666666667,0.013333333333333336,0.11547005383792516
full_minus_ES,pairwise,Al-Li-V,3,1,0.3333333333333333,2.3333333333333335,1.5275252316519468,0.04333333333333334,0.04763333333333334,0.2182506204649447,0.03333333333333333,0.023333333333333334,0.15275252316519466
full_minus_ES,pairwise,Al-V-Zn,3,1,-0.3333333333333333,2.3333333333333335,1.5275252316519468,-0.07,0.006300000000000004,0.07937253933193775,-0.033333333333333326,0.023333333333333338,0.1527525231651947
full_minus_ES,pairwise,Au-K-Tb,3,1,0.3333333333333333,2.3333333333333335,1.5275252316519468,0.023333333333333327,0.03903333333333333,0.1975685535031659,0.033333333333333326,0.02333333333333333,0.15275252316519466
full_minus_ES,pairwise,Co-Dy-W,3,1,0.3333333333333333,0.33333333333333337,0.5773502691896258,0.043333333333333335,0.005633333333333334,0.07505553499465135,0.03333333333333333,0.003333333333333334,0.05773502691896258
full_minus_ES,pairwise,Co-Mg-Na,3,1,0.3333333333333333,2.3333333333333335,1.5275252316519468,0.023333333333333334,0.002433333333333334,0.04932882862316248,0.03333333333333333,0.023333333333333334,0.15275252316519466
full_minus_base,pairwise,Al-Li-V,3,1,-0.3333333333333333,2.3333333333333335,1.5275252316519468,0.016666666666666677,0.011233333333333338,0.10598742063723099,-0.03333333333333333,0.023333333333333334,0.15275252316519466
full_minus_base,pairwise,Al-V-Zn,3,1,-1.3333333333333333,1.3333333333333333,1.1547005383792515,-0.20666666666666667,0.014533333333333332,0.12055427546683416,-0.13333333333333333,0.01333333333333333,0.11547005383792514
full_minus_base,pairwise,Au-K-Tb,3,1,0,13,3.605551275463989,0.06,0.0993,0.3151190251317746,-9.25185853854297e-18,0.13,0.36055512754639896
full_minus_base,pairwise,Co-Dy-W,3,1,0.3333333333333333,0.33333333333333337,0.5773502691896258,0.043333333333333335,0.005633333333333334,0.07505553499465135,0.03333333333333333,0.003333333333333334,0.05773502691896258
full_minus_base,pairwise,Co-Mg-Na,3,1,0.6666666666666666,1.3333333333333335,1.1547005383792517,0.02666666666666667,0.0021333333333333334,0.046188021535170064,0.06666666666666667,0.013333333333333336,0.11547005383792516
UQ_minus_ES,pairwise,Al-Li-V,3,1,0,1,1.0,-0.02,0.014700000000000001,0.12124355652982141,0.0,0.010000000000000002,0.1
UQ_minus_ES,pairwise,Al-V-Zn,3,1,1,1,1.0,0.13666666666666663,0.010033333333333328,0.10016652800877811,0.09999999999999998,0.009999999999999995,0.09999999999999998
UQ_minus_ES,pairwise,Au-K-Tb,3,1,1,3,1.7320508075688772,0.08333333333333333,0.01143333333333333,0.10692676621563625,0.09999999999999999,0.030000000000000002,0.17320508075688773
UQ_minus_ES,pairwise,Co-Dy-W,3,1,1,1,1.0,0.11,0.0091,0.09539392014169457,0.1,0.010000000000000002,0.1
