contrast,kind,task_id,seed,budget,SUN_delta,SUN_sign,AUDC_delta,AUDC_sign,mSUN_delta,mSUN_sign
UQ_minus_base,pairwise,Al-Li-V,2,10,0,tie,0.0,tie,0.0,tie
UQ_minus_base,pairwise,Al-Li-V,3,10,-1,negative,0.009999999999999995,positive,-0.1,negative
UQ_minus_base,pairwise,Al-Li-V,4,10,-1,negative,-0.15,negative,-0.1,negative
UQ_minus_base,pairwise,Al-V-Zn,2,10,1,positive,0.20999999999999996,positive,0.09999999999999998,positive
UQ_minus_base,pairwise,Al-V-Zn,3,10,2,positive,0.040000000000000036,positive,0.19999999999999996,positive
UQ_minus_base,pairwise,Al-V-Zn,4,10,-3,negative,-0.25000000000000006,negative,-0.3,negative
UQ_minus_base,pairwise,Au-K-Tb,2,10,-1,negative,-0.010000000000000009,negative,-0.10000000000000003,negative
UQ_minus_base,pairwise,Au-K-Tb,3,10,3,positive,0.37,positive,0.3,positive
UQ_minus_base,pairwise,Au-K-Tb,4,10,0,tie,0.0,tie,0.0,tie
UQ_minus_base,pairwise,Co-Dy-W,2,10,2,positive,0.16,positive,0.2,positive
UQ_minus_base,pairwise,Co-Dy-W,3,10,0,tie,0.0,tie,0.0,tie
UQ_minus_base,pairwise,Co-Dy-W,4,10,1,positive,0.17,positive,0.1,positive
UQ_minus_base,pairwise,Co-Mg-Na,2,10,0,tie,0.0,tie,0.0,tie
UQ_minus_base,pairwise,Co-Mg-Na,3,10,0,tie,0.0,tie,0.0,tie
UQ_minus_base,pairwise,Co-Mg-Na,4,10,0,tie,0.0,tie,0.0,tie
ES_minus_base,pairwise,Al-Li-V,2,10,1,positive,0.15,positive,0.1,positive
ES_minus_base,pairwise,Al-Li-V,3,10,-2,negative,-0.08,negative,-0.2,negative
ES_minus_base,pairwise,Al-Li-V,4,10,-1,negative,-0.15,negative,-0.1,negative
ES_minus_base,pairwise,Al-V-Zn,2,10,0,tie,-0.03999999999999998,negative,0.0,tie
ES_minus_base,pairwise,Al-V-Zn,3,10,0,tie,-0.05999999999999994,negative,0.0,tie
ES_minus_base,pairwise,Al-V-Zn,4,10,-3,negative,-0.31000000000000005,negative,-0.3,negative
ES_minus_base,pairwise,Au-K-Tb,2,10,-3,negative,-0.07,negative,-0.30000000000000004,negative
ES_minus_base,pairwise,Au-K-Tb,3,10,1,positive,0.17,positive,0.1,positive
ES_minus_base,pairwise,Au-K-Tb,4,10,1,positive,0.01,positive,0.1,positive
ES_minus_base,pairwise,Co-Dy-W,2,10,0,tie,0.0,tie,0.0,tie
ES_minus_base,pairwise,Co-Dy-W,3,10,0,tie,0.0,tie,0.0,tie
ES_minus_base,pairwise,Co-Dy-W,4,10,0,tie,0.0,tie,0.0,tie
ES_minus_base,pairwise,Co-Mg-Na,2,10,0,tie,0.0,tie,0.0,tie
ES_minus_base,pairwise,Co-Mg-Na,3,10,0,tie,0.0,tie,0.0,tie
ES_minus_base,pairwise,Co-Mg-Na,4,10,1,positive,0.01,positive,0.1,positive
full_minus_UQ,pairwise,Al-Li-V,2,10,0,tie,0.0,tie,0.0,tie
full_minus_UQ,pairwise,Al-Li-V,3,10,-1,negative,-0.09,negative,-0.1,negative
full_minus_UQ,pairwise,Al-Li-V,4,10,2,positive,0.28,positive,0.2,positive
full_minus_UQ,pairwise,Al-V-Zn,2,10,-1,negative,-0.29,negative,-0.09999999999999998,negative
full_minus_UQ,pairwise,Al-V-Zn,3,10,-4,negative,-0.26,negative,-0.39999999999999997,negative
full_minus_UQ,pairwise,Al-V-Zn,4,10,1,positive,-0.06999999999999995,negative,0.10000000000000003,positive
full_minus_UQ,pairwise,Au-K-Tb,2,10,-3,negative,-0.25,negative,-0.3,negative
full_minus_UQ,pairwise,Au-K-Tb,3,10,0,tie,0.0,tie,0.0,tie
full_minus_UQ,pairwise,Au-K-Tb,4,10,1,positive,0.07,positive,0.1,positive
full_minus_UQ,pairwise,Co-Dy-W,2,10,-2,negative,-0.16,negative,-0.2,negative
full_minus_UQ,pairwise,Co-Dy-W,3,10,1,positive,0.13,positive,0.1,positive
full_minus_UQ,pairwise,Co-Dy-W,4,10,-1,negative,-0.17,negative,-0.1,negative
full_minus_UQ,pairwise,Co-Mg-Na,2,10,2,positive,0.08,positive,0.2,positive
full_minus_UQ,pairwise,Co-Mg-Na,3,10,0,tie,0.0,tie,0.0,tie
full_minus_UQ,pairwise,Co-Mg-Na,4,10,0,tie,0.0,tie,0.0,tie
full_minus_ES,pairwise,Al-Li-V,2,10,-1,negative,-0.15,negative,-0.1,negative
full_minus_ES,pairwise,Al-Li-V,3,10,0,tie,0.0,tie,0.0,tie
full_minus_ES,pairwise,Al-Li-V,4,10,2,positive,0.28,positive,0.2,positive
full_minus_ES,pairwise,Al-V-Zn,2,10,0,tie,-0.040000000000000036,negative,0.0,tie
full_minus_ES,pairwise,Al-V-Zn,3,10,-2,negative,-0.16000000000000003,negative,-0.2,negative
full_minus_ES,pairwise,Al-V-Zn,4,10,1,positive,-0.009999999999999953,negative,0.10000000000000003,positive
full_minus_ES,pairwise,Au-K-Tb,2,10,-1,negative,-0.19,negative,-0.1,negative
full_minus_ES,pairwise,Au-K-Tb,3,10,2,positive,0.19999999999999998,positive,0.19999999999999998,positive
full_minus_ES,pairwise,Au-K-Tb,4,10,0,tie,0.060000000000000005,positive,0.0,tie
full_minus_ES,pairwise,Co-Dy-W,2,10,0,tie,0.0,tie,0.0,tie
full_minus_ES,pairwise,Co-Dy-W,3,10,1,positive,0.13,positive,0.1,positive
full_minus_ES,pairwise,Co-Dy-W,4,10,0,tie,0.0,tie,0.0,tie
full_minus_ES,pairwise,Co-Mg-Na,2,10,2,positive,0.08,positive,0.2,positive
full_minus_ES,pairwise,Co-Mg-Na,3,10,0,tie,0.0,tie,0.0,tie
full_minus_ES,pairwise,Co-Mg-Na,4,10,-1,negative,-0.01,negative,-0.1,negative
full_minus_base,pairwise,Al-Li-V,2,10,0,tie,0.0,tie,0.0,tie
full_minus_base,pairwise,Al-Li-V,3,10,-2,negative,-0.08,negative,-0.2,negative
full_minus_base,pairwise,Al-Li-V,4,10,1,positive,0.13000000000000003,positive,0.1,positive
