task_id,arm,budget,seeds,n,ddof,variance_axis,SUN_values,SUN_mean,SUN_sample_variance,SUN_sample_SD,AUDC_values,AUDC_mean,AUDC_sample_variance,AUDC_sample_SD,mSUN_values,mSUN_mean,mSUN_sample_variance,mSUN_sample_SD
Al-Li-V,baseline_reference,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 2, 1]",1,1,1.0,"[0.0, 0.08, 0.15]",0.07666666666666666,0.005633333333333333,0.07505553499465135,"[0.0, 0.2, 0.1]",0.1,0.010000000000000002,0.1
Al-Li-V,uq_only_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 1, 0]",0.3333333333333333,0.33333333333333337,0.5773502691896258,"[0.0, 0.09, 0.0]",0.03,0.0027,0.05196152422706632,"[0.0, 0.1, 0.0]",0.03333333333333333,0.003333333333333334,0.05773502691896258
Al-Li-V,es_only_independent,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[1, 0, 0]",0.3333333333333333,0.33333333333333337,0.5773502691896258,"[0.15, 0.0, 0.0]",0.049999999999999996,0.007500000000000001,0.08660254037844387,"[0.1, 0.0, 0.0]",0.03333333333333333,0.003333333333333334,0.05773502691896258
Al-Li-V,full_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 0, 2]",0.6666666666666666,1.3333333333333335,1.1547005383792517,"[0.0, 0.0, 0.28]",0.09333333333333334,0.02613333333333334,0.16165807537309523,"[0.0, 0.0, 0.2]",0.06666666666666667,0.013333333333333336,0.11547005383792516
Al-V-Zn,baseline_reference,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[4, 5, 6]",5,1,1.0,"[0.5, 0.69, 0.66]",0.6166666666666667,0.010433333333333331,0.10214368964029708,"[0.4, 0.5, 0.6]",0.5,0.009999999999999995,0.09999999999999998
Al-V-Zn,uq_only_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[5, 7, 3]",5,4,2.0,"[0.71, 0.73, 0.41]",0.6166666666666667,0.03213333333333333,0.17925772879665003,"[0.5, 0.7, 0.3]",0.5,0.039999999999999994,0.19999999999999998
Al-V-Zn,es_only_independent,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[4, 5, 3]",4,1,1.0,"[0.46, 0.63, 0.35]",0.48,0.019900000000000004,0.14106735979665885,"[0.4, 0.5, 0.3]",0.4,0.01,0.1
Al-V-Zn,full_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[4, 3, 4]",3.6666666666666665,0.3333333333333333,0.5773502691896257,"[0.42, 0.47, 0.34]",0.41,0.0042999999999999965,0.06557438524301998,"[0.4, 0.3, 0.4]",0.3666666666666667,0.0033333333333333353,0.057735026918962595
Au-K-Tb,baseline_reference,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[4, 0, 0]",1.3333333333333333,5.333333333333334,2.3094010767585034,"[0.26, 0.0, 0.0]",0.08666666666666667,0.022533333333333336,0.1501110699893027,"[0.4, 0.0, 0.0]",0.13333333333333333,0.053333333333333344,0.23094010767585033
Au-K-Tb,uq_only_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[3, 3, 0]",2,3,1.7320508075688772,"[0.25, 0.37, 0.0]",0.20666666666666667,0.03563333333333333,0.1887679351302369,"[0.3, 0.3, 0.0]",0.19999999999999998,0.03,0.17320508075688773
Au-K-Tb,es_only_independent,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[1, 1, 1]",1,0,0.0,"[0.19, 0.17, 0.01]",0.12333333333333334,0.009733333333333335,0.09865765724632496,"[0.1, 0.1, 0.1]",0.1,0.0,0.0
Au-K-Tb,full_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 3, 1]",1.3333333333333333,2.3333333333333335,1.5275252316519468,"[0.0, 0.37, 0.07]",0.14666666666666667,0.03863333333333333,0.19655363983740756,"[0.0, 0.3, 0.1]",0.13333333333333333,0.02333333333333333,0.15275252316519466
Co-Dy-W,baseline_reference,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 0, 0]",0,0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0
Co-Dy-W,uq_only_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[2, 0, 1]",1,1,1.0,"[0.16, 0.0, 0.17]",0.11,0.0091,0.09539392014169457,"[0.2, 0.0, 0.1]",0.1,0.010000000000000002,0.1
Co-Dy-W,es_only_independent,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 0, 0]",0,0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0
Co-Dy-W,full_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 1, 0]",0.3333333333333333,0.33333333333333337,0.5773502691896258,"[0.0, 0.13, 0.0]",0.043333333333333335,0.005633333333333334,0.07505553499465135,"[0.0, 0.1, 0.0]",0.03333333333333333,0.003333333333333334,0.05773502691896258
Co-Mg-Na,baseline_reference,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 0, 0]",0,0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0
Co-Mg-Na,uq_only_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 0, 0]",0,0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0
Co-Mg-Na,es_only_independent,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[0, 0, 1]",0.3333333333333333,0.33333333333333337,0.5773502691896258,"[0.0, 0.0, 0.01]",0.0033333333333333335,3.3333333333333335e-05,0.005773502691896258,"[0.0, 0.0, 0.1]",0.03333333333333333,0.003333333333333334,0.05773502691896258
Co-Mg-Na,full_support_aware,10,2;3;4,3,1,evaluation_seed_within_fixed_system_and_arm,"[2, 0, 0]",0.6666666666666666,1.3333333333333335,1.1547005383792517,"[0.08, 0.0, 0.0]",0.02666666666666667,0.0021333333333333334,0.046188021535170064,"[0.2, 0.0, 0.0]",0.06666666666666667,0.013333333333333336,0.11547005383792516
