task_id,seed,baseline_reference_SUN,es_only_independent_SUN,uq_only_support_aware_SUN,full_support_aware_SUN,baseline_reference_AUDC,es_only_independent_AUDC,uq_only_support_aware_AUDC,full_support_aware_AUDC,Full_minus_UQ_SUN,Full_minus_UQ_AUDC,UQ_minus_base_SUN,UQ_minus_base_AUDC
Al-Li-V,2,0,1,0,0,0.0,0.15,0.0,0.0,0,0.0,0,0.0
Al-Li-V,3,2,0,1,0,0.08,0.0,0.09,0.0,-1,-0.09,-1,0.009999999999999995
Al-Li-V,4,1,0,0,2,0.15,0.0,0.0,0.28,2,0.28,-1,-0.15
Al-V-Zn,2,4,4,5,4,0.5,0.46,0.71,0.42,-1,-0.29,1,0.20999999999999996
Al-V-Zn,3,5,5,7,3,0.69,0.63,0.73,0.47,-4,-0.26,2,0.040000000000000036
Al-V-Zn,4,6,3,3,4,0.66,0.35,0.41,0.34,1,-0.06999999999999995,-3,-0.25000000000000006
Au-K-Tb,2,4,1,3,0,0.26,0.19,0.25,0.0,-3,-0.25,-1,-0.010000000000000009
Au-K-Tb,3,0,1,3,3,0.0,0.17,0.37,0.37,0,0.0,3,0.37
Au-K-Tb,4,0,1,0,1,0.0,0.01,0.0,0.07,1,0.07,0,0.0
Co-Dy-W,2,0,0,2,0,0.0,0.0,0.16,0.0,-2,-0.16,2,0.16
Co-Dy-W,3,0,0,0,1,0.0,0.0,0.0,0.13,1,0.13,0,0.0
Co-Dy-W,4,0,0,1,0,0.0,0.0,0.17,0.0,-1,-0.17,1,0.17
Co-Mg-Na,2,0,0,0,2,0.0,0.0,0.0,0.08,2,0.08,0,0.0
Co-Mg-Na,3,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
Co-Mg-Na,4,0,1,0,0,0.0,0.01,0.0,0.0,0,0.0,0,0.0
