arm,seed,trajectories,SUN_sum,SUN_mean,AUDC_mean,SUN_sample_variance,AUDC_sample_variance,proposals,executed_tools,physical_steps,initialization_ORB,MACE_events,MACE_count_field_missing,failed_selects,tool_failures,graph_succeeded,graph_unavailable,invalid_generation,controller_schema_retry_requests,controller_neural_retry_requests,actual_second_proposals,actual_second_schema,actual_second_neural,selected_second,selected_second_after_schema,multiple_valid_risk_selection_changed,supported_scalar_ge_threshold,unexecuted_neural_second,neural_second_generation_seconds,neural_second_graph_seconds,neural_second_prompt_tokens,neural_second_completion_tokens,generate_structures_executed,score_buffer_executed,query_structures_executed,select_for_evaluation_executed,get_buffer_stats_executed,list_compositions_executed,create_structure_executed,scalar_NN_n,scalar_NN_min,scalar_NN_max
baseline_reference,2,5,8,1.6,0.152,4.8,0.05052,109,104,50,63,637,0,7,8,0,0,5,0,0,4,0,0,3,0,0,0,0,0.0,0.0,0,0,31,16,0,57,0,0,0,104,0.49987486004829407,0.5006795525550842
baseline_reference,3,5,7,1.4,0.15399999999999997,4.8,0.09097999999999999,138,134,50,63,881,0,13,14,0,0,4,0,0,4,0,0,4,0,0,0,0,0.0,0.0,0,0,54,13,3,63,0,1,0,134,0.4998474717140198,0.5004650354385376
baseline_reference,4,5,7,1.4,0.162,6.8,0.08172,83,81,50,63,269,3,6,6,0,0,2,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0,0,23,2,0,56,0,0,0,81,0.4998798668384552,0.5005589127540588
es_only_independent,2,5,6,1.2,0.16,2.7,0.035550000000000005,102,95,50,63,187,0,12,12,0,0,7,0,0,7,0,0,7,0,0,0,0,0.0,0.0,0,0,26,7,0,62,0,0,0,0,,
es_only_independent,3,5,6,1.2,0.16,4.7,0.07445,112,110,50,63,419,2,10,11,0,0,2,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0,0,44,6,0,60,0,0,0,0,,
es_only_independent,4,5,5,1.0,0.074,1.5,0.023829999999999997,89,87,50,63,397,0,11,11,0,0,2,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0,0,21,5,0,61,0,0,0,0,,
uq_only_support_aware,2,5,10,2.0,0.22399999999999998,4.5,0.08532999999999999,112,102,50,63,377,0,1,2,95,17,7,10,1,10,10,0,10,10,0,0,0,0.0,0.0,0,0,33,10,4,51,4,0,0,105,0.4989717900753021,0.5010794997215271
uq_only_support_aware,3,5,11,2.2,0.238,8.7,0.09867,131,121,50,63,837,1,3,3,123,8,5,10,2,9,9,0,8,8,0,0,0,0.0,0.0,0,0,47,13,5,53,3,0,0,126,0.49894627928733826,0.5012179017066956
uq_only_support_aware,4,5,4,0.8,0.11599999999999999,1.7,0.032429999999999994,96,91,50,63,346,3,9,9,91,5,2,5,0,5,5,0,5,5,0,0,0,0.0,0.0,0,0,26,2,3,59,1,0,0,94,0.4989052712917328,0.501150369644165
full_support_aware,2,5,6,1.2,0.1,3.2,0.0332,89,81,50,63,62,3,5,6,70,19,3,4,5,8,4,4,4,4,0,0,4,44.02951109688729,97.88855647295713,8506,447,21,2,1,55,2,0,0,86,0.4993220269680023,0.5011399984359741
full_support_aware,3,5,7,1.4,0.194,2.3,0.04663,90,87,50,63,44,4,10,10,79,11,2,2,1,3,2,1,2,2,0,0,1,8.218335248529911,12.28446592297405,3048,78,24,1,2,60,0,0,0,88,0.49868762493133545,0.5012679100036621
full_support_aware,4,5,7,1.4,0.138,2.8,0.025920000000000006,86,81,50,63,84,4,9,9,71,15,2,2,3,5,2,3,2,2,0,0,3,38.439792160410434,29.03641365515068,6418,392,18,2,2,59,0,0,0,84,0.4989382028579712,0.5012467503547668
