arm,task_id,trajectories,SUN_sum,SUN_mean,AUDC_mean,SUN_sample_variance,AUDC_sample_variance,proposals,executed_tools,physical_steps,initialization_ORB,MACE_events,MACE_count_field_missing,failed_selects,tool_failures,graph_succeeded,graph_unavailable,invalid_generation,controller_schema_retry_requests,controller_neural_retry_requests,actual_second_proposals,actual_second_schema,actual_second_neural,selected_second,selected_second_after_schema,multiple_valid_risk_selection_changed,supported_scalar_ge_threshold,unexecuted_neural_second,neural_second_generation_seconds,neural_second_graph_seconds,neural_second_prompt_tokens,neural_second_completion_tokens,generate_structures_executed,score_buffer_executed,query_structures_executed,select_for_evaluation_executed,get_buffer_stats_executed,list_compositions_executed,create_structure_executed,scalar_NN_n,scalar_NN_min,scalar_NN_max
baseline_reference,Al-Li-V,3,3,1.0,0.07666666666666666,1,0.005633333333333333,59,59,30,48,394,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,16,7,0,36,0,0,0,59,0.4998568594455719,0.5006795525550842
baseline_reference,Al-V-Zn,3,15,5.0,0.6166666666666667,1,0.010433333333333331,59,56,30,36,111,1,4,4,0,0,3,0,0,3,0,0,3,0,0,0,0,0.0,0.0,0,0,18,3,0,34,0,1,0,56,0.49985942244529724,0.5005806684494019
baseline_reference,Au-K-Tb,3,4,1.3333333333333333,0.08666666666666667,5.333333333333333,0.022533333333333336,62,61,30,33,245,1,4,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,19,6,2,34,0,0,0,61,0.4998474717140198,0.5004650354385376
baseline_reference,Co-Dy-W,3,0,0.0,0.0,0,0.0,66,62,30,33,454,0,3,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0.0,0.0,0,0,21,8,0,33,0,0,0,62,0.49987486004829407,0.5005589127540588
baseline_reference,Co-Mg-Na,3,0,0.0,0.0,0,0.0,84,81,30,39,583,0,9,9,0,0,3,0,0,2,0,0,1,0,0,0,0,0.0,0.0,0,0,34,7,1,39,0,0,0,81,0.49986889958381653,0.5004270672798157
es_only_independent,Al-Li-V,3,1,0.3333333333333333,0.049999999999999996,0.3333333333333333,0.0075,55,54,30,48,177,1,5,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,17,2,0,35,0,0,0,0,,
es_only_independent,Al-V-Zn,3,12,4.0,0.48,1,0.019900000000000004,69,65,30,36,352,0,6,6,0,0,4,0,0,4,0,0,4,0,0,0,0,0.0,0.0,0,0,25,4,0,36,0,0,0,0,,
es_only_independent,Au-K-Tb,3,3,1.0,0.12333333333333334,0,0.009733333333333333,68,65,30,33,98,1,11,11,0,0,3,0,0,3,0,0,3,0,0,0,0,0.0,0.0,0,0,21,3,0,41,0,0,0,0,,
es_only_independent,Co-Dy-W,3,0,0.0,0.0,0,0.0,58,55,30,33,120,0,5,5,0,0,3,0,0,3,0,0,3,0,0,0,0,0.0,0.0,0,0,17,3,0,35,0,0,0,0,,
es_only_independent,Co-Mg-Na,3,1,0.3333333333333333,0.0033333333333333335,0.3333333333333333,3.3333333333333335e-05,53,53,30,39,256,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,11,6,0,36,0,0,0,0,,
uq_only_support_aware,Al-Li-V,3,1,0.3333333333333333,0.03,0.3333333333333333,0.0026999999999999997,63,61,30,48,361,1,5,5,62,1,1,2,0,2,2,0,2,2,0,0,0,0.0,0.0,0,0,19,5,2,35,0,0,0,62,0.4989717900753021,0.5012179017066956
uq_only_support_aware,Al-V-Zn,3,15,5.0,0.6166666666666666,4,0.03213333333333333,61,56,30,36,67,2,4,5,56,5,3,5,2,5,5,0,5,5,0,0,0,0.0,0.0,0,0,16,2,2,34,2,0,0,58,0.49901530146598816,0.501150369644165
uq_only_support_aware,Au-K-Tb,3,6,2.0,0.20666666666666667,3,0.03563333333333333,61,57,30,33,209,1,0,0,54,7,4,4,0,3,3,0,2,2,0,0,0,0.0,0.0,0,0,19,6,0,30,2,0,0,57,0.4989052712917328,0.50115567445755
uq_only_support_aware,Co-Dy-W,3,3,1.0,0.11,1,0.0091,70,63,30,33,414,0,1,1,63,7,3,7,1,7,7,0,7,7,0,0,0,0.0,0.0,0,0,20,6,3,31,3,0,0,67,0.4995023310184479,0.5010083317756653
uq_only_support_aware,Co-Mg-Na,3,0,0.0,0.0,0,0.0,84,77,30,39,509,0,3,3,74,10,3,7,0,7,7,0,7,7,0,0,0,0.0,0.0,0,0,32,6,5,33,1,0,0,81,0.4989633560180664,0.5010398030281067
full_support_aware,Al-Li-V,3,2,0.6666666666666666,0.09333333333333334,1.3333333333333333,0.02613333333333334,61,56,30,48,31,2,10,10,54,7,3,3,2,5,3,2,3,3,0,0,2,21.940218729898334,22.2771132979542,5289,222,12,1,3,40,0,0,0,58,0.49944666028022766,0.5012467503547668
full_support_aware,Al-V-Zn,3,11,3.6666666666666665,0.41,0.3333333333333333,0.0042999999999999965,48,45,30,36,0,3,3,3,42,6,2,2,1,3,2,1,2,2,0,0,1,13.228786385152489,10.451607977971435,2305,136,11,0,0,33,1,0,0,46,0.4990677237510681,0.5012679100036621
full_support_aware,Au-K-Tb,3,4,1.3333333333333333,0.14666666666666667,2.3333333333333335,0.03863333333333333,53,50,30,33,0,3,3,4,45,8,0,1,3,3,1,2,1,1,0,0,2,19.019484895281494,79.22773849405348,4442,189,16,0,0,33,1,0,0,53,0.49868762493133545,0.500843346118927
full_support_aware,Co-Dy-W,3,1,0.3333333333333333,0.043333333333333335,0.3333333333333333,0.005633333333333334,50,48,30,33,31,2,4,4,37,13,1,1,1,2,1,1,1,1,0,0,1,12.030655750073493,10.287436404265463,2299,120,12,1,1,34,0,0,0,49,0.4993220269680023,0.5009475946426392
full_support_aware,Co-Mg-Na,3,2,0.6666666666666666,0.02666666666666667,1.3333333333333333,0.0021333333333333334,53,50,30,39,128,1,4,4,42,11,1,1,2,3,1,2,1,1,0,0,2,24.468492745421827,16.965539876837283,3637,250,12,3,1,34,0,0,0,52,0.4989382028579712,0.5009732246398926
