AUDC,SUN,arm,budget,job_id,seed,task_id,proposals,executed_tools,physical_steps,initialization_ORB,MACE_count_field,MACE_count_field_missing,MACE_events,wall_seconds,graph_seconds,llm_calls,prompt_tokens,completion_tokens,failed_selects,tool_failures,graph_succeeded,graph_unavailable,invalid_generation,controller_schema_retry_requests,controller_neural_retry_requests,actual_second_proposals,actual_second_schema,actual_second_neural,selected_second,selected_second_after_schema,multiple_valid_risk_selection_changed,supported_scalar_ge_threshold,unexecuted_neural_second,neural_second_generation_seconds,neural_second_graph_seconds,neural_second_prompt_tokens,neural_second_completion_tokens,generate_structures_executed,score_buffer_executed,query_structures_executed,select_for_evaluation_executed,get_buffer_stats_executed,list_compositions_executed,create_structure_executed,scalar_NN_n,scalar_NN_min,scalar_NN_max,model_state_hash,selected_generation,direct_stable_new_events,repeated_step_candidate_hashes,SUN_curve
0.0,0,baseline_reference,10,component-final-32355a4d9bcc6137d52ada7b,2,Al-Li-V,24,24,10,16,190,0,190,660.474311394617,0,24,50693,3041,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,7,4,0,13,0,0,0,24,0.4998978078365326,0.5006795525550842,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.08,2,baseline_reference,10,component-final-10ad51e80000935d29c71786,3,Al-Li-V,22,22,10,16,204,0,204,610.2276311237365,0,22,39632,2602,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,7,3,0,12,0,0,0,22,0.4998568594455719,0.5004435181617737,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,2,0,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2]"
0.15,1,baseline_reference,10,component-final-a51d66c7e21ca9788f45a008,4,Al-Li-V,13,13,10,16,,1,0,248.28606204409152,0,13,26716,1746,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,11,0,0,0,13,0.4999549388885498,0.5004918575286865,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,1,0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
0.5,4,baseline_reference,10,component-final-50555fb4776e15c94b4beec9,2,Al-V-Zn,20,19,10,12,91,0,91,392.72770109865814,0,20,40338,2872,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,6,2,0,11,0,0,0,19,0.4998779594898224,0.5005806684494019,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,5,0,"[1, 2, 2, 3, 3, 3, 3, 3, 3, 4]"
0.69,5,baseline_reference,10,component-final-52aa59f42080e58cda2f64b0,3,Al-V-Zn,23,21,10,12,20,0,20,364.4171622013673,0,23,47176,3191,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0,0,7,1,0,12,0,1,0,21,0.49985942244529724,0.5002878904342651,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,5,0,"[1, 2, 3, 3, 4, 4, 5, 5, 5, 5]"
0.66,6,baseline_reference,10,component-final-70adf56898316f73ea4720ab,4,Al-V-Zn,16,16,10,12,,1,0,271.7387802693993,0,16,35928,2314,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,5,0,0,11,0,0,0,16,0.4999057352542877,0.5002589821815491,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,6,0,"[1, 2, 3, 3, 3, 3, 4, 5, 6, 6]"
0.26,4,baseline_reference,10,component-final-829f81d1c8b6dff9869aa711,2,Au-K-Tb,18,17,10,11,46,0,46,355.48606337979436,0,18,36452,2877,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,3,3,0,11,0,0,0,17,0.49994349479675293,0.5003523826599121,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,4,0,"[0, 0, 0, 1, 1, 1, 2, 3, 3, 4]"
0.0,0,baseline_reference,10,component-final-57ec2ac8f1ba4127bcccc073,3,Au-K-Tb,31,31,10,11,199,0,199,618.8721373360604,0,31,51670,4179,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,13,3,2,13,0,0,0,31,0.4998474717140198,0.5004650354385376,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,baseline_reference,10,component-final-b1999f2e9c20505d5a373485,4,Au-K-Tb,13,13,10,11,,1,0,219.0269360113889,0,13,30081,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,3,0,0,10,0,0,0,13,0.49995577335357666,0.5001493096351624,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,baseline_reference,10,component-final-2dce2a3709aad3945727809d,2,Co-Dy-W,22,21,10,11,87,0,87,402.82899418100715,0,22,42376,2998,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,6,4,0,11,0,0,0,21,0.49987486004829407,0.5002313852310181,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,baseline_reference,10,component-final-3a4b0c1cd037fc1028c65eb5,3,Co-Dy-W,24,22,10,11,224,0,224,912.0487981168553,0,24,44620,3276,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0,0,9,3,0,10,0,0,0,22,0.49991098046302795,0.5002491474151611,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,baseline_reference,10,component-final-a526e6a613189f807a458cb1,4,Co-Dy-W,20,19,10,11,143,0,143,428.04346511047333,0,20,41801,2815,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,6,1,0,12,0,0,0,19,0.4999767541885376,0.5005589127540588,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,baseline_reference,10,component-final-a8630b6c09e7eed6994a9658,2,Co-Mg-Na,25,23,10,13,223,0,223,729.4627438513562,0,25,50458,4059,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,9,3,0,11,0,0,0,23,0.4999723434448242,0.5003985166549683,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,baseline_reference,10,component-final-4b3d96d6b87ab535fb130a5e,3,Co-Mg-Na,38,38,10,13,234,0,234,797.893015595153,0,38,60169,4992,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,18,3,1,16,0,0,0,38,0.49986889958381653,0.5004134774208069,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,baseline_reference,10,component-final-613da1e8bf281966bbdc66db,4,Co-Mg-Na,21,20,10,13,126,0,126,503.1709984447807,0,21,40356,2890,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,7,1,0,12,0,0,0,20,0.4998798668384552,0.5004270672798157,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.15,1,es_only_independent,10,component-final-2e27f5563acb699daae1d131,2,Al-Li-V,17,16,10,16,31,0,31,320.77167619857937,0,17,41407,2254,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,4,1,0,11,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,1,0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
0.0,0,es_only_independent,10,component-final-8e1fbdae4c717bead751ef3f,3,Al-Li-V,18,18,10,16,,1,0,306.52611119300127,0,18,44519,2556,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,7,0,0,11,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,es_only_independent,10,component-final-d183e09d99cadf104f59d07e,4,Al-Li-V,20,20,10,16,146,0,146,452.93060031626374,0,20,42691,2670,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,6,1,0,13,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.46,4,es_only_independent,10,component-final-b20a8fccedb10da7d5ed97a6,2,Al-V-Zn,24,22,10,12,29,0,29,414.2441251948476,0,24,52402,3624,3,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0.0,0.0,0,0,8,1,0,13,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,4,0,"[1, 1, 2, 2, 2, 2, 3, 4, 4, 4]"
0.63,5,es_only_independent,10,component-final-02fb34c6b01aed253ffa4730,3,Al-V-Zn,28,27,10,12,238,0,238,605.8516828753054,0,28,54324,3670,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,13,2,0,12,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,6,0,"[1, 1, 2, 3, 3, 4, 5, 5, 5, 5]"
0.35,3,es_only_independent,10,component-final-2ba86fe5167c7c377083c728,4,Al-V-Zn,17,16,10,12,85,0,85,300.25568405818194,0,17,40983,2346,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,4,1,0,11,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,4,0,"[1, 1, 1, 1, 1, 2, 3, 3, 3, 3]"
0.19,1,es_only_independent,10,component-final-637e688029854bff551ffb68,2,Au-K-Tb,21,20,10,11,58,0,58,365.68822515010834,0,21,33071,3086,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,6,2,0,12,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,1,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.17,1,es_only_independent,10,component-final-f01350a0031f3cb06d45632e,3,Au-K-Tb,24,23,10,11,,1,0,352.1709651891142,0,24,49457,3236,3,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,10,0,0,13,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,1,0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0.01,1,es_only_independent,10,component-final-fd363bc50f56142b92b62728,4,Au-K-Tb,23,22,10,11,40,0,40,331.64089618902653,0,23,44797,2928,6,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0,0,5,1,0,16,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
0.0,0,es_only_independent,10,component-final-309c3c6fb2c047a93c1f8575,2,Co-Dy-W,22,19,10,11,29,0,29,407.79038153309375,0,22,39337,3529,2,2,0,0,3,0,0,3,0,0,3,0,0,0,0,0.0,0.0,0,0,6,1,0,12,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,es_only_independent,10,component-final-ced0af809caafbfd44aa8165,3,Co-Dy-W,20,20,10,11,10,0,10,334.1595499776304,0,20,43893,2910,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,7,1,0,12,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,es_only_independent,10,component-final-60a0f011651058cfacc89f7b,4,Co-Dy-W,16,16,10,11,81,0,81,302.63306891173124,0,16,38314,2137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,1,0,11,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,es_only_independent,10,component-final-7cc2c2335ff1e079999ecabb,2,Co-Mg-Na,18,18,10,13,40,0,40,324.5831524161622,0,18,35757,2510,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,2,0,14,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,es_only_independent,10,component-final-827fb29e7d467a5c1448a2d5,3,Co-Mg-Na,22,22,10,13,171,0,171,499.70717598870397,0,22,38811,2728,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,7,3,0,12,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.01,1,es_only_independent,10,component-final-209f38eb700cca3d60e9efa7,4,Co-Mg-Na,13,13,10,13,45,0,45,274.85781716927886,0,13,26716,1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,1,0,10,0,0,0,0,,,d5204b6911ad1340555a2651137c7dad5855c1d759a71744609c9faaa5518df8,1,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
0.0,0,full_support_aware,10,support-final-bceab85ac67db411774a2563,2,Al-Li-V,18,17,10,16,31,0,31,1376.5666472828016,1037.7491201329976,18,34459,2254,2,2,17,1,1,1,0,1,1,0,1,1,0,0,0,0.0,0.0,0,0,3,1,1,12,0,0,0,17,0.49946722388267517,0.5011399984359741,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,full_support_aware,10,support-final-2b96c9fd2ded8ff4d3c9fa7b,3,Al-Li-V,20,18,10,16,,1,0,1640.21006469056,1268.7607490131631,20,44559,2749,3,3,17,3,1,1,1,2,1,1,1,1,0,0,1,8.218335248529911,12.28446592297405,3048,78,4,0,1,13,0,0,0,19,0.49944666028022766,0.5009153485298157,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.28,2,full_support_aware,10,support-final-cda0e2a385af0e786df7d24a,4,Al-Li-V,23,21,10,16,,1,0,1722.1736632306129,1345.7968943314627,23,51318,2858,5,5,20,3,1,1,1,2,1,1,1,1,0,0,1,13.721883481368423,9.992647374980152,2241,144,5,0,1,15,0,0,0,22,0.49955257773399353,0.5012467503547668,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,2,0,"[0, 0, 1, 2, 2, 2, 2, 2, 2, 2]"
0.42,4,full_support_aware,10,support-final-ca740c106b65301c3c20f121,2,Al-V-Zn,17,15,10,12,,1,0,1292.4230958055705,967.7010762067512,17,33821,2645,0,0,13,4,2,2,0,2,2,0,2,2,0,0,0,0.0,0.0,0,0,4,0,0,10,1,0,0,15,0.4995424151420593,0.501052975654602,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,4,0,"[1, 1, 1, 1, 2, 2, 3, 4, 4, 4]"
0.47,3,full_support_aware,10,support-final-c3b9e4053e380cd376460042,3,Al-V-Zn,18,18,10,12,,1,0,1641.145757730119,1300.7550306497142,18,45021,2580,2,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,6,0,0,12,0,0,0,18,0.4990677237510681,0.5012679100036621,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,4,0,"[1, 1, 2, 3, 3, 3, 3, 3, 3, 3]"
0.34,4,full_support_aware,10,support-final-8d9484c7a3dc0a3085dccdab,4,Al-V-Zn,13,12,10,12,,1,0,1143.3160809478723,894.3014179375023,13,29951,1786,1,1,12,1,0,0,1,1,0,1,0,0,0,0,1,13.228786385152489,10.451607977971435,2305,136,1,0,0,11,0,0,0,13,0.4994620382785797,0.5008910894393921,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,4,0,"[1, 1, 1, 1, 1, 1, 2, 3, 4, 4]"
0.0,0,full_support_aware,10,support-final-68807310bf257b755381e67b,2,Au-K-Tb,21,18,10,11,,1,0,1395.2760076262057,1056.4421615721658,21,38723,2738,0,1,16,5,0,1,3,3,1,2,1,1,0,0,2,19.019484895281494,79.22773849405348,4442,189,7,0,0,10,1,0,0,21,0.4994080662727356,0.500843346118927,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.37,3,full_support_aware,10,support-final-5b6d1b84cc2ee0f52bb1c366,3,Au-K-Tb,18,18,10,11,,1,0,1334.4025004543364,956.0257157050073,18,33328,2897,3,3,16,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,5,0,0,13,0,0,0,18,0.49868762493133545,0.5005560517311096,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,3,0,"[0, 1, 1, 1, 2, 3, 3, 3, 3, 3]"
0.07,1,full_support_aware,10,support-final-17ba56fb5d378648ebbbe7c8,4,Au-K-Tb,14,14,10,11,,1,0,1183.5856687454507,936.4396738512442,14,28747,1783,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,0,0,10,0,0,0,14,0.49940168857574463,0.5006909370422363,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,1,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
0.0,0,full_support_aware,10,support-final-fdb8c5628b1505159c52f7cc,2,Co-Dy-W,18,17,10,11,31,0,31,1121.9164597764611,790.026648263447,18,37836,2238,3,3,12,6,0,0,1,1,0,1,0,0,0,0,1,12.030655750073493,10.287436404265463,2299,120,3,1,0,13,0,0,0,18,0.4993220269680023,0.5008540749549866,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.13,1,full_support_aware,10,support-final-756405aa341c84c08489f23c,3,Co-Dy-W,15,15,10,11,,1,0,1247.869786515832,950.8655753489584,15,29887,2230,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,5,0,0,10,0,0,0,15,0.4995470643043518,0.5009475946426392,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,1,0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
