task_id,seed,metric,baseline,full,delta
Al-Li-V,2,SUN,0,0,0
Al-Li-V,3,SUN,2,0,-2
Al-Li-V,4,SUN,1,2,1
Al-Li-V,2,AUDC,0.0,0.0,0.0
Al-Li-V,3,AUDC,0.08,0.0,-0.08
Al-Li-V,4,AUDC,0.15,0.28,0.13000000000000003
Al-V-Zn,2,SUN,4,4,0
Al-V-Zn,3,SUN,5,3,-2
Al-V-Zn,4,SUN,6,4,-2
Al-V-Zn,2,AUDC,0.5,0.42,-0.08000000000000002
Al-V-Zn,3,AUDC,0.69,0.47,-0.21999999999999997
Al-V-Zn,4,AUDC,0.66,0.34,-0.32
Au-K-Tb,2,SUN,4,0,-4
Au-K-Tb,3,SUN,0,3,3
Au-K-Tb,4,SUN,0,1,1
Au-K-Tb,2,AUDC,0.26,0.0,-0.26
Au-K-Tb,3,AUDC,0.0,0.37,0.37
Au-K-Tb,4,AUDC,0.0,0.07,0.07
Co-Dy-W,2,SUN,0,0,0
Co-Dy-W,3,SUN,0,1,1
Co-Dy-W,4,SUN,0,0,0
Co-Dy-W,2,AUDC,0.0,0.0,0.0
Co-Dy-W,3,AUDC,0.0,0.13,0.13
Co-Dy-W,4,AUDC,0.0,0.0,0.0
Co-Mg-Na,2,SUN,0,2,2
Co-Mg-Na,3,SUN,0,0,0
Co-Mg-Na,4,SUN,0,0,0
Co-Mg-Na,2,AUDC,0.0,0.08,0.08
Co-Mg-Na,3,AUDC,0.0,0.0,0.0
Co-Mg-Na,4,AUDC,0.0,0.0,0.0
Co-Pd-Tl,2,SUN,0,0,0
Co-Pd-Tl,3,SUN,0,0,0
Co-Pd-Tl,4,SUN,0,0,0
Co-Pd-Tl,2,AUDC,0.0,0.0,0.0
Co-Pd-Tl,3,AUDC,0.0,0.0,0.0
Co-Pd-Tl,4,AUDC,0.0,0.0,0.0
Ga-Ho-Lu,2,SUN,4,3,-1
Ga-Ho-Lu,3,SUN,5,2,-3
Ga-Ho-Lu,4,SUN,5,3,-2
Ga-Ho-Lu,2,AUDC,0.32,0.45,0.13
Ga-Ho-Lu,3,AUDC,0.33,0.34,0.010000000000000009
Ga-Ho-Lu,4,AUDC,0.65,0.49,-0.16000000000000003
Ga-Pt-Tm,2,SUN,5,5,0
Ga-Pt-Tm,3,SUN,2,5,3
Ga-Pt-Tm,4,SUN,5,3,-2
Ga-Pt-Tm,2,AUDC,0.57,0.51,-0.05999999999999994
Ga-Pt-Tm,3,AUDC,0.36,0.59,0.22999999999999998
