task_id,metric,baseline_mean,full_mean,baseline_sample_variance_ddof1,full_sample_variance_ddof1,baseline_SD,full_SD,mean_delta,mean_sign,seed_wins,seed_ties,seed_losses
Al-Li-V,SUN,1,0.6666666666666666,1,1.3333333333333335,1.0,1.1547005383792517,-0.33333333333333337,negative,1,1,1
Al-Li-V,AUDC,0.07666666666666666,0.09333333333333334,0.005633333333333333,0.02613333333333334,0.07505553499465135,0.16165807537309523,0.016666666666666677,positive,1,1,1
Al-V-Zn,SUN,5,3.6666666666666665,1,0.3333333333333333,1.0,0.5773502691896257,-1.3333333333333335,negative,0,1,2
Al-V-Zn,AUDC,0.6166666666666667,0.41,0.010433333333333331,0.0042999999999999965,0.10214368964029708,0.06557438524301998,-0.20666666666666672,negative,0,0,3
Au-K-Tb,SUN,1.3333333333333333,1.3333333333333333,5.333333333333334,2.3333333333333335,2.3094010767585034,1.5275252316519468,0.0,tie,2,0,1
Au-K-Tb,AUDC,0.08666666666666667,0.14666666666666667,0.022533333333333336,0.03863333333333333,0.1501110699893027,0.19655363983740756,0.06,positive,2,0,1
Co-Dy-W,SUN,0,0.3333333333333333,0,0.33333333333333337,0.0,0.5773502691896258,0.3333333333333333,positive,1,2,0
Co-Dy-W,AUDC,0.0,0.043333333333333335,0.0,0.005633333333333334,0.0,0.07505553499465135,0.043333333333333335,positive,1,2,0
Co-Mg-Na,SUN,0,0.6666666666666666,0,1.3333333333333335,0.0,1.1547005383792517,0.6666666666666666,positive,1,2,0
Co-Mg-Na,AUDC,0.0,0.02666666666666667,0.0,0.0021333333333333334,0.0,0.046188021535170064,0.02666666666666667,positive,1,2,0
Co-Pd-Tl,SUN,0,0,0,0,0.0,0.0,0,tie,0,3,0
Co-Pd-Tl,AUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0,3,0
Ga-Ho-Lu,SUN,4.666666666666667,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.5773502691896257,0.5773502691896257,-2.0000000000000004,negative,0,0,3
Ga-Ho-Lu,AUDC,0.43333333333333335,0.4266666666666667,0.03523333333333334,0.006033333333333331,0.1877054430040145,0.07767453465154027,-0.006666666666666654,negative,2,0,1
Ga-Pt-Tm,SUN,4,4.333333333333333,3,1.3333333333333333,1.7320508075688772,1.1547005383792515,0.33333333333333304,positive,1,1,1
Ga-Pt-Tm,AUDC,0.48666666666666664,0.4766666666666667,0.012433333333333333,0.01773333333333333,0.11150485789118487,0.13316656236958785,-0.009999999999999953,negative,1,0,2
Hf-Ni-Zr,SUN,6,5,4,1,2.0,1.0,-1,negative,1,1,1
Hf-Ni-Zr,AUDC,0.7466666666666667,0.5966666666666667,0.00893333333333333,0.004233333333333334,0.09451631252505215,0.06506407098647712,-0.15000000000000002,negative,0,0,3
