arm,task_id,budget,seed,SUN_baseline,SUN_arm,SUN_delta,AUDC_baseline,AUDC_arm,AUDC_delta
uq_only_support_aware,Al-Li-V,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Al-Li-V,10,3,2,1,-1,0.08,0.09,0.009999999999999995
uq_only_support_aware,Al-Li-V,10,4,1,0,-1,0.15,0.0,-0.15
uq_only_support_aware,Al-V-Zn,10,2,4,5,1,0.5,0.71,0.20999999999999996
uq_only_support_aware,Al-V-Zn,10,3,5,7,2,0.69,0.73,0.040000000000000036
uq_only_support_aware,Al-V-Zn,10,4,6,3,-3,0.66,0.41,-0.25000000000000006
uq_only_support_aware,Au-K-Tb,10,2,4,3,-1,0.26,0.25,-0.010000000000000009
uq_only_support_aware,Au-K-Tb,10,3,0,3,3,0.0,0.37,0.37
uq_only_support_aware,Au-K-Tb,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Dy-W,10,2,0,2,2,0.0,0.16,0.16
uq_only_support_aware,Co-Dy-W,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Dy-W,10,4,0,1,1,0.0,0.17,0.17
uq_only_support_aware,Co-Mg-Na,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Mg-Na,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Mg-Na,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Pd-Tl,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Pd-Tl,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Pd-Tl,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ga-Ho-Lu,10,2,4,6,2,0.32,0.72,0.39999999999999997
uq_only_support_aware,Ga-Ho-Lu,10,3,5,3,-2,0.33,0.35,0.019999999999999962
uq_only_support_aware,Ga-Ho-Lu,10,4,5,5,0,0.65,0.69,0.039999999999999925
uq_only_support_aware,Ga-Pt-Tm,10,2,5,3,-2,0.57,0.43,-0.13999999999999996
uq_only_support_aware,Ga-Pt-Tm,10,3,2,3,1,0.36,0.35,-0.010000000000000009
uq_only_support_aware,Ga-Pt-Tm,10,4,5,6,1,0.53,0.78,0.25
uq_only_support_aware,Hf-Ni-Zr,10,2,6,5,-1,0.78,0.57,-0.21000000000000008
uq_only_support_aware,Hf-Ni-Zr,10,3,8,4,-4,0.82,0.6,-0.21999999999999997
uq_only_support_aware,Hf-Ni-Zr,10,4,4,4,0,0.64,0.6,-0.040000000000000036
uq_only_support_aware,Mg-Sn-Sr,10,2,6,10,4,0.54,1.0,0.45999999999999996
uq_only_support_aware,Mg-Sn-Sr,10,3,6,9,3,0.62,0.87,0.25
uq_only_support_aware,Mg-Sn-Sr,10,4,2,2,0,0.2,0.2,0.0
uq_only_support_aware,Au-Cr-Cs-Dy,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Au-Cr-Cs-Dy,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Au-Cr-Cs-Dy,10,4,0,1,1,0.0,0.19,0.19
uq_only_support_aware,Au-Tb-V-Y,10,2,1,1,0,0.11,0.11,0.0
uq_only_support_aware,Au-Tb-V-Y,10,3,2,1,-1,0.18,0.13,-0.04999999999999999
uq_only_support_aware,Au-Tb-V-Y,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ba-Be-Hf-Li,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ba-Be-Hf-Li,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ba-Be-Hf-Li,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ba-Nd-Ni-W,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ba-Nd-Ni-W,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ba-Nd-Ni-W,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ca-Pd-Sn-W,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ca-Pd-Sn-W,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ca-Pd-Sn-W,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ce-Er-Pb-Rh,10,2,3,1,-2,0.29,0.19,-0.09999999999999998
uq_only_support_aware,Ce-Er-Pb-Rh,10,3,1,1,0,0.19,0.19,0.0
uq_only_support_aware,Ce-Er-Pb-Rh,10,4,4,3,-1,0.22,0.37,0.15
uq_only_support_aware,Ce-Ir-Pt-Sn,10,2,1,4,3,0.07,0.16,0.09
uq_only_support_aware,Ce-Ir-Pt-Sn,10,3,1,0,-1,0.11,0.0,-0.11
uq_only_support_aware,Ce-Ir-Pt-Sn,10,4,5,1,-4,0.55,0.13,-0.42000000000000004
uq_only_support_aware,Co-Dy-Ta-Y,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Dy-Ta-Y,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Dy-K-Pd-Sm,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Dy-K-Pd-Sm,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Dy-K-Pd-Sm,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Eu-Nb-Sn-Tl,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Eu-Nb-Sn-Tl,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ag-Nd-Pd-Pt-Tb,10,2,1,1,0,0.19,0.19,0.0
uq_only_support_aware,Ag-Nd-Pd-Pt-Tb,10,3,5,5,0,0.43,0.47,0.03999999999999998
uq_only_support_aware,Al-Hg-K-Mg-W,10,2,7,3,-4,0.77,0.29,-0.48000000000000004
uq_only_support_aware,Al-Hg-K-Mg-W,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Al-Lu-Pt-Rb-Sm,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Al-Lu-Pt-Rb-Sm,10,3,3,0,-3,0.23,0.0,-0.23
uq_only_support_aware,Al-Lu-Pt-Rb-Sm,10,4,1,0,-1,0.07,0.0,-0.07
uq_only_support_aware,Ca-Fe-Gd-Pb-Tb,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ca-Fe-Gd-Pb-Tb,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ca-Fe-Gd-Pb-Tb,10,4,0,1,1,0.0,0.15,0.15
uq_only_support_aware,Cd-Gd-Mn-Na-Ta,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Cd-Gd-Mn-Na-Ta,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Cd-Li-Nd-Ti-W,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Cd-Li-Nd-Ti-W,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Hf-In-Ru-Tm,10,2,2,3,1,0.34,0.39,0.04999999999999999
uq_only_support_aware,Co-Hf-In-Ru-Tm,10,3,1,0,-1,0.17,0.0,-0.17
uq_only_support_aware,Co-Hg-Mg-Sr-W,10,2,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Hg-Mg-Sr-W,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Co-Hg-Mg-Sr-W,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Cr-Fe-Lu-Pt-Sc,10,2,4,0,-4,0.34,0.0,-0.34
uq_only_support_aware,Cr-Fe-Lu-Pt-Sc,10,3,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Cr-Fe-Lu-Pt-Sc,10,4,0,0,0,0.0,0.0,0.0
uq_only_support_aware,Ho-In-Mg-Pd-Zr,10,2,1,5,4,0.17,0.45,0.28
uq_only_support_aware,Ho-In-Mg-Pd-Zr,10,3,1,1,0,0.07,0.09,0.01999999999999999
uq_only_support_aware,Ho-In-Mg-Pd-Zr,10,4,0,1,1,0.0,0.11,0.11
uq_only_support_aware,Al-Li-V,30,3,7,5,-2,0.13666666666666666,0.07888888888888888,-0.057777777777777775
uq_only_support_aware,Al-V-Zn,30,2,6,9,3,0.19555555555555557,0.38555555555555554,0.18999999999999997
