job_id,task_id,budget,seed,arm,status,SUN,AUDC,mSUN,selected_generation,model_state_hash,result_sha256,receipt_sha256,failure_sha256
component-final-32355a4d9bcc6137d52ada7b,Al-Li-V,10,2,baseline_reference,accepted,0,0.0,0.0,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97,59c4514daf8eebdf454c8a7173436a0fac15b6a3c161d480c33fa84075b58ee2,
component-final-50555fb4776e15c94b4beec9,Al-V-Zn,10,2,baseline_reference,accepted,4,0.5,0.4,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,d9b218c8bad233d3536f23da5a6b9c2c2e74be87c1de93e6e773b919ed431287,f7a15955fdfdde536e1d0dc3af88193c45e3d21114c8ff342b32a6fc61d6160d,
component-final-829f81d1c8b6dff9869aa711,Au-K-Tb,10,2,baseline_reference,accepted,4,0.26,0.4,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,9f07e57ccac9ecbbb8efdba9bb53f40e01516281d4a483b4ac79549aabcc3581,7a7f9f6aafa58f37965ee481e6d0c217b06416324ed640c4b58cca29d4a06627,
component-final-2dce2a3709aad3945727809d,Co-Dy-W,10,2,baseline_reference,accepted,0,0.0,0.0,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,37c8b86237908291514a07069995060c740cbff46380cf93a5a7a5660c241954,7653fb2dd0ccf599b02b05e9db40a127b7902c04e9bab1ce822827adb4b07aed,
component-final-a8630b6c09e7eed6994a9658,Co-Mg-Na,10,2,baseline_reference,accepted,0,0.0,0.0,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,d73f6d0f6e0d2447bad12190bc1ba9a26bf7afcfae9d935feadb435e99eac58b,f5bade9f702ac246f0f38c834263ca4d87e498fe1ba64b9328eded38ee5d9bc4,
component-final-768072dbaebb53494719e468,Co-Pd-Tl,10,2,baseline_reference,accepted,0,0.0,0.0,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,26ad322a72558aaf1748cd20168aaa51833f881da90a673e218908085fee3f1c,da71ab14ae05475c0344ae37437d3c17d01f2b9354d78703ca7e0c584c8cecf9,
component-final-43aa37d047cc1f695b405364,Ga-Ho-Lu,10,2,baseline_reference,accepted,4,0.32,0.4,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,59b1268a6d1b3ae667a55693882956ad39b5a7c226029884bd3f40439ca32eab,f09486d8c12999082af7b8edbdedff47dd5ddde043c043ba935fa483a6793407,
component-final-ad88bcc33aed1830b5c23909,Ga-Pt-Tm,10,2,baseline_reference,accepted,5,0.57,0.5,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,8d6d5e9d43fface5b0feaad177bd05310c87ca2aab86dab6c4c256057051c8e6,7539ac8bba366e0a34b30d4e368c9089b5b76920bc1b0409d858fd968218a487,
component-final-3d03035528cf4d1c96e2f688,Hf-Ni-Zr,10,2,baseline_reference,accepted,6,0.78,0.6,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,fd47df7cd7d3ede2f7c3a8245e9308f09a5db76594dd1c1e0a6a8da6be4faf4e,337aaf0edb04dfe4fb9c83a64174aa480ae1261993978a6db6742976b6d483aa,
component-final-f5130b9d1e96a3a3e587815c,Mg-Sn-Sr,10,2,baseline_reference,accepted,6,0.54,0.6,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,ee075dee935d875c8c33e8adeb3d910cb1791b90615ae57951bc00402c23303e,2163c116c3b68bf24966fecd5b3e6051f2bf0c5627b75ecfd54a58a261a947a5,
component-final-6c30e36bb5b40e6b0e509b55,Au-Cr-Cs-Dy,10,2,baseline_reference,accepted,0,0.0,0.0,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,308fb83a3f9c23c3413c845ef2561dcbcf8eddf1d97a4aeecf54c226247334cf,5a2151ae02c7e3a9d2ca3b4e5a89c097257991dd22db0c1e4a35594fee2a5063,
